Company,Category,Class,Service_Name,Total,G,FoE,P,G1,G2,G3,G4,G5,G6,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18
all companies,all companies,Overall,NA,36.94000202238839,44.767624158249156,30.854040571054465,37.69184946355086,69.79166666666667,50.69444444444445,56.25,24.81060606060606,42.01388888888889,25.04513888888889,77.70833333333336,32.61284722222222,48.50462962962964,4.166666666666667,29.788773148148152,16.435185185185187,10.532407407407405,19.479166666666668,31.25,22.65625,34.375,78.20601851851852,26.479166666666668,50.553240740740755,41.99074074074074,43.75,16.214285714285715,26.418402777777775,34.328125,30.5,29.16666666666666,30.681818181818176,17.361111111111114,44.44444444444445,26.979166666666668,21.180555555555554,40.22569444444445,68.98148148148148,77.08333333333333
América Móvil,telecommunications company,Overall,NA,25.312499999999996,37.083333333333336,17.424242424242426,26.38888888888889,100,0,87.5,0,0,35,66.66666666666667,50,50,0,0,0,0,0,25,0,0,83.33333333333333,0,16.666666666666668,50,37.5,0,25,12.5,NA,4.166666666666667,0,0,66.66666666666667,0,0,NA,NA,100
América Móvil,telecommunications company,Group,NA,37.083333333333336,37.083333333333336,NA,NA,100,0,87.5,0,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
América Móvil,telecommunications company,Pre and Postpaid Mobile,Telcel,25.312499999999996,37.083333333333336,17.424242424242426,26.38888888888889,100,0,87.5,0,0,35,66.66666666666667,50,50,0,0,0,0,0,25,0,0,83.33333333333333,0,16.666666666666668,50,37.5,0,25,12.5,NA,4.166666666666667,0,0,66.66666666666667,0,0,NA,NA,100
América Móvil,telecommunications company,Pre and Postpaid Mobile, - Pre Paid,25.312499999999996,37.083333333333336,17.424242424242426,26.38888888888889,100,0,87.5,0,0,35,66.66666666666667,50,50,0,0,0,0,0,25,0,0,83.33333333333333,0,16.666666666666668,50,37.5,0,25,12.5,NA,4.166666666666667,0,0,66.66666666666667,0,0,NA,NA,100
América Móvil,telecommunications company,Pre and Postpaid Mobile, - Post Paid,26.129032258064512,37.083333333333336,19.166666666666668,26.38888888888889,100,0,87.5,0,0,35,66.66666666666667,50,50,0,0,0,0,0,25,0,NA,83.33333333333333,0,16.666666666666668,50,37.5,0,25,12.5,NA,4.166666666666667,0,0,66.66666666666667,0,0,NA,NA,100
Apple,internet and mobile ecosystem company,Overall,NA,46.27869605142333,31.71717171717172,32.945326278659614,57.79922238255571,50,50,50,13.636363636363637,8.333333333333334,18.333333333333332,61.11111111111111,16.666666666666668,44.285714285714285,0,65.27777777777777,46.666666666666664,0,12.5,NA,NA,50,100,11.666666666666666,28.88888888888889,44.44444444444445,50,12.38095238095238,41.666666666666664,46.666666666666664,100,58.333333333333336,72.72727272727273,66.66666666666667,66.66666666666667,27.777777777777782,50,79.16666666666667,83.33333333333333,100
Apple,internet and mobile ecosystem company,Group,NA,31.161616161616163,31.161616161616163,NA,NA,50,50,50,13.636363636363637,8.333333333333334,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apple,internet and mobile ecosystem company,Mobile Ecosystems,iOS mobile ecosystem,45.243342516069795,32.82828282828283,30.132275132275133,56.93722943722943,50,50,50,13.636363636363637,8.333333333333334,25,50,0,42.857142857142854,0,70.83333333333333,45,0,12.5,NA,NA,50,100,10,20,33.333333333333336,50,7.142857142857143,50,40,100,58.333333333333336,72.72727272727273,66.66666666666667,66.66666666666667,16.666666666666668,50,100,83.33333333333333,100
Apple,internet and mobile ecosystem company,Messaging and VoIP,iMessage,45.82415059687787,31.161616161616163,27.87037037037037,59.688552188552194,50,50,50,13.636363636363637,8.333333333333334,15,50,0,30,0,58.333333333333336,50,0,12.5,NA,NA,50,100,12.5,33.333333333333336,50,50,10,37.5,50,100,58.333333333333336,72.72727272727273,66.66666666666667,66.66666666666667,33.333333333333336,50,100,83.33333333333333,100
