Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Telecommunication,AT&T,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,100,yes,"Yes. The AT&T Human Rights In Communication Policy (Source 26) is the formal company-wide document that outlines the company's human rights commitment. It states, ""We respect and protect the freedom of expression of our users."" and explains what this commitment means (Source 16, p. 3). In addition, the company's issue brief on protecting freedom of expression (Source 27) further explains what the commitment means and how AT&T implements it.
",NA
Telecommunication,AT&T,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. The AT&T Human Rights In Communication Policy (Source 26) is the formal company-wide document that outlines the company's human rights commitment. It states, ""We respect and protect our users’ right to privacy."" and explains what this means (Source 16, p. 3). In addition, the company's issue brief on protecting privacy (Source 28) further explains what the commitment means and how AT&T implements it.",NA
Telecommunication,AT&T,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,100,NA,NA,16; 26; 27
Telecommunication,AT&T,Group,NA,Group - Privacy,Governance,G1,Level,NA,100,NA,NA,16; 26; 28
Telecommunication,AT&T,Total,NA,NA,Governance,G1,Indicator,NA,100,NA,NA,NA
Telecommunication,AT&T,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. The company's issue brief on freedom of expression (Source 27, p. 3) states:""The Chief Sustainability Officer [who owns the Human Rights in Communications Policy] reports several times a year on sustainability issues, such as human rights, to the Public Policy and Corporate Reputation Committee of the AT&T Board of Directors."" In addition, the company's second report on its implementation of the Telecom ID principles (Source 16, p. 2) says, ""The Public Policy and Corporate Reputation Committee of the AT&T Board oversees all citizenship and sustainability issues, including those relating to freedom of expression and privacy. The Chief Sustainability Officer reports to the committee three times per year to provide updates and receive input on the direction of sustainability work within AT&T.""",NA
Telecommunication,AT&T,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. The company's second report on its implementation of the Telecom ID principles (Source 16, p. 2) says, ""The Public Policy and Corporate Reputation Committee of the AT&T Board oversees all citizenship and sustainability issues, including those relating to freedom of expression and privacy. The Chief Sustainability Officer reports to the committee three times per year to provide updates and receive input on the direction of sustainability work within AT&T.""",NA
Telecommunication,AT&T,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. The company's issue brief on freedom of expression (Source 27, p. 3) states:""The Chief Sustainability Officer [who owns the Human Rights in Communications Policy] reports several times a year on sustainability issues, such as human rights, to the Public Policy and Corporate Reputation Committee of the AT&T Board of Directors."" In addition, the company's second report on its implementation of the Telecom ID principles (Source 16, p. 2) says, ""The Public Policy and Corporate Reputation Committee of the AT&T Board oversees all citizenship and sustainability issues, including those relating to freedom of expression and privacy. The Chief Sustainability Officer reports to the committee three times per year to provide updates and receive input on the direction of sustainability work within AT&T.""",NA
Telecommunication,AT&T,Group,NA,Group - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. The company's second report on its implementation of the Telecom ID principles (Source 16, p. 2) says, ""The Public Policy and Corporate Reputation Committee of the AT&T Board oversees all citizenship and sustainability issues, including those relating to freedom of expression and privacy. The Chief Sustainability Officer reports to the committee three times per year to provide updates and receive input on the direction of sustainability work within AT&T.""",NA
Telecommunication,AT&T,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. The company's issue brief on freedom of expression (Source 27, p. 3) states:""The Chief Sustainability Officer [who owns the Human Rights in Communications Policy] reports several times a year on sustainability issues, such as human rights, to the Public Policy and Corporate Reputation Committee of the AT&T Board of Directors."" In addition, the company's second report on its implementation of the Telecom ID principles (Source 16, p. 2) says, ""The Public Policy and Corporate Reputation Committee of the AT&T Board oversees all citizenship and sustainability issues, including those relating to freedom of expression and privacy. The Chief Sustainability Officer reports to the committee three times per year to provide updates and receive input on the direction of sustainability work within AT&T.""",NA
Telecommunication,AT&T,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. The company's second report on its implementation of the Telecom ID principles (Source 16, p. 2) says, ""The Public Policy and Corporate Reputation Committee of the AT&T Board oversees all citizenship and sustainability issues, including those relating to freedom of expression and privacy. The Chief Sustainability Officer reports to the committee three times per year to provide updates and receive input on the direction of sustainability work within AT&T.""",NA
Telecommunication,AT&T,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. The company's issue brief on freedom of expression (Source 27, p. 3) states:""The Chief Sustainability Officer [who owns the Human Rights in Communications Policy] reports several times a year on sustainability issues, such as human rights, to the Public Policy and Corporate Reputation Committee of the AT&T Board of Directors."" In addition, the company's second report on its implementation of the Telecom ID principles (Source 16, p. 2) says, ""The Public Policy and Corporate Reputation Committee of the AT&T Board oversees all citizenship and sustainability issues, including those relating to freedom of expression and privacy. The Chief Sustainability Officer reports to the committee three times per year to provide updates and receive input on the direction of sustainability work within AT&T.""",NA
Telecommunication,AT&T,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. The company's second report on its implementation of the Telecom ID principles (Source 16, p. 2) says, ""The Public Policy and Corporate Reputation Committee of the AT&T Board oversees all citizenship and sustainability issues, including those relating to freedom of expression and privacy. The Chief Sustainability Officer reports to the committee three times per year to provide updates and receive input on the direction of sustainability work within AT&T.""",NA
Telecommunication,AT&T,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Element,G2.2,100,yes,"Yes. The company's issue brief on freedom of expression (Source 27, p. 3) states: ""The [company's human rights] policy is owned by our Chief Sustainability Officer, with input from our Chief Privacy Officer and other business units affected by this issue, including: supply chain, legal and compliance.""  In addition, the company's second report on its implementation of the Telecom ID principles (Source 16, p. 2) says, ""AT&T’s Senior Vice President for Corporate Responsibility and Chief Sustainability Officer, our Chief Privacy Officer and our Senior Vice President of Global Public Policy have responsibility for different aspects of privacy and freedom of expression relating to our products and services.""",NA
Telecommunication,AT&T,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. The company's second report on its implementation of the Telecom ID principles (Source 16, p. 2) says, ""AT&T’s Senior Vice President for Corporate Responsibility and Chief Sustainability Officer, our Chief Privacy Officer and our Senior Vice President of Global Public Policy have responsibility for different aspects of privacy and freedom of expression relating to our products and services.""",NA
Telecommunication,AT&T,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.2,100,yes,"Yes. The company's issue brief on freedom of expression (Source 27, p. 3) states: ""The [company's human rights] policy is owned by our Chief Sustainability Officer, with input from our Chief Privacy Officer and other business units affected by this issue, including: supply chain, legal and compliance.""  In addition, the company's second report on its implementation of the Telecom ID principles (Source 16, p. 2) says, ""AT&T’s Senior Vice President for Corporate Responsibility and Chief Sustainability Officer, our Chief Privacy Officer and our Senior Vice President of Global Public Policy have responsibility for different aspects of privacy and freedom of expression relating to our products and services.""",NA
Telecommunication,AT&T,Group,NA,Group - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. The company's second report on its implementation of the Telecom ID principles (Source 16, p. 2) says, ""AT&T’s Senior Vice President for Corporate Responsibility and Chief Sustainability Officer, our Chief Privacy Officer and our Senior Vice President of Global Public Policy have responsibility for different aspects of privacy and freedom of expression relating to our products and services.""",NA
Telecommunication,AT&T,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Freedom of Expression,Governance,G2,Element,G2.2,100,yes,"Yes. The company's issue brief on freedom of expression (Source 27, p. 3) states: ""The [company's human rights] policy is owned by our Chief Sustainability Officer, with input from our Chief Privacy Officer and other business units affected by this issue, including: supply chain, legal and compliance.""  In addition, the company's second report on its implementation of the Telecom ID principles (Source 16, p. 2) says, ""AT&T’s Senior Vice President for Corporate Responsibility and Chief Sustainability Officer, our Chief Privacy Officer and our Senior Vice President of Global Public Policy have responsibility for different aspects of privacy and freedom of expression relating to our products and services.""",NA
