Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Telecommunication,América Móvil,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,100,yes,"Yes. América Móvil publishes a Human Rights Policy (Source 29, p.1) that explicitly makes a commitment to respect human rights, including to freedom of expression and privacy: ""Our human rights policy is guided by the Universal Declaration of Human Rights¹ adopted by the United Nations, the Declaration on Fundamental Principles and Rights at Work² proclaimed by the International Labour Organization (OIT) and the Guiding Principles on Business and Human Rights³ established by the United Nations."" The policy further provides: ""Freedom of Expression and Privacy: We protect the privacy and personal data of clients, employees, distributors, shareholders, and suppliers; as well as the privacy of communication of our users; We promote the freedom of our users to hold and freely share information without interference; as well as the access to any content or service in the web; We do not discriminate, screen or interfere with any content transmitted in our network; We strive for the security of our network and the services rendered through it, and we take actions to preserve its quality.""",NA
Telecommunication,América Móvil,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. América Móvil publishes a Human Rights Policy (Source 29, p.1) that explicitly makes a commitment to respect human rights, including to freedom of expression and privacy: ""Our human rights policy is guided by the Universal Declaration of Human Rights¹ adopted by the United Nations, the Declaration on Fundamental Principles and Rights at Work² proclaimed by the International Labour Organization (OIT) and the Guiding Principles on Business and Human Rights³ established by the United Nations."" The policy further provides: ""Freedom of Expression and Privacy: We protect the privacy and personal data of clients, employees, distributors, shareholders, and suppliers; as well as the privacy of communication of our users; We promote the freedom of our users to hold and freely share information without interference; as well as the access to any content or service in the web; We do not discriminate, screen or interfere with any content transmitted in our network; We strive for the security of our network and the services rendered through it, and we take actions to preserve its quality.""",NA
Telecommunication,América Móvil,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G1,Element,G1.1,100,yes,"Yes. América Móvil publishes a Human Rights Policy (Source 29, p.1) that explicitly makes a commitment to respect human rights, including to freedom of expression and privacy: ""Our human rights policy is guided by the Universal Declaration of Human Rights¹ adopted by the United Nations, the Declaration on Fundamental Principles and Rights at Work² proclaimed by the International Labour Organization (OIT) and the Guiding Principles on Business and Human Rights³ established by the United Nations."" The policy further provides: ""Freedom of Expression and Privacy: We protect the privacy and personal data of clients, employees, distributors, shareholders, and suppliers; as well as the privacy of communication of our users; We promote the freedom of our users to hold and freely share information without interference; as well as the access to any content or service in the web; We do not discriminate, screen or interfere with any content transmitted in our network; We strive for the security of our network and the services rendered through it, and we take actions to preserve its quality.""",NA
Telecommunication,América Móvil,Operating Company,NA,OperatingCo - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. América Móvil publishes a Human Rights Policy (Source 29, p.1) that explicitly makes a commitment to respect human rights, including to freedom of expression and privacy: ""Our human rights policy is guided by the Universal Declaration of Human Rights¹ adopted by the United Nations, the Declaration on Fundamental Principles and Rights at Work² proclaimed by the International Labour Organization (OIT) and the Guiding Principles on Business and Human Rights³ established by the United Nations."" The policy further provides: ""Freedom of Expression and Privacy: We protect the privacy and personal data of clients, employees, distributors, shareholders, and suppliers; as well as the privacy of communication of our users; We promote the freedom of our users to hold and freely share information without interference; as well as the access to any content or service in the web; We do not discriminate, screen or interfere with any content transmitted in our network; We strive for the security of our network and the services rendered through it, and we take actions to preserve its quality.""",NA
Telecommunication,América Móvil,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,100,NA,NA,29
Telecommunication,América Móvil,Group,NA,Group - Privacy,Governance,G1,Level,NA,100,NA,NA,29
Telecommunication,América Móvil,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G1,Level,NA,100,NA,NA,29
Telecommunication,América Móvil,Operating Company,NA,OperatingCo - Privacy,Governance,G1,Level,NA,100,NA,NA,29
Telecommunication,América Móvil,Total,NA,NA,Governance,G1,Indicator,NA,100,NA,NA,NA
Telecommunication,América Móvil,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,América Móvil,Group,NA,Group - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,América Móvil,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,América Móvil,Operating Company,NA,OperatingCo - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,América Móvil,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,América Móvil,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,América Móvil,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,América Móvil,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,América Móvil,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,"No disclosure found. No evidence found that an executive-level committee, team or program officer oversees how company practices affect freedom of expression or privacy. The 2017 Sustainability Report (Source 4, p.19) discloses that America Movil created a Sustainability Executive Committee to guide the company's efforts to meet the UN Global Compact principles. However, this disclosure does not specify whether this executive committee addresses issues of freedom of expression and privacy.",NA
Telecommunication,América Móvil,Group,NA,Group - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,"No disclosure found. No evidence found that an executive-level committee, team or program officer oversees how company practices affect freedom of expression or privacy. The 2017 Sustainability Report (Source 4, p.19) discloses that America Movil created a Sustainability Executive Committee to guide the company's efforts to meet the UN Global Compact principles. However, this disclosure does not specify whether this executive committee addresses issues of freedom of expression and privacy.",NA
Telecommunication,América Móvil,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,"No disclosure found. No evidence found that an executive-level committee, team or program officer oversees how company practices affect freedom of expression or privacy. The 2017 Sustainability Report (Source 4, p.19) discloses that America Movil created a Sustainability Executive Committee to guide the company's efforts to meet the UN Global Compact principles. However, this disclosure does not specify whether this executive committee addresses issues of freedom of expression and privacy.",NA
Telecommunication,América Móvil,Operating Company,NA,OperatingCo - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,"No disclosure found. No evidence found that an executive-level committee, team or program officer oversees how company practices affect freedom of expression or privacy. The 2017 Sustainability Report (Source 4, p.19) discloses that America Movil created a Sustainability Executive Committee to guide the company's efforts to meet the UN Global Compact principles. However, this disclosure does not specify whether this executive committee addresses issues of freedom of expression and privacy.",NA
Telecommunication,América Móvil,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,"No disclosure found. No evidence found that an executive-level committee, team or program officer oversees how company practices affect freedom of expression or privacy. The 2017 Sustainability Report (Source 4, p.19) discloses that America Movil created a Sustainability Executive Committee to guide the company's efforts to meet the UN Global Compact principles. However, this disclosure does not specify whether this executive committee addresses issues of freedom of expression and privacy.",NA
Telecommunication,América Móvil,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,"No disclosure found. No evidence found that an executive-level committee, team or program officer oversees how company practices affect freedom of expression or privacy. The 2017 Sustainability Report (Source 4, p.19) discloses that America Movil created a Sustainability Executive Committee to guide the company's efforts to meet the UN Global Compact principles. However, this disclosure does not specify whether this executive committee addresses issues of freedom of expression and privacy.",NA
