Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
1,América Móvil Sustainability webpage,http://www.americamovil.com/English/sustainability/sustainability-reports/default.aspx,None found,"2018-09-16"
2,América Móvil Code of Ethics,http://www.americamovil.com/English/corporate-governance/code-of-ethics/default.aspx,June 2018,"2018-09-16"
3,América Móvil Sustainability Report 2016,http://img1.telcel.com/sustentabilidad/en/AMX-SR-2016.pdf,"2017,2018-09-16"
4,América Móvil Sustainability Report 2017,http://s22.q4cdn.com/604986553/files/doc_downloads/sustainability/sustainability-report-2017.pdf,August 2018,"2018-09-16"
5,América Móvil Letter of Commitment to Global Compact,https://www.unglobalcompact.org/system/commitment_letters/78761/original/AMX.pdf?1456776342,"February 16, 2016","2018-09-16"
6,América Móvil Board of Directors,http://www.americamovil.com/English/investors/leadership/board-of-directors/default.aspx,None found,"2018-09-16"
7,América Móvil Management Team,http://www.americamovil.com/English/investors/leadership/management-team/default.aspx,None found,"2018-09-16"
8,América Móvil Website Privacy Policy,http://www.americamovil.com/privacy,None found,"2018-09-16"
9,América Móvil Group Website,http://www.americamovil.com/,None found,"2018-09-16"
10,Federal Law on Telecommunications and Broadcasting,http://www.diputados.gob.mx/LeyesBiblio/pdf/LFTR_150618.pdf,"July 14, 2014","2018-09-16"
11,Federal Law on Data Protection Possessed by Private Persons,http://www.diputados.gob.mx/LeyesBiblio/pdf/LFPDPPP.pdf,"July 5, 2010","2018-09-16"
12,Telcel Homepage,http://www.telcel.com/,None found,"2018-09-16"
13,Telcel Privacy Policy,http://www.telcel.com/aviso-de-privacidad,"July 30, 2015","2018-09-16"
14,Telcel Board of Directors,http://www.telcel.com/mundo_telcel/quienes-somos/corporativo/directivos,None found,"2018-09-16"
15,Telcel Code of Business Practices,https://www.telcel.com/content/dam/telcelcom/mundo-telcel/quienes-somos/corporativo/codigo-practicas/archivos/practicas-comerciales-telcel.pdf,None found,"2018-09-16"
16,Telcel Security Notices,http://www.telcel.com/mundo_telcel/quienes-somos/corporativo/avisos-de-seguridad,None found,"2018-09-16"
17,Telcel Security Tips,http://www.telcel.com/content/dam/telcelcom/mundo-telcel/quienes-somos/corporativo/avisos-de-seguridad/archivos/diptico-tips-Telcel.pdf,None found,"2018-09-16"
18,Telecommunications User Rights Charter,http://www.telcel.com/content/dam/telcelcom/mundo-telcel/quienes-somos/corporativo/carta-derechos-usuarios/archivos/Carta-de-derechos-de-los-usuarios.pdf,None found,"2018-09-16"
19,Telcel Contract,http://www.telcel.com/mundo_telcel/quienes-somos/corporativo/contrato-prestacion-servicios,None found,"2018-09-16"
20,Anatel Mobile Privacy Webpage,http://www.anatel.org.mx/privacidad.php,None found,"2018-09-16"
21,Telcel Net Neutrality Policy,http://www.telcel.com/mundo_telcel/quienes-somos/corporativo/neutralidad-de-red,None found,"2018-09-16"
22,Telcel Terms and Conditions (Websites),http://www.telcel.com/terminos-y-condiciones,None found,"2018-09-16"
23,Telcel Fair Use Policy,http://www.telcel.com/mundo_telcel/quienes-somos/corporativo/uso-justo,None found,"2018-09-16"
24,Telcel Included Social Networks and Instant Messages Usage Policy,http://www.telcel.com/mundo_telcel/quienes-somos/corporativo/redes-sociales,None found,"2018-09-16"
25,Telecommunications Federal Institute Guidelines for the Collaboration on Security and Justice (Original),http://dof.gob.mx/nota_detalle.php?codigo=5418339&fecha=02/12/2015,"December 2, 2015","2018-09-16"
26,Telecommunications Federal Institute Guidelines for the Collaboration on Security and Justice (New),http://www.dof.gob.mx/nota_detalle.php?codigo=5517853&fecha=02/04/2018,"April 2, 2018","2018-09-16"
27,Telcel Data Protection Form,http://www.telcel.com/content/dam/telcelcom/aviso-de-privacidad/documentos/formulario-datos-personales-telcel.pdf,None found,"2018-09-16"
28,América Móvil Privacy Policy,http://s22.q4cdn.com/604986553/files/doc_downloads/privacy/Privacy-Policy.pdf,"March, 2018","2018-09-18"
29,América Móvil Human Rights Policy,http://s22.q4cdn.com/604986553/files/doc_downloads/human_rights/Human-Rights-Policy.pdf,"March , 2018","2018-09-18"
30,América Móvil Complaint Mechanism,https://denuncias.americamovil.com/,None found,"2018-09-20"
31,América Móvil Privacy Policy Spanish,http://s22.q4cdn.com/604986553/files/doc_downloads/privacy/Pol%C3%ADtica-de-Privacidad.pdf,"March, 2018","2018-10-01"
