Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Internet,Apple,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,0,no disclosure found,No disclosure found.,NA
Internet,Apple,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. Apple's Privacy Overview page (Source 19) says, ""At Apple, we believe privacy is a fundamental human right.""",NA
Internet,Apple,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,0,NA,NA,NA
Internet,Apple,Group,NA,Group - Privacy,Governance,G1,Level,NA,100,NA,NA,19
Internet,Apple,Total,NA,NA,Governance,G1,Indicator,NA,50,NA,NA,NA
Internet,Apple,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Apple,Group,NA,Group - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. The charter for the Audit and Finance Committee of Apple's Board of Directors (Source 30) says one of the committee's purposes is to ""Assist the Board in oversight and monitoring of:...enterprise risk management, privacy and data security""",NA
Internet,Apple,Cloud,iCloud,iCloud - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Apple,Cloud,iCloud,iCloud - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. The charter for the Audit and Finance Committee of Apple's Board of Directors (Source 30) says one of the committee's purposes is to ""Assist the Board in oversight and monitoring of:...enterprise risk management, privacy and data security""",NA
Internet,Apple,Messaging and VoIP,iMessage,iMessage - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Apple,Messaging and VoIP,iMessage,iMessage - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. The charter for the Audit and Finance Committee of Apple's Board of Directors (Source 30) says one of the committee's purposes is to ""Assist the Board in oversight and monitoring of:...enterprise risk management, privacy and data security""",NA
Internet,Apple,Mobile Ecosystems,iOS mobile ecosystem,iOS mobile ecosystem - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Apple,Mobile Ecosystems,iOS mobile ecosystem,iOS mobile ecosystem - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. The charter for the Audit and Finance Committee of Apple's Board of Directors (Source 30) says one of the committee's purposes is to ""Assist the Board in oversight and monitoring of:...enterprise risk management, privacy and data security""",NA
Internet,Apple,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Apple,Group,NA,Group - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. Katherine Adams, Apple's Senior Vice President and General Counsel ""serves on the company’s executive team and oversees all legal matters, including corporate governance, intellectual property, litigation and securities compliance, global security and privacy."" (Source 31)",NA
Internet,Apple,Cloud,iCloud,iCloud - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Apple,Cloud,iCloud,iCloud - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. Katherine Adams, Apple's Senior Vice President and General Counsel ""serves on the company’s executive team and oversees all legal matters, including corporate governance, intellectual property, litigation and securities compliance, global security and privacy."" (Source 31)",NA
Internet,Apple,Messaging and VoIP,iMessage,iMessage - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Apple,Messaging and VoIP,iMessage,iMessage - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. Katherine Adams, Apple's Senior Vice President and General Counsel ""serves on the company’s executive team and oversees all legal matters, including corporate governance, intellectual property, litigation and securities compliance, global security and privacy."" (Source 31)",NA
Internet,Apple,Mobile Ecosystems,iOS mobile ecosystem,iOS mobile ecosystem - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Apple,Mobile Ecosystems,iOS mobile ecosystem,iOS mobile ecosystem - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. Katherine Adams, Apple's Senior Vice President and General Counsel ""serves on the company’s executive team and oversees all legal matters, including corporate governance, intellectual property, litigation and securities compliance, global security and privacy."" (Source 31)",NA
Internet,Apple,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
