Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
1,Apple Privacy Policy,https://www.apple.com/legal/privacy/en-ww/,"May 22, 2018","Sept. 16, 2018"
2,Spanish-Apple Privacy Policy,https://www.apple.com/legal/privacy/es-la/,May 2018,"Sept. 16, 2018"
3,App Store Review Guidelines,https://developer.apple.com/app-store/review/guidelines/#privacy,"June 4, 2018","Sept. 16, 2018"
4,Privacy Governance,https://www.apple.com/legal/privacy/en-ww/governance/,N/A,"Sept. 16, 2018"
5,Common App Rejections,https://developer.apple.com/app-store/review/rejections/,N/A,43497
6,App Review,https://developer.apple.com/support/app-review/,N/A,"Sept. 16, 2018"
7,Manage Your Privacy,https://www.apple.com/privacy/manage-your-privacy/,N/A,"Sept. 16, 2018"
8,Privacy Policy - California Privacy Disclosures,https://www.apple.com/legal/privacy/california-dnt/,N/A,"Sept. 16, 2018"
9,US Law Enforcement Guidelines,https://www.apple.com/legal/privacy/law-enforcement-guidelines-us.pdf,N/A,"Sept. 16, 2018"
10,Non-US Law Enforcement Guidelines,https://images.apple.com/legal/privacy/law-enforcement-guidelines-outside-us.pdf,N/A,"Sept. 16, 2018"
11,Third party requests webpage,https://www.apple.com/privacy/government-information-requests/,N/A,"Sept. 16, 2018"
12,Transparency Report - July-Dec 2017,https://www.apple.com/legal/privacy/transparency/requests-2017-H2-en.pdf,Early 2018,"Sept. 16, 2018"
13,iOS Security Guide,https://www.apple.com/business/site/docs/iOS_Security_Guide.pdf,"August 1, 2018","Sept. 17, 2018"
14,Contact Apple About Security Issues,https://support.apple.com/en-us/HT201220,"Sept. 15, 2018","Sept. 17, 2018"
15,"Update your iPhone, iPad, or iPod touch",https://support.apple.com/en-us/HT204204,"Feb. 15, 2018","Sept. 17, 2018"
16,Apple Security Updates,https://support.apple.com/en-us/HT201222,"Sept. 12, 2018","Sept. 17, 2018"
17,Check your Apple ID device list to see where you're signed in,https://support.apple.com/en-us/HT205064,"Sept. 19, 2017","Sept. 17, 2018"
18,How to view recent logins on apple id?,https://discussions.apple.com/thread/5862162,"Feb. 5, 2014","Sept. 17, 2018"
19,Apple Privacy Overview,https://www.apple.com/privacy/,N/A,"Sept. 17, 2018"
20,Security and your Apple ID,https://support.apple.com/en-us/HT201303,"May 19, 2018","Sept. 17, 2018"
21,Our Approach to Privacy,https://www.apple.com/privacy/approach-to-privacy/,N/A,"Sept. 17, 2018"
22,iCloud Security,https://support.apple.com/en-us/HT202303,"July 11, 2018","Sept. 17, 2018"
23,App Store Content Dispute,https://www.apple.com/legal/internet-services/itunes/appstorenotices/#?lang=en,N/A,"Sept. 17, 2018"
24,iCloud Terms of Service,https://www.apple.com/legal/internet-services/icloud/en/terms.html,"Sept. 19, 2017","Sept. 17, 2018"
25,Spanish iCloud Terms of Service,https://www.apple.com/legal/internet-services/icloud/la/terms.html,"Sept. 19, 2017","Sept. 17, 2018"
26,iOS 12 Software License Agreement,https://www.apple.com/legal/sla/docs/iOS12.pdf,"Sept. 5, 2018","Sept. 17, 2018"
27,App Store Terms of Service,https://www.apple.com/legal/internet-services/itunes/us/terms.html,"Sept. 13, 2016","Sept. 17, 2018"
28,Spanish-App Store Terms of Service,https://www.apple.com/legal/internet-services/itunes/us-latino/terms.html,"Sept. 13, 2016","Sept. 17, 2018"
29,Apple Developer Agreement,https://developer.apple.com/programs/terms/apple_developer_agreement.pdf,"June 8, 2015","Sept. 17, 2018"
30,Audit and Finance Committee Charter,https://s22.q4cdn.com/396847794/files/committee_charters/2018.02.12_AFC_Charter.pdf,"Feb. 12, 2018","Sept. 17, 2018"
31,Apple's Executive Team: Katherine Adams,http://investor.apple.com/investor-relations/leadership-and-governance/,N/A,"Sept. 17, 2018"
32,Business Conduct Policy,https://files.shareholder.com/downloads/AAPL/0x0x443008/5f38b1e6-2f9c-4518-b691-13a29ac90501/business_conduct_policy.pdf,October 2015,"Sept. 17, 2018"
33,Public Policy Advocacy,https://www.apple.com/public-policy-advocacy/,N/A,"Sept. 17, 2018"
34,Claims of Copyright Infringement (“DMCA”),https://www.apple.com/legal/contact/copyright-infringement.html,N/A,"Sept. 29, 2018"
35,Apple Transparency Report H1 2018,https://www.apple.com/legal/transparency/pdf/requests-2018-H1-en.pdf,December 2018,"January 30, 2019"
36,US Legal Process Guidelines,https://www.apple.com/legal/privacy/law-enforcement-guidelines-us.pdf,"December 5, 2018","January 30, 2019"
37,Legal Process Guidelines Outside US,https://images.apple.com/legal/privacy/law-enforcement-guidelines-outside-us.pdf,"December 19, 2018","January 30, 2019"
38,Apple Transparency Report data (account restrictions/deletions) H1 2018,https://www.apple.com/legal/transparency/,"December 19, 2018","January 30, 2019"
