Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Telecommunication,Axiata,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Axiata,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,0,no disclosure found,"No disclosure found. Though the 2017 Sustainability Report and 2017 Annual Report reference the importance of privacy, information security, and cyber security - privacy is not placed in the context of human rights. Thus, no disclosure is found. See: The 2017 Sustainability Report recognizes privacy and data protection as a materiality issue (Source 11, p.12). In the 2017 Sustainability Report, the Supplier Code of Conduct has incorporated additional privacy and cyber security interests (Source 11, p.16). The 2017 Annual Report recognizes regulations around privacy and cyber security as a complexity the company needed to navigate (Source 10, p.36).",NA
Telecommunication,Axiata,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G1,Element,G1.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Axiata,Operating Company,NA,OperatingCo - Privacy,Governance,G1,Element,G1.1,0,no disclosure found,"No disclosure found. Though the 2017 Sustainability Report and 2017 Annual Report reference the importance of privacy, information security, and cyber security - privacy is not placed in the context of human rights. Thus, no disclosure is found. See: The 2017 Sustainability Report recognizes privacy and data protection as a materiality issue (Source 11, p.12). In the 2017 Sustainability Report, the Supplier Code of Conduct has incorporated additional privacy and cyber security interests (Source 11, p.16). The 2017 Annual Report recognizes regulations around privacy and cyber security as a complexity the company needed to navigate (Source 10, p.36).",NA
Telecommunication,Axiata,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,0,NA,NA,NA
Telecommunication,Axiata,Group,NA,Group - Privacy,Governance,G1,Level,NA,0,NA,NA,10; 11
Telecommunication,Axiata,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G1,Level,NA,0,NA,NA,NA
Telecommunication,Axiata,Operating Company,NA,OperatingCo - Privacy,Governance,G1,Level,NA,0,NA,NA,10; 11
Telecommunication,Axiata,Total,NA,NA,Governance,G1,Indicator,NA,0,NA,NA,NA
Telecommunication,Axiata,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found,NA
Telecommunication,Axiata,Group,NA,Group - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. As outlined in the 2017 Annual Report, Axiata has a 'Cyber Security Steering Committee"" (Source 10, p.63). In addition, the Board  together with management, implements the policies and procedures of the Board Code of Conduct which ""covers the areas of conflicts of interest, bribes and corruption, gifts and hospitality, competing against Axiata Group, insider trading, relative of directors, data privacy, investors, media, analysts and others, money laundering, corporate opportunities, confidentiality, protection of assets and fair dealing'' (Source 15, p.15). According to the Board Code of Conduct, ''Directors shall ensure that the collection, process, use and retention of personal data by Axiata from its employees, customers, suppliers and other individuals is only as necessary for Axiata’s business in compliance with the laws in which Axiata does business and to take all reasonable steps to safeguard such information from inappropriate access or misuse'' (Source 16, p.4, clause 9.1).",NA
Telecommunication,Axiata,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found,NA
Telecommunication,Axiata,Operating Company,NA,OperatingCo - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. As outlined in the 2017 Annual Report, Axiata has a 'Cyber Security Steering Committee"" (Source 10, p.63). In addition, the Board  together with management, implements the policies and procedures of the Board Code of Conduct which ""covers the areas of conflicts of interest, bribes and corruption, gifts and hospitality, competing against Axiata Group, insider trading, relative of directors, data privacy, investors, media, analysts and others, money laundering, corporate opportunities, confidentiality, protection of assets and fair dealing'' (Source 15, p.15). According to the Board Code of Conduct, ''Directors shall ensure that the collection, process, use and retention of personal data by Axiata from its employees, customers, suppliers and other individuals is only as necessary for Axiata’s business in compliance with the laws in which Axiata does business and to take all reasonable steps to safeguard such information from inappropriate access or misuse'' (Source 16, p.4, clause 9.1).",NA
Telecommunication,Axiata,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found,NA
Telecommunication,Axiata,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. As outlined in the 2017 Annual Report, Axiata has a 'Cyber Security Steering Committee"" (Source 10, p.63). In addition, the Board  together with management, implements the policies and procedures of the Board Code of Conduct which ""covers the areas of conflicts of interest, bribes and corruption, gifts and hospitality, competing against Axiata Group, insider trading, relative of directors, data privacy, investors, media, analysts and others, money laundering, corporate opportunities, confidentiality, protection of assets and fair dealing'' (Source 15, p.15). According to the Board Code of Conduct, ''Directors shall ensure that the collection, process, use and retention of personal data by Axiata from its employees, customers, suppliers and other individuals is only as necessary for Axiata’s business in compliance with the laws in which Axiata does business and to take all reasonable steps to safeguard such information from inappropriate access or misuse'' (Source 16, p.4, clause 9.1).",NA
