Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
1,Celcom Xpax Prepaid General Terms and Conditions,https://www.celcom.com.my/legal/terms-and-conditions/personal,None found,"2018-09-10"
2,Celcom Mobile PostPaid General ToS,https://www.celcom.com.my/legal/terms-and-conditions/personal,None found,"2018-09-10"
3,Celcom First Data General ToS,https://www.celcom.com.my/legal/terms-and-conditions/personal,None found,"2018-09-10"
4,Celcom First Wifi General ToS,https://www.celcom.com.my/legal/terms-and-conditions/personal,None found,"2018-09-10"
5,Celcom Broadband Celcom Home Fiber,https://www.celcom.com.my/legal/terms-and-conditions/personal,None found,"2018-09-10"
6,Celcom Fair Use Policy,https://www.celcom.com.my/legal/fair-usage-policy,None found,"2018-09-10"
7,Celcom Web Usage Terms of Service,https://www.celcom.com.my/legal/terms-and-conditions/general,None found,"2018-09-14"
8,Celcom FAQ Service Registration,https://www.celcom.com.my/support/faq/general,None found,"2018-09-14"
9,Celcom Privacy Policy,https://www.celcom.com.my/legal/privacy-notice,2018,"2018-09-14"
10,Axiata Annual Report 2017,https://www.axiata.com/investor-relations/2017/ar/index.html,2017,"2018-09-15"
11,Axiata Sustainability Report 2017,https://axiata.listedcompany.com/misc/ar2017/sr2017.pdf,2017,"2018-09-15"
12,Axiata Supplier Code of Conduct,https://www.axiata.com/files/upload/corporate/supplier_code_of_conduct.pdf,None found,"2018-09-17"
13,Deloitte Becomes Accredited GNI Assessor,https://globalnetworkinitiative.org/deloitte-becomes-accredited-gni-assessor/,"March 8, 2018","2018-09-19"
14,The Ten Principles of the UN Global Compact,https://www.unglobalcompact.org/what-is-gc/mission/principles,None found,"2018-09-19"
15,Axiata Corporate Governance Report 2017,https://axiata.com/files/upload/corporate/Corporate_Governance_Report.pdf,"December 31, 2017","2018-09-19"
16,Board of Directors Code of Conduct and Ethics,https://www.axiata.com/files/upload/corporate/Board_Code_of_Conduct_and_Ethics.pdf,February 2018,"2018-09-19"
17,Axiata Appoints Chief Executive Officer for Axiata Business Services and Group Chief Information Security Officer & Group Head of Privacy,https://www.axiata.com/mroom/news-article/165/,"January 04, 2018","2018-10-03"
18,Axiata Sustainability Report 2016,https://axiata.listedcompany.com/misc/FlippingBook_PDF_Publisher/Publications/HTML/sustainability2016/files/assets/basic-html/page-1.html#,None found,"2018-11-07"
19,Axiata Annual Report 2015,http://ir.listedcompany.com/tracker.pl?type=5&id=77474&m=854d8bc2f3ad37c58693edc1ef85046c52ae9603edf3947957d1cf8d60b95630&redirect=http%3A%2F%2Faxiata.listedcompany.com%2Fmisc%2Far2015.pdf,April 2016,"2018-11-07"
