Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
1,Intellectual Property Statement/知识产权声明,http://www.baidu.com/duty/copyright.html,None found,"2018-09-12"
2,Disclaimer/免责声明,http://www.baidu.com/duty/index.html,None found,"2018-09-12"
3,Rights Statement/权利声明,http://www.baidu.com/duty/right.html,None found,"2018-09-12"
4,Privacy Protection Statement/隐私权保护声明,http://www.baidu.com/duty/yinsiquan.html,None found,"2018-09-12"
5,General Rules of Baidu Privacy Policy/百度隐私政策总则,http://www.baidu.com/duty/yinsiquan-policy.html,None found,"2018-09-12"
6,Privacy Protection for Specific Products/特定产品的隐私保护,http://www.baidu.com/duty/yinsiquan-sub.html,None found,"2018-09-12"
7,Netizen Rights Protection Scheme/百度网民权益保障计划,http://www.baidu.com/duty/baozhang.html,None found,"2018-09-12"
8,Baidu User Agreement/百度用户协议,https://passport.baidu.com/static/passpc-account/html/protocal.html,None found,"2018-09-12"
9,Baidu WangPan Terms of Service/百度网盘服务协议,https://pan.baidu.com/disk/duty/,None found,"2018-09-12"
10,PostBar Agreement/贴吧协议,http://tb1.bdstatic.com/tb/eula.html,None found,"2018-09-12"
11,Baidu WangPan Rights Statement/百度云权利声明,http://yun.baidu.com/disk/privacy,None found,"2018-09-12"
12,Privacy Setting-Search History/隐私设置-搜索历史记录,http://www.baidu.com/duty/privacysettings.html?from=yinsiwenzi,None found,"2018-09-16"
13,Baidu Report Platform/百度举报平台,http://jubao.baidu.com/jubao/,None found,"2018-09-12"
14,Baidu Security Response Center/百度安全应急响应中心,http://sec.baidu.com/views/main/index.html,None found,"2018-09-12"
15,Rewarding Details of Loophole Reporting for Baidu Security Response Center (Version 4.1)/百度安全应急响应中心漏洞奖励细节V4.1,https://bsrc.baidu.com/%E7%99%BE%E5%BA%A6%E5%A4%96%E9%83%A8%E6%BC%8F%E6%B4%9E%E6%8A%A5%E5%91%8A%E5%A4%84%E7%90%86%E6%B5%81%E7%A8%8BV4.1.pdf,None found,"2018-09-12"
16,Baidu Account Setting/百度帐号设置,https://passport.baidu.com/center,None found,"2018-09-12"
17,Baidu Service Center/百度服务中心,http://help.baidu.com/,None found,"2018-09-12"
18,Register Baidu Account/注册百度账号,https://passport.baidu.com/v2/?reg&tt=1536746532567&overseas=undefined&gid=6524B04-38AA-49A3-B056-8227FEF89819&tpl=mn&u=https%3A%2F%2Fwww.baidu.com%2F,None found,"2018-09-12"
19,Baidu WangPan/百度网盘,https://pan.baidu.com/,None found,"2018-09-12"
20,Baidu PostBar/百度贴吧,https://tieba.baidu.com/index.html,None found,"2018-09-12"
21,Baidu Homepage/百度首頁,http://www.baidu.com/,None found,"2018-09-16"
22,Baidu WangPan Help Center-FAQ/百度网盘帮助中心-热点FAQ,https://yun.baidu.com/disk/help,None found,"2018-09-15"
23,PostBar Feedback/贴吧问题反馈,http://tieba.baidu.com/hermes/feedback?red_tag=t0487772779,None found,"2018-09-16"
24,Baidu Report Platform 2 /百度举报平台,http://jubao.baidu.com/jubao/,None found,"2018-09-21"
25,Baidu Service Center for Baidu Search /百度服务中心-百度搜索,http://help.baidu.com/question?prod_id=1&class=0&id=1340,None found,"2018-09-21"
26,Baidu Service Center for Baidu Postbar /百度服务中心-百度贴吧,http://help.baidu.com/question?prod_id=3&class=393,None found,"2018-09-21"
27,Baidu PostBar's Public Notification Area for Violations / 百度贴吧违规信息处理公示,http://tieba.baidu.com/tb/zt/notice.html,None found,"2018-09-21"
28,Baidu Service Center - Baidu Account / 百度服务中心 - 百度账号,http://help.baidu.com/question?prod_en=passport&class=19,None found,"2018-09-22"
29,Baidu Service Center for Baidu PostBar - Unblock Account /百度服务中心百度贴吧 - 账号解封,http://help.baidu.com/question?prod_id=3&class=405,None found,"2018-09-24"
30,Baidu Service Center for Baidu PostBar - Complaint Center Intro / 百度服务中心百度贴吧 - 投诉中心简介,http://help.baidu.com/question?prod_id=3&class=393&id=2608,None found,"2018-09-24"
