Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Telecommunication,Bharti Airtel,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,50,partial,"Partial. Airtel provides a 'Human Rights Policy"" (Source 25) which states that company ""respects the human rights of its customers, employees, suppliers, partner companies and the community, in accordance with the Indian Constitution and the applicable Indian Labor Laws."" However that policy does not reference freedom of expression or any international human rights frameworks that set standards for companies' respect for users' rights.",NA
Telecommunication,Bharti Airtel,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,50,partial,"Partial. Airtel provides a 'Human Rights Policy"" (Source 25) which states that company ""respects the human rights of its customers, employees, suppliers, partner companies and the community, in accordance with the Indian Constitution and the applicable Indian Labor Laws."" However that policy does not reference freedom of expression or any international human rights frameworks that set standards for companies' respect for users' rights.",NA
Telecommunication,Bharti Airtel,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G1,Element,G1.1,50,partial,"Partial. Airtel provides a 'Human Rights Policy"" (Source 25) which states that company ""respects the human rights of its customers, employees, suppliers, partner companies and the community, in accordance with the Indian Constitution and the applicable Indian Labor Laws."" However that policy does not reference freedom of expression or any international human rights frameworks that set standards for companies' respect for users' rights.",NA
Telecommunication,Bharti Airtel,Operating Company,NA,OperatingCo - Privacy,Governance,G1,Element,G1.1,50,partial,"Partial. Airtel provides a 'Human Rights Policy"" (Source 25) which states that company ""respects the human rights of its customers, employees, suppliers, partner companies and the community, in accordance with the Indian Constitution and the applicable Indian Labor Laws."" However that policy does not reference freedom of expression or any international human rights frameworks that set standards for companies' respect for users' rights.",NA
Telecommunication,Bharti Airtel,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,50,NA,NA,25
Telecommunication,Bharti Airtel,Group,NA,Group - Privacy,Governance,G1,Level,NA,50,NA,NA,25
Telecommunication,Bharti Airtel,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G1,Level,NA,50,NA,NA,25
Telecommunication,Bharti Airtel,Operating Company,NA,OperatingCo - Privacy,Governance,G1,Level,NA,50,NA,NA,25
Telecommunication,Bharti Airtel,Total,NA,NA,Governance,G1,Indicator,NA,50,NA,NA,NA
Telecommunication,Bharti Airtel,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Bharti Airtel,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. In the Annual Report (Source 24), the company discloses that ''all policies are administered under the overall supervision of the Airtel Management Board (AMB) of the Company, headed by the Managing Director and Chief Executive Officer. The Audit Committee of the Board along with other Board Committees reviews implementation of policies.'' This includes the Human Rights policy (source 25), in which the company commits to protect the data privacy of its customers.",NA
Telecommunication,Bharti Airtel,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Bharti Airtel,Group,NA,Group - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. In the Annual Report (Source 24), the company discloses that ''all policies are administered under the overall supervision of the Airtel Management Board (AMB) of the Company, headed by the Managing Director and Chief Executive Officer. The Audit Committee of the Board along with other Board Committees reviews implementation of policies.'' This includes the Human Rights policy (source 25), in which the company commits to protect the data privacy of its customers.",NA
Telecommunication,Bharti Airtel,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Bharti Airtel,Operating Company,NA,OperatingCo - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. In the Annual Report (Source 24), the company discloses that ''all policies are administered under the overall supervision of the Airtel Management Board (AMB) of the Company, headed by the Managing Director and Chief Executive Officer. The Audit Committee of the Board along with other Board Committees reviews implementation of policies.'' This includes the Human Rights policy (source 25), in which the company commits to protect the data privacy of its customers.",NA
Telecommunication,Bharti Airtel,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Bharti Airtel,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. In the Annual Report (Source 24), the company discloses that ''all policies are administered under the overall supervision of the Airtel Management Board (AMB) of the Company, headed by the Managing Director and Chief Executive Officer. The Audit Committee of the Board along with other Board Committees reviews implementation of policies.'' This includes the Human Rights policy (source 25), in which the company commits to protect the data privacy of its customers.",NA
Telecommunication,Bharti Airtel,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Bharti Airtel,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. In the Annual Report (Source 24), the company discloses that ''all policies are administered under the overall supervision of the Airtel Management Board (AMB) of the Company, headed by the Managing Director and Chief Executive Officer. The Audit Committee of the Board along with other Board Committees reviews implementation of policies.'' This includes the Human Rights policy (source 25), in which the company commits to protect the data privacy of its customers.",NA
Telecommunication,Bharti Airtel,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Telecommunication,Bharti Airtel,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,"No disclosure found. In the 2018 Airtel Annual Report (source 24. pg 59) it states ""Does the Company have in-house structure to implement the policy/policies - Yes for P5 (human rights including privacy). Though this indicates the human rights policy has an in-house implementation mechanism, it is not sufficient disclosure to demonstrate executive, team, or officer oversight of company practices for affect on privacy. Thus, no disclosure is found.",NA
Telecommunication,Bharti Airtel,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Telecommunication,Bharti Airtel,Group,NA,Group - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,"No disclosure found. In the 2018 Airtel Annual Report (source 24. pg 59) it states ""Does the Company have in-house structure to implement the policy/policies - Yes for P5 (human rights including privacy). Though this indicates the human rights policy has an in-house implementation mechanism, it is not sufficient disclosure to demonstrate executive, team, or officer oversight of company practices for affect on privacy. Thus, no disclosure is found.",NA
Telecommunication,Bharti Airtel,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Telecommunication,Bharti Airtel,Operating Company,NA,OperatingCo - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,"No disclosure found. In the 2018 Airtel Annual Report (source 24. pg 59) it states ""Does the Company have in-house structure to implement the policy/policies - Yes for P5 (human rights including privacy). Though this indicates the human rights policy has an in-house implementation mechanism, it is not sufficient disclosure to demonstrate executive, team, or officer oversight of company practices for affect on privacy. Thus, no disclosure is found.",NA
Telecommunication,Bharti Airtel,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Telecommunication,Bharti Airtel,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,"No disclosure found. In the 2018 Airtel Annual Report (source 24. pg 59) it states ""Does the Company have in-house structure to implement the policy/policies - Yes for P5 (human rights including privacy). Though this indicates the human rights policy has an in-house implementation mechanism, it is not sufficient disclosure to demonstrate executive, team, or officer oversight of company practices for affect on privacy. Thus, no disclosure is found.",NA
Telecommunication,Bharti Airtel,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Telecommunication,Bharti Airtel,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,"No disclosure found. In the 2018 Airtel Annual Report (source 24. pg 59) it states ""Does the Company have in-house structure to implement the policy/policies - Yes for P5 (human rights including privacy). Though this indicates the human rights policy has an in-house implementation mechanism, it is not sufficient disclosure to demonstrate executive, team, or officer oversight of company practices for affect on privacy. Thus, no disclosure is found.",NA
Telecommunication,Bharti Airtel,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Telecommunication,Bharti Airtel,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Element,G2.3,0,no disclosure found,"No disclosure found. In the 2018 Airtel Annual Report (source 24. pg 59) it states ""Does the Company have in-house structure to implement the policy/policies - Yes for P5 (human rights including privacy). Though this indicates the human rights policy has an in-house implementation mechanism, it is not sufficient disclosure to demonstrate management, team, or program oversight of company practices for affect on privacy. Thus, no disclosure is found.",NA
