Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
1,Bharti Airtel Annual Report 2016 - 2017,https://www.airtel.in/airtel-annual-report-2016-17/pdf/Annual-report-2016-17.pdf,"2016-2017,2018-09-04"
2,Bharti Airtel Business Responsibility Report 2016 -2017,https://www.airtel.in/airtel-annual-report-2016-17/pdf/statutory-reports/business-responsibility-report.pdf,"2016-2017,2018-09-04"
3,Bharti Airtel Report on Corporate Governance,https://www.airtel.in/airtel-annual-report-2016-17/pdf/statutory-reports/report-on-corporate-governance.pdf,"2016,2018-09-04"
4,Bharti Airtel Code of Conduct,https://www.airtel.in/partnerworld/Business_Code_of_conduct/,None found,"2018-09-04"
5,Bharti Airtel Code of Conduct for Directors,http://www.airtel.in/wps/wcm/connect/44916b17-dd5d-4c77-b58c-d156415ab1aa/Code-of-Conduct-applicable-to-Directors-and-Senior-Management-of-the-company.pdf?MOD=AJPERES,None found,"2018-09-04"
6,Bharti Airtel Corporate Responsibility Policy,http://www.airtel.in/wps/wcm/connect/fd7b3172-02e5-4e25-af7e-51d64cc17534/CSR+Policy.pdf?MOD=AJPERES&ContentCache=NONE,"2014,2018-09-04"
7,Airtel Sustainability Report 2017,https://www.airtel.in/press-release/07-2017/airtel-releases-2017-india-sustainability-report,"2017,2018-09-04"
8,Airtel Telecom Consumer Charter English,http://www.airtel.in/wps/wcm/connect/decd97bf-477c-415e-86f8-00a0d6b140dc/Airtel-Telecom-Consumers-Charter_Final_HC.pdf?MOD=AJPERES,None found,"2018-09-06"
9,Airtel Telecom Consumer Charter Hindi,https://s3-ap-southeast-1.amazonaws.com/bsy/iportal/images/Airtel-Telecom-Consumers-Charter-Hindi_11DD37280375FB4862235005D9BBBD4B.pdf,None found,"2018-09-06"
10,Airtel Fair Use Policy,http://www.airtel.in/BHARTI/PDF/broadband/BroadBandISDPdf/Fair_Usage_Policy.pdf,None found,"2018-09-08"
11,"Airtel Counters JioGigaFiber, removes broadband FUP limit in select circles",https://indianexpress.com/article/technology/social/airtel-counters-jiogigafiber-removes-broadband-fup-limit-in-select-circles-5249575/,"July 7, 2018","2018-09-08"
12,Airtel Broadband Unlimited Data,https://www.airtel.in/mobile/terms-conditions,None found,"2018-09-08"
13,Postpaid-Aadhaar based Activation/Re-Verification,https://www.airtel.in/mobile/terms-conditions,None found,"2018-09-08"
14,Prepaid-Aadhaar based Activation/Re-Verification,https://www.airtel.in/mobile/terms-conditions,None found,"2018-09-08"
15,Aadhaar FAQ,https://www.airtel.in/aadhaar-faq,None found,"2018-09-08"
16,Aadhaar to be mandatory for mobile phone verification,https://www.livemint.com/Industry/wyGskI48Ak73ETJ5XW0diK/Aadhaar-now-a-must-for-all-mobile-phone-connections-after-ta.html,"March 25, 2017","2018-09-08"
17,Airtel Online Privacy Policy,https://www.airtel.in/forme/privacy-policy,None found,"2018-09-09"
18,Airtel Privacy Policy - collection of personal information,https://www.airtel.in/forme/privacy-policy/collection-of-personal-info,None found,"2018-09-09"
19,Airtel Privacy Policy - Disclosure and Transfer of Personal Information,https://www.airtel.in/forme/privacy-policy/disclosure-and-transfer,None found,"2018-09-09"
20,Airtel Privacy Policy - Security Practices and Procedures,https://www.airtel.in/forme/privacy-policy/security-practices-and-procedures,None found,"2018-09-09"
21,Airtel Privacy Policy - Update of Personal Information,https://www.airtel.in/forme/privacy-policy/update-of-personal,None found,"2018-09-09"
22,Airtel Important Alerts,https://www.airtel.in/forme/important-alerts/,None found,"2018-09-10"
23,Bharti Airtel Sustainability Report 2018,https://s3-ap-southeast-1.amazonaws.com/bsy/iportal/images/sus_1158F5F8D240A731D28068742ADEA0FD_1533119483411.pdf,"2018,2018-09-10"
24,Bharti Airtel Annual Report 2017-2018,https://s3-ap-southeast-1.amazonaws.com/bsy/iportal/images/Annual-report-2017-18_324BCC06D8C6765F2F6C750DD9CD8C63.pdf,"2017-2018,2018-09-10"
25,Bharti Airtel Human Rights Policy,https://www.airtel.in/sustainability-file-embedding-sustainability-human-rights-policy,None found,"2018-09-10"
26,Bharti Airtel COAI Membership,https://www.coai.com/content/bharti-airtel-limited,None found,"2018-09-12"
27,DSCI Excellence Awards,https://www.dsci.in/content/dsci-excellence-awards-2017,"2017,2018-09-12"
28,CIS COAI Events,https://cis-india.org/news/ians-july-4-2014-coai-cis-to-hold-pan-india-meetings-on-privacy-issues,"2014,2018-09-12"
29,Airtel Privacy Policy - Feedback and Concerns,https://www.airtel.in/forme/privacy-policy/feedback,None found,"2018-09-12"
