Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Telecommunication,Deutsche Telekom,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,100,yes,"Yes. The company expresses its commitment to human rights as part of its recognition of the UN Guiding Principles on Business and Human Rights: ""As a responsible company, we are dedicated to respecting and protecting human rights. We expressly subscribe to the UN Guiding Principles on Business and Human Rights, which were passed by the United Nations in 2011. These principles require companies to respect human rights in their business activities. To help us comply with these guidelines, we have created a comprehensive program for the entire Group that we use to implement these guiding principles and have initiated an ongoing process involving several interconnected tools"" (Source 1).",NA
Telecommunication,Deutsche Telekom,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. The company expresses its commitment to human rights as part of its recognition of the UN Guiding Principles on Business and Human Rights: ""As a responsible company, we are dedicated to respecting and protecting human rights. We expressly subscribe to the UN Guiding Principles on Business and Human Rights, which were passed by the United Nations in 2011. These principles require companies to respect human rights in their business activities. To help us comply with these guidelines, we have created a comprehensive program for the entire Group that we use to implement these guiding principles and have initiated an ongoing process involving several interconnected tools (see illustration)"" (Source 1). In addition, the company says that protecting users' data is first priority: ""You don't have to worry about your data. We do it for you. Data privacy is our utmost priority at Deutsche Telekom, due not least to our location. As a German company, we are subject to European data privacy and protection regulations, which are probably the strictest in the world. Yet we don't just want to meet the legal provisions; we want to help shape data privacy actively. To do so, we work together closely with privacy experts, continue to enhance technical standards, and promote maximum transparency. So you can always be sure that one thing is safe: your data” (Source 2).",NA
Telecommunication,Deutsche Telekom,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G1,Element,G1.1,100,yes,"Yes. The company expresses its commitment to human rights as part of its recognition of the UN Guiding Principles on Business and Human Rights: ""As a responsible company, we are dedicated to respecting and protecting human rights. We expressly subscribe to the UN Guiding Principles on Business and Human Rights, which were passed by the United Nations in 2011. These principles require companies to respect human rights in their business activities. To help us comply with these guidelines, we have created a comprehensive program for the entire Group that we use to implement these guiding principles and have initiated an ongoing process involving several interconnected tools"" (Source 1).",NA
Telecommunication,Deutsche Telekom,Operating Company,NA,OperatingCo - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. The company expresses its commitment to human rights as part of its recognition of the UN Guiding Principles on Business and Human Rights: ""As a responsible company, we are dedicated to respecting and protecting human rights. We expressly subscribe to the UN Guiding Principles on Business and Human Rights, which were passed by the United Nations in 2011. These principles require companies to respect human rights in their business activities. To help us comply with these guidelines, we have created a comprehensive program for the entire Group that we use to implement these guiding principles and have initiated an ongoing process involving several interconnected tools (see illustration)"" (Source 1). In addition, the company says that protecting users' data is first priority: ""You don't have to worry about your data. We do it for you. Data privacy is our utmost priority at Deutsche Telekom, due not least to our location. As a German company, we are subject to European data privacy and protection regulations, which are probably the strictest in the world. Yet we don't just want to meet the legal provisions; we want to help shape data privacy actively. To do so, we work together closely with privacy experts, continue to enhance technical standards, and promote maximum transparency. So you can always be sure that one thing is safe: your data” (Source 2).",NA
Telecommunication,Deutsche Telekom,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,100,NA,NA,1
Telecommunication,Deutsche Telekom,Group,NA,Group - Privacy,Governance,G1,Level,NA,100,NA,NA,1;2
Telecommunication,Deutsche Telekom,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G1,Level,NA,100,NA,NA,1
Telecommunication,Deutsche Telekom,Operating Company,NA,OperatingCo - Privacy,Governance,G1,Level,NA,100,NA,NA,1;2
Telecommunication,Deutsche Telekom,Total,NA,NA,Governance,G1,Indicator,NA,100,NA,NA,NA
Telecommunication,Deutsche Telekom,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Deutsche Telekom,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Deutsche Telekom,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Deutsche Telekom,Group,NA,Group - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Deutsche Telekom,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Deutsche Telekom,Operating Company,NA,OperatingCo - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Deutsche Telekom,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Deutsche Telekom,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Deutsche Telekom,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Deutsche Telekom,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Deutsche Telekom,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Telecommunication,Deutsche Telekom,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. Executive board member Thomas Kremer (Source 3) is responsible for data protection, law and compliance.",NA
Telecommunication,Deutsche Telekom,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Telecommunication,Deutsche Telekom,Group,NA,Group - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. Executive board member Thomas Kremer (Source 3) is responsible for data protection, law and compliance.",NA
Telecommunication,Deutsche Telekom,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Telecommunication,Deutsche Telekom,Operating Company,NA,OperatingCo - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. Executive board member Thomas Kremer (Source 3) is responsible for data protection, law and compliance.",NA
Telecommunication,Deutsche Telekom,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Telecommunication,Deutsche Telekom,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. Executive board member Thomas Kremer (Source 3) is responsible for data protection, law and compliance.",NA
Telecommunication,Deutsche Telekom,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Telecommunication,Deutsche Telekom,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. Executive board member Thomas Kremer (Source 3) is responsible for data protection, law and compliance.",NA
Telecommunication,Deutsche Telekom,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Telecommunication,Deutsche Telekom,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Element,G2.3,100,yes,"Yes. The company states it has a data protection division overseeing the company's compliance with external and internal data protection guidelines. Deutsche Telekom has a Group Data Privacy Officer, Dr. Claus-Dieter Ulmer. According to this disclosure, every product and service development is reviewed by this division to ensure compliance with data privacy and security guidelines (Source 4): ""Internal guidance and monitoring: The Group Privacy department advises and monitors all Deutsche Telekom companies with regard to compliance with legal regulations and internal privacy policies. Every one of our product and service developments must be submitted to the department's experts, who conduct a strict privacy and security assessment (PSA) to ensure that all requirements of data privacy and data security are met. Only then can products be offered to customers or used internally""",NA
Telecommunication,Deutsche Telekom,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Telecommunication,Deutsche Telekom,Group,NA,Group - Privacy,Governance,G2,Element,G2.3,100,yes,"Yes. The company states it has a data protection division overseeing the company's compliance with external and internal data protection guidelines. Deutsche Telekom has a Group Data Privacy Officer, Dr. Claus-Dieter Ulmer. According to this disclosure, every product and service development is reviewed by this division to ensure compliance with data privacy and security guidelines (Source 4): ""Internal guidance and monitoring: The Group Privacy department advises and monitors all Deutsche Telekom companies with regard to compliance with legal regulations and internal privacy policies. Every one of our product and service developments must be submitted to the department's experts, who conduct a strict privacy and security assessment (PSA) to ensure that all requirements of data privacy and data security are met. Only then can products be offered to customers or used internally""",NA
Telecommunication,Deutsche Telekom,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
