Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
1,Menschenrechte (Human rights),https://www.telekom.com/de/verantwortung/verantwortung-uebernehmen/verantwortung-uebernehmen/menschenrechte-349790,None found,"2018-08-17"
2,Welche Daten speichern wir? (Your data at Deutsche Telekom),https://www.telekom.com/en/corporate-responsibility/data-protection-data-security/data-protection/your-data-at-dt,None found,"2018-08-17"
3,Thomas Kremer,https://www.telekom.com/de/konzern/vorstand/lebenslauf/thomas-kremer-336194,None found,"2018-08-23"
4,Schutz durch Regeln,https://www.telekom.com/de/verantwortung/datenschutz-und-datensicherheit/datenschutz/ihre-daten-bei-der-telekom/details/schutz-durch-regeln-509250,None found,"2018-08-23"
5,So stellt der Konzern ein hohes Niveau im Datenschutz sicher.,https://www.telekom.com/de/verantwortung/datenschutz-und-datensicherheit/datenschutz/datenschutz/so-stellt-der-konzern-ein-hohes-niveau-im-datenschutz-sicher---334352,None found,"2018-08-23"
6,Verpflichtung auf den Daten- und Informationsschutz 2017,http://www.datenschutzschulung.telekom.com/,None found,"2018-08-23"
7,"Hinweisgeberportal ""Tell me!""",https://www.telekom.com/de/konzern/compliance/hinweisgeberportal,None found,"2018-08-23"
8,Umgang mit Informationen,https://www.telekom.com/de/konzern/compliance/code-of-conduct/details/umgang-mit-informationen-493596,None found,"2018-08-23"
9,Code of Human Rights & Social Principles,https://www.telekom.com/resource/blob/326346/ed9371b80d21f866e920bcf658b0ef1e/dl-social-charter-data.pdf,November 2017,"2018-08-23"
10,Human Rights & Social Performance Report 2017,https://www.telekom.com/en/corporate-responsibility/news-corporate-responsibility/human-rights-social-performance-report-2017-519158,"March 23, 2018","2018-08-23"
11,Deutsche Telekom’s guidelines for artificial intelligence,https://www.telekom.com/en/company/digital-responsibility/details/artificial-intelligence-ai-guideline-524366,"May 11, 2018","2018-08-23"
12,Human Rights Impact Assessment at T-Systems Brazil,https://www.telekom.com/en/corporate-responsibility/news-corporate-responsibility/human-rights-impact-assessment-at-t-systems-brazil-513086,"January 24, 2018","2018-08-23"
13,Allgemeine Geschäftsbedingungen Prepaid,https://www.telekom.de/dlp/agb/pdf/44996.pdf?,"March 1, 2018","2018-08-27"
14,Leistungsbeschreibung Prepaid,https://www.telekom.de/dlp/agb/pdf/45400.pdf,"August 13, 2018","2018-08-27"
15,Allgemeine Geschäftsbedingungen Festnetz- und Mobilfunk-Anschlüsse,https://www.telekom.de/dlp/agb/pdf/44909.pdf?,"January 1, 2018","2018-08-27"
16,Leistungsbeschreibung Mobilfunk,https://telekomhilft.telekom.de/riokc95758/attachments/riokc95758/865/179053/2/Leistungsbeschreibung.pdf,"March 6, 2018","2018-08-27"
17,Leistungsbeschreibung MagentaZuhause,https://telekomhilft.telekom.de/riokc95758/attachments/riokc95758/865/179053/2/Leistungsbeschreibung.pdf,"August 1, 2018","2018-08-27"
18,Allgemeiner Datenschutzhinweis der Telekom Deutschland GmbH,https://www.telekom.de/datenschutzhinweise/download/000.pdf,"August 1, 2018","2018-08-28"
19,Datenschutzhinweis der Telekom Deutschland GmbH („Telekom“) für den Abschluss eines Festnetz- oder Mobilfunkvertrags,https://www.telekom.de/datenschutzhinweise/download/001.pdf,"May 25, 2018","2018-08-28"
20,Datentransparenz,https://www.telekom.de/start/datentransparenz,None found,"2018-08-28"
21,Transparenzbericht: Unterstützung der Sicherheitsbehörden,https://www.telekom.com/de/verantwortung/datenschutz-und-datensicherheit/datenschutz/datenschutz/transparenzbericht-351068,"February 22, 2018","2018-08-29"
22,Schutz durch Technik,https://www.telekom.com/de/verantwortung/datenschutz-und-datensicherheit/datenschutz/ihre-daten-bei-der-telekom/details/schutz-durch-technik-509240,None found,"2018-08-30"
23,OPT-OUT SERVICE,https://www.optout-service.telekom-dienste.de/public/anmeldung.jsp,None found,"2018-08-30"
24,Binding Interpretations Datenschutz-Grundverordnung,https://www.telekom.com/resource/blob/481822/520b961192412cd5db5a080a6cfec55e/dl-binding-interpretations-data.pdf,"November 18, 2016","2018-08-30"
25,Corporate Responsibility Report 2017,https://www.cr-report.telekom.com/site18/sites/default/files/pdf/cr_en_2017_dt_final.pdf,None found,"2018-09-04"
26,Jugendschutz: Selbstregulierung,https://www.telekom.com/de/verantwortung/gesellschaft-und-mitarbeiter/jugendschutz,None found,"2018-09-04"
27,Stream On,https://www.telekom.de/unterwegs/tarife-und-optionen/streamon,None found,"2018-09-04"
28,Was ist Stream On?,https://www.telekom.de/hilfe/mobilfunk-mobiles-internet/mobiles-internet-e-mail/streamon/was-ist-streamon?samChecked=true,None found,"2018-09-04"
29,StreamOn: Wir kämpfen für unsere Kunden,https://www.telekom.com/de/blog/konzern/artikel/streamon-wir-kaempfen-fuer-unsere-kunden-510862,"December 15, 2017","2018-09-04"
30,Wie legitimiere bzw. identifiziere ich mich für meinen Prepaid-Vertrag?,https://www.telekom.de/hilfe/mobilfunk-mobiles-internet/legitimation-und-videoident/wie-aktiviere-ich-meine-prepaid-sim-karte?samChecked=true,None found,"2018-09-05"
31,Welche Ausweisdokumente benötige ich für die Legitimation?,https://www.telekom.de/hilfe/mobilfunk-mobiles-internet/legitimation-und-videoident/welche-dokumente-benoetige-ich,None found,"2018-09-05"
32,Auskunft an Sicherheitsbehörden,https://www.telekom.com/de/verantwortung/datenschutz-und-datensicherheit/archiv-datenschutznews/news/auskunft-an-sicherheitsbehoerden-344448,"July 19, 2013","2018-09-06"
33,ReSA: Unterstützung für Sicherheitsbehörden,https://www.telekom.com/de/verantwortung/datenschutz-und-datensicherheit/archiv-datenschutznews/news/resa--unterstuetzung-fuer-sicherheitsbehoerden-349840,"January 21, 2015","2018-09-06"
34,Transparency Report Germany,https://www.telekom.com/de/verantwortung/datenschutz-und-datensicherheit/datenschutz/datenschutz/deutschland-351042,None found,"2018-09-06"
35,Transparency Report Albania,https://www.telekom.com/de/verantwortung/datenschutz-und-datensicherheit/datenschutz/datenschutz/albanien-351052,None found,"2018-09-06"
36,Transparency Report Greece,https://www.telekom.com/de/verantwortung/datenschutz-und-datensicherheit/datenschutz/datenschutz/griechenland-351048,None found,"2018-09-06"
37,Transparency Report USA,https://www.telekom.com/en/corporate-responsibility/data-protection-data-security/news/usa-363548,None found,"2018-09-06"
38,Transparency Report Slovakia,https://www.telekom.com/en/corporate-responsibility/data-protection-data-security/news/slovakia-363550,None found,"2018-09-06"
39,"Gestatten, CERT",https://www.telekom.com/de/verantwortung/datenschutz-und-datensicherheit/sicherheit/sicherheit/gestatten--cert-342726,None found,"2018-09-06"
40,Sicherheitslücken schließen,https://www.telekom.com/de/verantwortung/datenschutz-und-datensicherheit/sicherheit/sicherheit/sicherheitsluecken-schliessen-345714,None found,"2018-09-06"
41,Sicher Digital,https://www.sicherdigital.de/,None found,"2018-09-06"
42,Teach Today,https://www.teachtoday.de/Initiative/Ueber_Teachtoday/68_Unsere_Initiative.htm,None found,"2018-09-06"
43,Teach Today: Datenschutz Online Training,https://www.teachtoday.de/Informieren/Datenschutz/1507_Onlinetraining.htm,None found,"2018-09-06"
44,Daten einfach schützen,https://www.telekom.com/de/verantwortung/datenschutz-und-datensicherheit/datenschutz/datenschutz-tipps-der-telekom,None found,"2018-09-06"
45,Achtung Phishing: Gefälschter Telekom-Login,https://www.telekom.com/de/verantwortung/datenschutz-und-datensicherheit/archiv-datenschutznews/news/achtung-phishing-gefaelschter-telekom-login-535148,None found,"2018-09-06"
46,Group Privacy Activity Report 2017 for the Group Board of Management,https://www.telekom.com/resource/blob/526106/ba65c4aff8311e3c8b5ab6e69492ef38/dl-report-datasecurity-2017-data.pdf,"March 23, 2018","2018-09-06"
47,Privacy and Security Assessment,https://www.telekom.com/resource/blob/310264/2bad5595fa0ec0a2ba366e65bdc7a239/dl-psa-booklet-data.pdf,November 2017,"2018-09-06"
48,We need a “Digital Ethics” policy: Deutsche Telekom defines its own policy for the use of artificial intelligence,https://www.telekom.com/en/company/digital-responsibility/details/we-need-a-digital-ethics-policy-524364,"May 11, 2018","2018-09-22"
49,Telekom Contact Point for Human Rights : Inquiries with Human Rights Relevance,https://www.telekom.com/en/corporate-responsibility/assume-responsibility/assume-responsibility/telekom-contact-point-for-human-rights---inquiries-with-human-rights-relevance-362214,None found,"2018-09-22"
50,Measures to Make the Internet a Better Place for Kids,https://www.telekom.com/resource/blob/314920/e58d2bd6f6c2ff79265c12d268a1340b/dl-massnahmen-data.pdf,"January 21, 2013","2018-09-23"
51,Binding Corporate Rules Deutsche Telekom Group,https://www.telekom.com/resource/blob/323318/7dc2556f11e7330d66953ea352662515/dl-binding-corporate-rules-privacy-data.pdf,"December 5, 2013","2018-09-26"
52,Volksverschlüsselung: secure email for Germany,https://www.telekom.com/en/media/media-information/archive/volksverschluesselung--secure-e-mail-for-germany-363228,"June 29, 2016","2018-09-27"
53,Protected by Technology,https://www.telekom.com/en/corporate-responsibility/data-protection-data-security/data-protection/your-data-at-dt/details/protected-by-technology-511820,None found,"2018-09-27"
54,How Deutsche Telekom's information service works,https://www.telekom.com/en/corporate-responsibility/data-protection-data-security/security/abuse,None found,"2018-09-27"
55,Cyber-paramedics fight Internet infections,https://www.telekom.com/en/corporate-responsibility/data-protection-data-security/security/security/cyber-paramedics-fight-internet-infections-362904,"August 20,2014","2018-09-27"
56,Closing security gaps,https://www.telekom.com/en/corporate-responsibility/data-protection-data-security/security/details/closing-security-gaps-360054,None found,"2019-02-20"
57,Kontaktformulare für Missbrauchsfälle,https://www.telekom.de/hilfe/festnetz-internet-tv/sicherheit/missbrauch-von-diensten/kontaktformulare-fuer-missbrauchsfaelle?samChecked=true,None found,"2019-02-20"
58,Independent Assurance Report,https://www.cr-report.telekom.com/site18/about-report/independent-assurance-report,None found,"2019-02-28"
