Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Telecommunication,Etisalat,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,0,no disclosure found,"No disclosure found. Etisalat states in its Annual Report 2017 (Source 13) that ""the company works continuously to respect and protect human rights – its most important obligation as a member of a global society"" but this policy does not make any explicit commitment to respect users' freedom of expression. Etisalat further discloses in the Statement of continued support by the Chief Executive Officer that “Etisalat reaffirms its support of the Ten Principles of the United Nations Global Compact in its effort to fight for human rights, its defense of labour and the environment, and its efforts to combat corruption"" (Source 15). However, the Ten Principles of the United Nations Global Compact make no explicit reference to freedom of expression.",NA
Telecommunication,Etisalat,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,0,no disclosure found,"No disclosure found. Etisalat states in its Annual Report 2017 (Source 13) that ""the company works continuously to respect and protect human rights – its most important obligation as a member of a global society."" but the company does not disclose an explicit commitment to respect users' privacy. Etisalat further discloses in the Statement of continued support by the Chief Executive Officer that “Etisalat reaffirms its support of the Ten Principles of the United Nations Global Compact in its effort to fight for human rights, its defense of labour and the environment, and its efforts to combat corruption"" (Source 15). However, the Ten Principles of the United Nations Global Compact make no explicit reference to privacy.",NA
Telecommunication,Etisalat,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G1,Element,G1.1,0,no disclosure found,"No disclosure found. Etisalat states in its Annual Report 2017 (Source 13) that ""the company works continuously to respect and protect human rights – its most important obligation as a member of a global society"" but this policy does not make any explicit commitment to respect users' freedom of expression. Etisalat further discloses in the Statement of continued support by the Chief Executive Officer that “Etisalat reaffirms its support of the Ten Principles of the United Nations Global Compact in its effort to fight for human rights, its defense of labour and the environment, and its efforts to combat corruption"" (Source 15). However, the Ten Principles of the United Nations Global Compact make no explicit reference to freedom of expression.",NA
Telecommunication,Etisalat,Operating Company,NA,OperatingCo - Privacy,Governance,G1,Element,G1.1,0,no disclosure found,"No disclosure found. Etisalat states in its Annual Report 2017 (Source 13) that ""the company works continuously to respect and protect human rights – its most important obligation as a member of a global society."" but the company does not disclose an explicit commitment to respect users' privacy. Etisalat further discloses in the Statement of continued support by the Chief Executive Officer that “Etisalat reaffirms its support of the Ten Principles of the United Nations Global Compact in its effort to fight for human rights, its defense of labour and the environment, and its efforts to combat corruption"" (Source 15). However, the Ten Principles of the United Nations Global Compact make no explicit reference to privacy.",NA
Telecommunication,Etisalat,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,0,NA,NA,13; 15
Telecommunication,Etisalat,Group,NA,Group - Privacy,Governance,G1,Level,NA,0,NA,NA,13; 15
Telecommunication,Etisalat,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G1,Level,NA,0,NA,NA,13; 15
Telecommunication,Etisalat,Operating Company,NA,OperatingCo - Privacy,Governance,G1,Level,NA,0,NA,NA,13; 15
Telecommunication,Etisalat,Total,NA,NA,Governance,G1,Indicator,NA,0,NA,NA,NA
Telecommunication,Etisalat,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Etisalat,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Etisalat,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Etisalat,Group,NA,Group - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Etisalat,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Etisalat,Operating Company,NA,OperatingCo - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Etisalat,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Etisalat,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Etisalat,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Etisalat,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Etisalat,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Telecommunication,Etisalat,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Telecommunication,Etisalat,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Telecommunication,Etisalat,Group,NA,Group - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Telecommunication,Etisalat,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Telecommunication,Etisalat,Operating Company,NA,OperatingCo - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Telecommunication,Etisalat,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Telecommunication,Etisalat,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Telecommunication,Etisalat,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Telecommunication,Etisalat,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
