Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
1,Privacy Police-En,https://www.etisalat.ae/en/privacy-policy.jsp,N/A,"2018-08-30"
2,Privacy Police-Ar,https://www.etisalat.ae/ar/privacy-policy.jsp#,N/A,"2018-08-30"
3,Privacy police for the group,https://etisalat.com/en/about/privacy-policy.jsp,"August 3, 2016","2018-08-30"
4,Code of Practice (En),https://support.etisalat.ae/en/system/docs/personal/misc/Code%20of%20Practice%20for%20Customer%20Affairs.pdf,N/A,"2018-08-30"
5,Code of Practice (Ar),https://support.etisalat.ae/ar/system/docs/personal/misc/Code%20of%20Practice%20for%20Customer%20Affairs.pdf,N/A,"2018-08-30"
6,Etisalat – General Terms & Conditions Consumer) (En/Ar),https://www.etisalat.ae/en/system/docs/consumer/pdf/en/general_terms_and_conditions_jan_2_2018.pdf,"January 2, 2018","2018-09-03"
7,Application Form of Prepaid card Wasel(En),https://support.etisalat.ae/en/system/docs/personal/forms/prepaidcardwasel-en.pdf,N/A,"2011-09-03"
8,New postpaid application,https://www.etisalat.ae/en/system/docs/consumer/pdf/en/new_postpaid_app_nov2017.pdf,November 2017,"2018-09-03"
9,"Terms and Conditions, Al Shamil, landline, eLife, and Etisalat select services (En)",https://www.etisalat.ae/en/system/docs/consumer/pdf/en/eLifevaluepacks__application_form2017_en.pdf,2017,"2018-09-03"
10,"Terms and Conditions, Al Shamil, landline, eLife, and Etisalat select services (Ar)",https://www.etisalat.ae/en/system/docs/consumer/pdf/en/eLifevaluepacks__application_form2017_ar.pdf,2017,"2018-09-03"
11,REGISTRATION RENEWAL OPTIONS,https://www.etisalat.ae/en/consumer/mobile_customer_registration.jsp,N/A,"2018-09-07"
12,INTERNET GUIDELINES,https://www.tra.gov.ae/en/services-and-activities/internet-guidelines/details.aspx#pages-67183,N/A,"2018-09-10"
13,Annual Report 2017,https://etisalat.com/en/system/docs/2018/Etisalat-Group-AnnualReport2017-English.pdf,2018,"2018-09-11"
14,How to use services,https://support.etisalat.ae/en/personal/video_tutorials.jsp,N/A,"2018-09-11"
15,Statement of continued support by the Chief Executive Officer,https://www.unglobalcompact.org/system/attachments/cop_2017/354061/original/UN_Global_Compact_COP_Etisalat_2017.pdf?1484639509,2017,"2018-09-13"
16,Block/unblock content,https://etisalat.ae/en/generic/contactus-forms/web-block-unblock.jsp,N/A,"2018-09-13"
17,Etisalat Customer Service Charter,https://etisalat.ae/en/about-us/customer-service-charter.jsp,N/A,"2018-09-13"
