Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Internet,Facebook,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,100,yes,"Yes. The Global Network Initiative Public Report on 2015-2016 Independent Company Assessments (Source 16) makes clear in several places that Facebook adheres to the GNI Principles, of which freedom of expression is one. This commitment to freedom of expression is also reflected in the Facebook Principles (Source 17). Principle 1 of the Facebook Principles ""Freedom to Share and Connect"" states that ""People should have the freedom to share whatever information they want, in any medium and any format, and have the right to connect online with anyone - any person, organization or service - as long as they both consent to the connection."" In addition, Principle 3 ""Free Flow of Information"" provides that ""People should have the freedom to access all of the information made available to them by others. People should also have practical tools that make it easy, quick, and efficient to share and access this information.""",NA
Internet,Facebook,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. The Global Network Initiative Public Report on 2015-2016 Independent Company Assessments (Source 16) makes clear in several places that Facebook adheres to the GNI Principles, of which privacy is one. In addition, Principle 2 of the Facebook Principles ""Ownership and Control of Information"" (Source 17) provides that ""People should own their information. They should have the freedom to share it with anyone they want and take it with them anywhere they want, including removing it from the Facebook Service. People should have the freedom to decide with whom they will share their information, and to set privacy controls to protect those choices. Those controls, however, are not capable of limiting how those who have received information may use it, particularly outside the Facebook Service.""",NA
Internet,Facebook,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,100,NA,NA,16; 17
Internet,Facebook,Group,NA,Group - Privacy,Governance,G1,Level,NA,100,NA,NA,16; 17
Internet,Facebook,Total,NA,NA,Governance,G1,Indicator,NA,100,NA,NA,NA
Internet,Facebook,Social Networking and Blog,Facebook,Facebook - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. The Global Network Initiative Public Report on 2015/2016 Independent Company Assessments (Source 16, p.21) provides the following on board oversight: ""The Board noted that senior Facebook management and the company’s Board of Directors receive updates regarding human rights issues on a regular basis, and as needed when specific situations arise.""",NA
Internet,Facebook,Social Networking and Blog,Facebook,Facebook - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. The Global Network Initiative Public Report on 2015/2016 Independent Company Assessments (Source 16, p.21) provides the following on board oversight: ""The Board noted that senior Facebook management and the company’s Board of Directors receive updates regarding human rights issues on a regular basis, and as needed when specific situations arise.""",NA
Internet,Facebook,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. The Global Network Initiative Public Report on 2015/2016 Independent Company Assessments (Source 16, p.21) provides the following on board oversight: ""The Board noted that senior Facebook management and the company’s Board of Directors receive updates regarding human rights issues on a regular basis, and as needed when specific situations arise.""",NA
Internet,Facebook,Group,NA,Group - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. The Global Network Initiative Public Report on 2015/2016 Independent Company Assessments (Source 16, p.21) provides the following on board oversight: ""The Board noted that senior Facebook management and the company’s Board of Directors receive updates regarding human rights issues on a regular basis, and as needed when specific situations arise.""",NA
Internet,Facebook,Video and Photo Sharing,Instagram,Instagram - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. The Global Network Initiative Public Report on 2015/2016 Independent Company Assessments (Source 16, p.21) provides the following on board oversight: ""The Board noted that senior Facebook management and the company’s Board of Directors receive updates regarding human rights issues on a regular basis, and as needed when specific situations arise.""",NA
Internet,Facebook,Video and Photo Sharing,Instagram,Instagram - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. The Global Network Initiative Public Report on 2015/2016 Independent Company Assessments (Source 16, p.21) provides the following on board oversight: ""The Board noted that senior Facebook management and the company’s Board of Directors receive updates regarding human rights issues on a regular basis, and as needed when specific situations arise.""",NA
Internet,Facebook,Messaging and VoIP,Messenger ecosystem,Messenger ecosystem - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. The Global Network Initiative Public Report on 2015/2016 Independent Company Assessments (Source 16, p.21) provides the following on board oversight: ""The Board noted that senior Facebook management and the company’s Board of Directors receive updates regarding human rights issues on a regular basis, and as needed when specific situations arise.""",NA
Internet,Facebook,Messaging and VoIP,Messenger ecosystem,Messenger ecosystem - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. The Global Network Initiative Public Report on 2015/2016 Independent Company Assessments (Source 16, p.21) provides the following on board oversight: ""The Board noted that senior Facebook management and the company’s Board of Directors receive updates regarding human rights issues on a regular basis, and as needed when specific situations arise.""",NA
