Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Internet,Google,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,100,yes,"Yes. In its Code of Conduct (Source 5), Google makes a clearly articulated policy commitment to human rights, including to freedom of expression and privacy: ""Google is committed to advancing privacy and freedom of expression for our users around the world. Where user privacy and freedom of expression face government challenges, we seek to implement internationally recognized standards that respect those rights as we develop products, do business in diverse markets, and respond to government requests to access user information or remove user content."" In addition, as a member of the Global Network Initiative (GNI) (Source 7, 8), Google publicly commits to upholding international freedom of expression and privacy standards, as specified in various human rights instruments.",NA
Internet,Google,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. In its Code of Conduct (Source 5), Google makes a clearly articulated policy commitment to human rights, including to freedom of expression and privacy: ""Google is committed to advancing privacy and freedom of expression for our users around the world. Where user privacy and freedom of expression face government challenges, we seek to implement internationally recognized standards that respect those rights as we develop products, do business in diverse markets, and respond to government requests to access user information or remove user content."" In addition, as a member of the Global Network Initiative (GNI) (Source 7, 8), Google publicly commits to upholding international freedom of expression and privacy standards, as specified in various human rights instruments.",NA
Internet,Google,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,100,NA,NA,5; 7; 8
Internet,Google,Group,NA,Group - Privacy,Governance,G1,Level,NA,100,NA,NA,5; 7; 8
Internet,Google,Total,NA,NA,Governance,G1,Indicator,NA,100,NA,NA,NA
Internet,Google,Mobile Ecosystems,Android mobile ecosystem,Android mobile ecosystem - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,"No disclosure found. Alphabet's Audit Committee within the Board of Directors (Source 6) ""has responsibility for oversight of risks and exposures associated with....security, and data privacy, including cybersecurity,"" but no similar oversight is disclosed regarding freedom of expression issues.The latest (2015/2016) GNI assessment report (Source 7) states that Google states that the ""implementation of the GNI Principles is overseen at the senior management level, with event driven reporting to the Google Board as necessary,"" but there is no indication that the Board has formal, systematic oversight over freedom of expression issues.",NA
Internet,Google,Mobile Ecosystems,Android mobile ecosystem,Android mobile ecosystem - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. Alphabet's Audit Committee within the Board of Directors (Source 6) ""has responsibility for oversight of risks and exposures associated with....security, and data privacy, including cybersecurity,"" The company states that the Audit Committee provides ""regular reports to the full Board of Directors.""",NA
Internet,Google,Email,Gmail,Gmail - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,"No disclosure found. Alphabet's Audit Committee within the Board of Directors (Source 6) ""has responsibility for oversight of risks and exposures associated with....security, and data privacy, including cybersecurity,"" but no similar oversight is disclosed regarding freedom of expression issues.The latest (2015/2016) GNI assessment report (Source 7) states that Google states that the ""implementation of the GNI Principles is overseen at the senior management level, with event driven reporting to the Google Board as necessary,"" but there is no indication that the Board has formal, systematic oversight over freedom of expression issues.",NA
Internet,Google,Email,Gmail,Gmail - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. Alphabet's Audit Committee within the Board of Directors (Source 6) ""has responsibility for oversight of risks and exposures associated with....security, and data privacy, including cybersecurity,"" The company states that the Audit Committee provides ""regular reports to the full Board of Directors.""",NA
Internet,Google,Cloud,Google Drive,Google Drive - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,"No disclosure found. Alphabet's Audit Committee within the Board of Directors (Source 6) ""has responsibility for oversight of risks and exposures associated with....security, and data privacy, including cybersecurity,"" but no similar oversight is disclosed regarding freedom of expression issues.The latest (2015/2016) GNI assessment report (Source 7) states that Google states that the ""implementation of the GNI Principles is overseen at the senior management level, with event driven reporting to the Google Board as necessary,"" but there is no indication that the Board has formal, systematic oversight over freedom of expression issues.",NA
