Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
1,Google Privacy & Terms,https://policies.google.com/privacy?hl=en&gl=ZZ,01/22/2019,"2018-09-10"
2,"Developer Policy Center: Privacy, Security, and Deception",https://play.google.com/about/privacy-security-deception/personal-sensitive/,None found,"2018-09-10"
3,Google Play Help - App Privacy Policies,https://support.google.com/googleplay/answer/2666094?hl=en&ref_topic=2450225,None found,"2018-09-10"
4,Updates: Privacy Policy,https://policies.google.com/privacy/archive?hl=en&gl=us,None found,"2018-09-10"
5,Google Code of Conduct,https://abc.xyz/investor/other/google-code-of-conduct.html,"July 31, 2018","2018-09-15"
6,Alphabet Board of Directors,https://abc.xyz/investor/other/board.html,01/31/2018,"2018-09-15"
7,GNI Report 2015/2016,https://globalnetworkinitiative.org/wp-content/uploads/2018/02/Public-Report-2015-16-Independent-Company-Assessments.pdf,7/1/2016,"2018-09-15"
8,The GNI Principles,https://globalnetworkinitiative.org/gni-principles/,None found,"2018-09-15"
9,Google Terms of Service_ Oct 2017 update,https://policies.google.com/terms?hl=en,10/25/2017,"2018-09-15"
10,Google Terms of Service (Spanish),https://policies.google.com/terms?hl=es&gl=ZZ#toc-about,"October 25, 2017","2018-09-15"
11,Gmail Program Policies,https://www.google.com/gmail/about/policy/,None found,"2018-09-15"
12,Youtube Terms of Service,https://www.youtube.com/t/terms,05/25/2018,"2018-09-15"
13,Youtube Community Guidelines,https://www.youtube.com/yt/policyandsafety/communityguidelines.html,None found,"2018-09-15"
14,Google Play Terms of Service,https://play.google.com/intl/en_us/about/play-terms.html,None found,"2018-09-15"
15,Google Play Business and Program Policies,https://play.google.com/intl/en/about/android-developer-policies.html,None found,"2018-09-15"
16,Developer Policy Center Guidelines (Google Play) (print view),https://play.google.com/about/developer-content-policy-print/,None found,"2018-09-15"
17,Developer Distribution Agreement (Google Play),https://play.google.com/about/developer-distribution-agreement.html,None found,"2018-09-15"
18,Google Drive - Terms of Service,https://www.google.com/drive/terms-of-service/,02/16/2017,"2018-09-15"
19,Google Drive - Terms of Service (Help),https://support.google.com/drive/answer/2450387?hl=en,None found,"2018-09-15"
20,Program Policies (for Google Drive),https://support.google.com/docs/answer/148505?hl=en,None found,"2018-09-15"
21,Google Terms of Service Archive of Changes,https://www.google.com/intl/en/policies/terms/archive/,None found,"2018-09-15"
22,Developer Policy Center Guidelines (updates),https://play.google.com/about/updates-resources/,None found,"2018-09-15"
23,Developer Distribution Agreement Summary of Updates,https://play.google.com/about/developer-distribution-agreement/summary.html,None found,"2018-09-15"
24,Frequently Asked Questions about Google Account and Age Requirements,https://support.google.com/accounts/answer/1333913?hl=en,None found,"2018-09-15"
25,Register for a Google Play Developer account,https://support.google.com/googleplay/android-developer/answer/6112435?hl=en,None found,"2018-09-15"
26,Android Security 2017 Year in Review,https://source.android.com/security/reports/Google_Android_Security_2017_Report_Final.pdf,"March 1, 2018","2018-09-15"
27,Android Security 2015 Year in Review,https://source.android.com/security/reports/Google_Android_Security_2015_Report_Final.pdf,4/2016,"2018-09-15"
28,Legal Removal Requests,https://support.google.com/legal/answer/3110420?visit_id=1-636099807279170094-1010837504&hl=en&rd=2,None found,"2018-09-15"
29,Google Search Removal Help page,https://support.google.com/websearch/answer/2744324?hl=en,None found,"2018-09-15"
30,Google Privacy & Terms - Advertising,https://policies.google.com/technologies/ads,None found,"2018-09-18"
31,How Google Retains Data we Collect,https://policies.google.com/technologies/retention?hl=en&gl=us,None found,"2018-09-18"
32,How Google Anonymizes Data,https://policies.google.com/technologies/anonymization?hl=en&gl=us,None found,"2018-09-18"
33,Take Control,https://privacy.google.com/take-control.html?categories_activeEl=sign-in,None found,"2018-09-18"
34,Manage or delete your Location History,https://support.google.com/accounts/answer/3118687?hl=en,None found,"2018-09-18"
35,Control your app permissions on Android 6.0 and up,https://support.google.com/googleplay/answer/6270602?hl=en&ref_topic=6046245,None found,"2018-09-18"
36,Download your Data,https://support.google.com/accounts/answer/3024190?hl=en,None found,"2018-09-18"
37,What's a Content ID Claim? (YouTube),https://support.google.com/youtube/answer/2797370?hl=en,None found,"2018-09-18"
38,Help - Safeguarding Your Data,https://support.google.com/analytics/answer/6004245,None found,"2018-09-20"
39,Google for Work Security and Compliance Whitepaper,https://static.googleusercontent.com/media/apps.google.fr/fr/FR/files/google-apps-security-and-compliance-whitepaper.pdf,None found,"2018-09-20"
40,Google Vulnerability Reward Program (VRP) Rules,https://www.google.com/about/appsecurity/reward-program/index.html,None found,"2018-09-21"
41,Android Security Rewards Program Rules,https://www.google.com/about/appsecurity/android-rewards/,None found,"2018-09-21"
42,Google Security Whitepaper,https://cloud.google.com/security/overview/whitepaper,3/21/2018,"2018-09-21"
43,Nexus Help - Android Security Updates,https://support.google.com/nexus/answer/4457705?hl=en,None found,"2018-09-21"
44,Information Security,https://privacy.google.com/your-security.html?categories_activeEl=sign-in,None found,"2018-09-21"
45,Google 2 Step Verification,https://www.google.com/intl/en/landing/2step/#tab=how-it-protects,None found,"2018-09-21"
46,Android Help - Screen Lock,https://support.google.com/android/answer/9079129?visit_id=636731348202712662-1127741457&rd=1,None found,"2018-09-21"
47,View & control activity on your account,https://support.google.com/accounts/answer/7028918,None found,"2018-09-21"
48,Google Security Blog - Forward Secrecy,https://security.googleblog.com/2011/11/protecting-data-for-long-term-with.html,11/22/2011,"2018-09-21"
49,Android Encryption,https://source.android.com/security/encryption/,None found,"2018-09-21"
50,Android Full-Disk Encryption,https://source.android.com/security/encryption/full-disk,None found,"2018-09-21"
51,How Google uses Information from Sites or Apps that Use our Services,https://policies.google.com/technologies/partner-sites?hl=en,None found,"2018-09-21"
52,"Google Chrome Help - Turn ""Do Not Track"" on or off",https://support.google.com/chrome/answer/2790761?co=GENIE.Platform%3DDesktop&hl=en,None found,"2018-09-21"
53,Detecting suspicious activity on your account,https://support.google.com/accounts/answer/140921?hl=en,None found,"2018-09-21"
54,Google Safety Center,https://safety.google/,None found,"2018-09-23"
55,Tips to help you stay more secure online,https://safety.google/security/security-tips/,None found,"2018-09-23"
56,Google Transparency Report,https://transparencyreport.google.com/?hl=en,None found,"2018-09-24"
57,Google Transparency Report - YouTube Community Guidelines enforcement,https://transparencyreport.google.com/youtube-policy/overview?hl=en,None found,"2018-09-24"
58,Android Developers blog - How we fought bad apps and malicious developers in 2017,https://android-developers.googleblog.com/2018/01/how-we-fought-bad-apps-and-malicious.html,01/30/2018,"2018-09-24"
59,Transparency Report - Government requests to remove content,https://transparencyreport.google.com/government-removals/overview,None found,"2018-09-24"
60,Transparency Report - Requests to remove content due to copyright,https://transparencyreport.google.com/copyright/overview?glance=,None found,"2018-09-24"
61,Transparency Report - Search removals under European privacy law,https://transparencyreport.google.com/eu-privacy/overview,None found,"2018-09-24"
62,Copyright strike basics,https://support.google.com/youtube/answer/2814000?hl=en&ref_topic=2778545,None found,"2018-09-24"
63,YouTube Help - Copyright Infringement Notification Requirements,https://support.google.com/youtube/answer/6005900,None found,"2018-09-24"
64,Help - Digital Millennium Copyright Act,https://support.google.com/legal/answer/1120734,None found,"2018-09-24"
65,Report inappropriate reviews,https://support.google.com/googleplay/android-developer/answer/7318385,None found,"2018-09-24"
66,Transparency Report Help Center - Government Requests to Remove Content FAQs,https://support.google.com/transparencyreport/answer/7347744?hl=en,None found,"2018-09-24"
67,Qualifying for Content ID,https://support.google.com/youtube/answer/1311402?hl=en&ref_topic=2778544,None found,"2018-09-24"
68,Copyright - What is Fair Use,https://www.youtube.com/yt/about/copyright/fair-use/#yt-copyright-protection,None found,"2018-09-24"
69,"Transparency Report - Government requests to remove content, United States",https://transparencyreport.google.com/government-removals/by-country,None found,"2018-09-24"
70,Google Search - Maximize access to information,https://www.google.com/search/howsearchworks/mission/open-web/,None found,"2018-09-24"
71,Community Guidelines Strike Basics,https://support.google.com/youtube/answer/2802032,None found,"2018-09-24"
72,YouTube - Account Terminations,https://support.google.com/youtube/answer/2802168?hl=en&ref_topic=2803138,None found,"2018-09-24"
