Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Internet,Kakao,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,50,partial,"Partial. Kakao's ""Privacy Philosophy"" (Source 8) states its commitment to protecting privacy: ""Kakao's number one priority is protecting user privacy."" Moreover, under the heading ""Users first, always,"" Kakao says, ""Users’ right to information (also translated as ""informational human rights"" or ""digital rights"") takes priority over everything else""(Source 8). Partial credit is given since the company does not explicitly assert it respects users' privacy as part of the company's broader commitment to respect and protect human rights.",NA
Internet,Kakao,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,0,NA,NA,NA
Internet,Kakao,Group,NA,Group - Privacy,Governance,G1,Level,NA,50,NA,NA,8
Internet,Kakao,Total,NA,NA,Governance,G1,Indicator,NA,25,NA,NA,NA
Internet,Kakao,Email,Daum Mail,Daum Mail - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Email,Daum Mail,Daum Mail - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Search Engines,Daum Search,Daum Search - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Search Engines,Daum Search,Daum Search - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Group,NA,Group - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Messaging and VoIP,KakaoTalk,KakaoTalk - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Messaging and VoIP,KakaoTalk,KakaoTalk - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Email,Daum Mail,Daum Mail - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Email,Daum Mail,Daum Mail - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. On its Chief Privacy Officer page (Source 9/9') Kakao Corp. states that its Senior Vice President is working as Chief Privacy Officer, and also its Chief Executive Officer oversees the Personal Information Protection Committee.",NA
Internet,Kakao,Search Engines,Daum Search,Daum Search - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Search Engines,Daum Search,Daum Search - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. On its Chief Privacy Officer page (Source 9/9') Kakao Corp. states that its Senior Vice President is working as Chief Privacy Officer, and also its Chief Executive Officer oversees the Personal Information Protection Committee.",NA
Internet,Kakao,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Group,NA,Group - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. On its Chief Privacy Officer page (Source 9/9') Kakao Corp. states that its Senior Vice President is working as Chief Privacy Officer, and also its Chief Executive Officer oversees the Personal Information Protection Committee.",NA
Internet,Kakao,Messaging and VoIP,KakaoTalk,KakaoTalk - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Messaging and VoIP,KakaoTalk,KakaoTalk - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. On its Chief Privacy Officer page (Source 9/9') Kakao Corp. states that its Senior Vice President is working as Chief Privacy Officer, and also its Chief Executive Officer oversees the Personal Information Protection Committee.",NA
Internet,Kakao,Email,Daum Mail,Daum Mail - Freedom of Expression,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Email,Daum Mail,Daum Mail - Privacy,Governance,G2,Element,G2.3,100,yes,"Yes. The ""Management Structure"" of ""Chief Privacy Officer"" page clearly states that it has a Personal Information Protection Committee whose members are senior management and two management level teams: 'Security Policy Division' and 'Security Technology Division’ (Source 9/9'). Therefore full credit is given.",NA
Internet,Kakao,Search Engines,Daum Search,Daum Search - Freedom of Expression,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Search Engines,Daum Search,Daum Search - Privacy,Governance,G2,Element,G2.3,100,yes,"Yes. The ""Management Structure"" of ""Chief Privacy Officer"" page clearly states that it has a Personal Information Protection Committee whose members are senior management and two management level teams: 'Security Policy Division' and 'Security Technology Division’ (Source 9/9'). Therefore full credit is given.",NA
Internet,Kakao,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Group,NA,Group - Privacy,Governance,G2,Element,G2.3,100,yes,"Yes. The ""Management Structure"" of ""Chief Privacy Officer"" page clearly states that it has a Personal Information Protection Committee whose members are senior management and two management level teams: 'Security Policy Division' and 'Security Technology Division’ (Source 9/9'). Therefore full credit is given.",NA
Internet,Kakao,Messaging and VoIP,KakaoTalk,KakaoTalk - Freedom of Expression,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Messaging and VoIP,KakaoTalk,KakaoTalk - Privacy,Governance,G2,Element,G2.3,100,yes,"Yes. The ""Management Structure"" of ""Chief Privacy Officer"" page clearly states that it has a Personal Information Protection Committee whose members are senior management and two management level teams: 'Security Policy Division' and 'Security Technology Division’ (Source 9/9'). Therefore full credit is given.",NA
Internet,Kakao,Email,Daum Mail,Daum Mail - Freedom of Expression,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Kakao,Email,Daum Mail,Daum Mail - Privacy,Governance,G2,Level,NA,66.666666666666671,NA,NA,9; 9'; 10; 10'
Internet,Kakao,Search Engines,Daum Search,Daum Search - Freedom of Expression,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Kakao,Search Engines,Daum Search,Daum Search - Privacy,Governance,G2,Level,NA,66.666666666666671,NA,NA,9; 9'; 10; 10'
Internet,Kakao,Group,NA,Group - Freedom of Expression,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Kakao,Group,NA,Group - Privacy,Governance,G2,Level,NA,66.666666666666671,NA,NA,9; 9'; 10; 10'
Internet,Kakao,Messaging and VoIP,KakaoTalk,KakaoTalk - Freedom of Expression,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Kakao,Messaging and VoIP,KakaoTalk,KakaoTalk - Privacy,Governance,G2,Level,NA,66.666666666666671,NA,NA,9; 9'; 10; 10'
Internet,Kakao,Total,NA,NA,Governance,G2,Indicator,NA,33.333333333333336,NA,NA,NA
Internet,Kakao,Email,Daum Mail,Daum Mail - Freedom of Expression,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Email,Daum Mail,Daum Mail - Privacy,Governance,G3,Element,G3.1,100,yes,"Yes. The ""Employee Regulations"" section of the ""Technical Measures"" page (Source 11/11') states that ""employees are required to participate in personal information security training more than two (2) times a year and sign a privacy and confidentiality agreement to strengthen their awareness on privacy protection.""",NA
Internet,Kakao,Search Engines,Daum Search,Daum Search - Freedom of Expression,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Search Engines,Daum Search,Daum Search - Privacy,Governance,G3,Element,G3.1,100,yes,"Yes. The ""Employee Regulations"" section of the ""Technical Measures"" page (Source 11/11') states that ""employees are required to participate in personal information security training more than two (2) times a year and sign a privacy and confidentiality agreement to strengthen their awareness on privacy protection.""",NA
Internet,Kakao,Group,NA,Group - Freedom of Expression,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Group,NA,Group - Privacy,Governance,G3,Element,G3.1,100,yes,"Yes. The ""Employee Regulations"" section of the ""Technical Measures"" page (Source 11/11') states that ""employees are required to participate in personal information security training more than two (2) times a year and sign a privacy and confidentiality agreement to strengthen their awareness on privacy protection.""",NA
Internet,Kakao,Messaging and VoIP,KakaoTalk,KakaoTalk - Freedom of Expression,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Messaging and VoIP,KakaoTalk,KakaoTalk - Privacy,Governance,G3,Element,G3.1,100,yes,"Yes. The ""Employee Regulations"" section of the ""Technical Measures"" page (Source 11/11') states that ""employees are required to participate in personal information security training more than two (2) times a year and sign a privacy and confidentiality agreement to strengthen their awareness on privacy protection.""",NA
Internet,Kakao,Email,Daum Mail,Daum Mail - Freedom of Expression,Governance,G3,Element,G3.2,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Email,Daum Mail,Daum Mail - Privacy,Governance,G3,Element,G3.2,0,no disclosure found,No disclosure found.,NA
