Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
1,Daum 서비스 약관 [ToS],http://policy.daum.net/info/info,07 October 2016,"2018-09-04"
2,Daum 운영정책 [Operation Policy],http://policy.daum.net/operation_policy/operation_policy,N/A,"2018-09-04"
3,Kakao 통합 약관 [Comprehensive ToS],http://www.kakao.com/policy/terms?lang=ko,30 April 2018,"2018-09-04"
3',Kakao Comprehensive ToS (English),http://www.kakao.com/policy/terms?lang=en,30 April 2018,"2018-09-04"
4,Kakao 서비스 약관 [ToS],http://www.kakao.com/policy/terms?type=s&lang=ko,30 April 2018,"2018-09-04"
4',Kakao ToS (Eng),http://www.kakao.com/policy/terms?type=s&lang=en,30 April 2018,"2018-09-04"
5,Kakao 운영정책 [Operation Policy],http://www.kakao.com/policy/oppolicy?lang=ko,N/A,"2018-09-04"
5',Kakao Operation Policy (English),http://www.kakao.com/policy/oppolicy?lang=en,N/A,"2018-09-04"
6,Daum 개인정보취급방침 [Privacy Policy],http://policy.daum.net/info_protection/info_protection,01 August 2018,"2018-09-04"
7,Kakao 개인정보 처리방침 [Privacy Policy],http://www.kakao.com/policy/privacy?lang=ko,31 August 2018,"2018-09-04"
7',Kakao Privacy Policy (Eng),http://www.kakao.com/policy/privacy?lang=en,01 August 2018,"2018-09-04"
8,Kakao 프라이버시 철학,http://privacy.kakaocorp.com/philosophy/kakao,N/A,"2018-09-04"
8',Kakao Privacy Philosophy,http://privacy.kakaocorp.com/en/philosophy/kakao,N/A,"2018-09-04"
9,프라이버시 보호 책임자,http://privacy.kakaocorp.com/philosophy/responsible,N/A,"2018-09-04"
9',Chief Privacy Officer,http://privacy.kakaocorp.com/en/philosophy/responsible,N/A,"2018-09-04"
10,프라이버시 정책 자문위원회,http://privacy.kakaocorp.com/protection/commonssion,N/A,"2018-09-04"
10',Privacy Policy Advisory Committee,http://privacy.kakaocorp.com/en/protection/commonssion,N/A,"2018-09-04"
11,기술적 보호노력,http://privacy.kakaocorp.com/protection/tech,N/A,"2018-09-05"
11',Technical Measures,http://privacy.kakaocorp.com/en/protection/tech,N/A,"2018-09-05"
12,KISO 소개 브로셔,http://old.kiso.or.kr/download/170209_KISO-brochure-KOR.pdf,09 February 2017,"2018-09-05"
12',KISO Brocchure,http://old.kiso.or.kr/download/170209_KISO-brochure-ENG.pdf,09 February 2017,"2018-09-05"
13,Kakao 고객센터,https://cs.kakao.com/,N/A,"2018-09-06"
13',Kakao Customer Service,https://cs.kakao.com/,N/A,"2018-09-06"
14,KakaoTalk 문의하기,https://cs.kakao.com/requests?locale=ko&service=8,N/A,"2018-09-06"
14',KakaoTalk Question,https://cs.kakao.com/requests?locale=en&service=8,N/A,"2018-09-06"
15,Daum 고객센터 (Customer Service),http://cs.daum.net/,N/A,"2018-09-06"
16,Daum Search 문의하기 (Question_Customer Service),https://cs.daum.net/question/15.html,N/A,"2018-09-06"
17,Daum Mail 문의하기 (Question_Customer Service),https://cs.daum.net/question/43.html,N/A,"2018-09-06"
18,kakao 권리침해신고 안내 (Report Rights Infringement),http://www.kakao.com/policy/right,N/A,"2018-09-06"
19,Daum 명예훼손 신고 처리 절차 (Defamation Report Handling Process),https://cs.daum.net/redbell/right/libelProcess.html,N/A,"2018-09-06"
20,Daum 저작권 침해 처리절차 (Copyright Infringement Handling Process),https://cs.daum.net/redbell/right/copyrightProcess.html,N/A,"2018-09-06"
21,Daum 명예훼손 복원 신청 처리 절차 안내 (Repost Request Procedure_Defamation),https://cs.daum.net/redbell/right/libelRestore.html,N/A,"2018-09-06"
22,Daum 저작권 침해 복원신청 처리절차 안내 (Repost Request Procedure_Copyright Infringement Post),https://cs.daum.net/redbell/right/copyrightRestore.html,N/A,"2018-09-06"
23,Kakao 투명성보고서 (이용자권리보호),http://privacy.kakaocorp.com/transparence/report/present,N/A,"2018-09-06"
23',Kakao Transparency Report (Users' Rights),http://privacy.kakaocorp.com/en/transparence/report/present,N/A,"2018-09-06"
24,Kakao 투명성 보고서 (이용자 정보),http://privacy.kakaocorp.com/transparence/report/request,N/A,"2018-09-06"
24',Kakao Transparency Report (User Information),http://privacy.kakaocorp.com/en/transparence/report/request,N/A,"2018-09-06"
25,카카오 공지사항 (약관변경 등),http://www.kakao.com/notices,N/A,"2018-09-11"
26,카카오 개인정보 라이프사이클,http://privacy.kakaocorp.com/transparence/lifeCycle,N/A,"2018-09-11"
26',Personal Information Lifecycle,http://privacy.kakaocorp.com/en/transparence/lifeCycle,N/A,"2018-09-11"
27,Daum 개인정보 수집항목 (Personal Information Collection Items),http://policy.daum.net/info_protection/popup/info_collect,N/A,"2018-09-11"
28,Kakao 별도 수집 개인정보 항목 (Other personal information items),http://www.kakao.com/policy/privacyPolicy/privacyAccount?lang=en,N/A,"2018-09-11"
29,Kakao 개인정보 제3자 제공 현황,http://www.kakao.com/provide_layer?lang=ko,N/A,"2018-09-11"
29',Kakao The status of the provision of personal information,http://www.kakao.com/provide_layer?lang=en,N/A,"2018-09-11"
30,Daum 개인정보 제공 내역 (The status of the provision of personal information),http://policy.daum.net/info_protection/popup/info_provide_service,N/A,"2018-09-11"
31,Kakao 맞춤형광고 (Targeted Advertising),http://info.ad.daum.net/optout.do,N/A,"2018-09-14"
32,정보보호 인증 (Information Security Certifications),http://privacy.kakaocorp.com/protection/certification,N/A,"2018-09-14"
32',Information Security Certifications,http://privacy.kakaocorp.com/en/protection/certification,N/A,"2018-09-14"
33,보안(Security)_Kakao Developers,https://developers.kakao.com/policies/security,06 September 2016,"2018-09-14"
34,"Daum FAQ _ HTTS, SSL, TLS",https://cs.daum.net/faq/43/18760.html#36395,N/A,"2018-09-14"
35,Daum FAQ _  2 step verification,https://cs.daum.net/faq/59/15645.html?faqId=31041,N/A,"2018-09-14"
36,Daum FAQ _  Login record,https://cs.daum.net/faq/59/8035.html#10027,N/A,"2018-09-14"
37,Daum FAQ _ Login Problem,https://cs.daum.net/faq/59/14970.html#30993,N/A,"2018-09-14"
38,Kakao FAQ_Account Protection Measure Email,https://cs.kakao.com/helps?articleId=1073185477&category=172&device=423&locale=ko&service=52,N/A,"2018-09-14"
38',Kakao FAQ_Account Protection Measure Email (eng),https://cs.kakao.com/helps?articleId=1073186011&category=186&device=442&locale=en&service=52,N/A,"2018-09-14"
39,Daum FAQ_Protection of My Information,https://cs.daum.net/faq/59/15645.html,N/A,"2018-09-14"
40,Daum FAQ_IP Protection,https://cs.daum.net/faq/59/8035.html#29554,N/A,"2018-09-14"
41,Daum Content Restriction Policy,https://cs.daum.net/redbell/harm/policyArticle.html,N/A,"2018-09-17"
42,Daum Spam Policy,http://policy.daum.net/nospam/nospam,N/A,"2018-09-17"
43,Daum Juvenile Protection Policy,http://policy.daum.net/youthpolicy/youthpolicy,N/A,"2018-09-17"
44,Kakao Juvenile Protection Policy,http://www.kakao.com/policy/safeguard,N/A,"2018-09-17"
45,Daum FAQ_ID Warning,https://cs.daum.net/faq/85/5203.html#9629,N/A,"2018-09-18"
46,Kakao FAQ_Verification,https://cs.kakao.com/helps?articleId=1073185483&category=174&device=423&locale=ko&service=52,N/A,"2018-09-18"
47,Daum FAQ_Register,https://cs.daum.net/faq/59/8034.html#6353,N/A,"2018-09-18"
48,Daum FAQ_Finding ID,https://cs.daum.net/faq/59/5217.html#27227,N/A,"2018-09-18"
49,Daum FAQ_Real Name Member,https://cs.daum.net/faq/59/5218.html#7042,N/A,"2018-09-18"
50,Kakao FAQ Account compromise/hacking,https://cs.kakao.com/helps?articleId=1073185993&category=184&device=442&locale=en&service=52,N/A,"2018-10-29"
51,Account protection measures,https://cs.kakao.com/helps?category=186&locale=en&service=52,N/A,"2018-10-29"
52,Daum 메일수신 도움말 [Mail Reception FAQ],http://cs.daum.net/faq/43/4589.html?page=5#33960,N/A,"2018-10-29"
53,Daum 주소록 도움말 [Address Book FAQ],http://cs.daum.net/faq/43/4604.html#24158,N/A,"2018-10-29"
54,카카오톡 도움말,http://www.kakao.com/helps?category=24&locale=ko&page=6&service=8,N/A,"2018-10-29"
54',KakaoTalk Help,http://www.kakao.com/helps?category=5&locale=en&page=6&service=8,N/A,"2018-10-29"
