Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Telecommunication,MTN,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,100,yes,"Yes. The MTN Position on Digital Human Rights (Source 11), which states: “We believe in the rights of all people to freely communicate and share information, and to enjoy the right to privacy and security in their use of digital, telephonic and internet-based communications…. we  will  use  our  best  endeavours and scope of influence to protect, respect and ensure these rights of all customers” This explicit policy commitment to freedom of expression and privacy earns the company full credit.",NA
Telecommunication,MTN,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. The MTN Position on Digital Human Rights (Source 11), which states: “We believe in the rights of all people to freely communicate and share information, and to enjoy the right to privacy and security in their use of digital, telephonic and internet-based communications…. we will use our best endeavours and scope of influence to protect, respect and ensure these rights of all customers” This explicit policy commitment to freedom of expression and privacy earns the company full credit.",NA
Telecommunication,MTN,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G1,Element,G1.1,100,yes,"Yes. The MTN Position on Digital Human Rights (Source 11), which states: “We believe in the rights of all people to freely communicate and share information, and to enjoy the right to privacy and security in their use of digital, telephonic and internet-based communications…. we will use our best endeavours and scope of influence to protect, respect and ensure these rights of all customers” This explicit policy commitment to freedom of expression and privacy earns the company full credit.",NA
Telecommunication,MTN,Operating Company,NA,OperatingCo - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. The MTN Position on Digital Human Rights (Source 11), which states: “We believe in the rights of all people to freely communicate and share information, and to enjoy the right to privacy and security in their use of digital, telephonic and internet-based communications…. we will use our best endeavours and scope of influence to protect, respect and ensure these rights of all customers” This explicit policy commitment to freedom of expression and privacy earns the company full credit.",NA
Telecommunication,MTN,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,100,NA,NA,11
Telecommunication,MTN,Group,NA,Group - Privacy,Governance,G1,Level,NA,100,NA,NA,11
Telecommunication,MTN,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G1,Level,NA,100,NA,NA,11
Telecommunication,MTN,Operating Company,NA,OperatingCo - Privacy,Governance,G1,Level,NA,100,NA,NA,11
Telecommunication,MTN,Total,NA,NA,Governance,G1,Indicator,NA,100,NA,NA,NA
Telecommunication,MTN,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. On the Business and Human Rights Resource Center page (Source 13), the company states that “the Group Board has delegated responsibility for sustainability to the Group Social and Ethics Committee. ICT Human Rights matters are overseen by this Committee, which comprises both members of the Group Board, and the Group Executive Committee.” Also, the 2017 Sustainability Report (Source 8, p.42) states that “all policies [The group freedom of expression, privacy and security (digital human rights) policy, the group customer data records policy, the group information security policy, and the  privacy  policy  for  the  group  and  each  country  of  operation  and  customer  terms  and  conditions of service, which are available on each MTN country’s website.] are approved by executive management and signed off by board committees.” Therefore, the company earns full credit. ",NA
Telecommunication,MTN,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. On the Business and Human Rights Resource Center page (Source 13), the company states that “the Group Board has delegated responsibility for sustainability to the Group Social and Ethics Committee. ICT Human Rights matters are overseen by this Committee, which comprises both members of the Group Board, and the Group Executive Committee.” Also, the 2017 Sustainability Report (Source 8, p.42) states that “all policies [The group freedom of expression, privacy and security (digital human rights) policy, the group customer data records policy, the group information security policy, and the  privacy  policy  for  the  group  and  each  country  of  operation  and  customer  terms  and  conditions of service, which are available on each MTN country’s website.] are approved by executive management and signed off by board committees.” Therefore, the company earns full credit. ",NA
Telecommunication,MTN,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. On the Business and Human Rights Resource Center page (Source 13), the company states that “the Group Board has delegated responsibility for sustainability to the Group Social and Ethics Committee. ICT Human Rights matters are overseen by this Committee, which comprises both members of the Group Board, and the Group Executive Committee.” Also, the 2017 Sustainability Report (Source 8, p.42) states that “all policies [The group freedom of expression, privacy and security (digital human rights) policy, the group customer data records policy, the group information security policy, and the  privacy  policy  for  the  group  and  each  country  of  operation  and  customer  terms  and  conditions of service, which are available on each MTN country’s website.] are approved by executive management and signed off by board committees.” Therefore, the company earns full credit. ",NA
Telecommunication,MTN,Group,NA,Group - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. On the Business and Human Rights Resource Center page (Source 13), the company states that “the Group Board has delegated responsibility for sustainability to the Group Social and Ethics Committee. ICT Human Rights matters are overseen by this Committee, which comprises both members of the Group Board, and the Group Executive Committee.” Also, the 2017 Sustainability Report (Source 8, p.42) states that “all policies [The group freedom of expression, privacy and security (digital human rights) policy, the group customer data records policy, the group information security policy, and the  privacy  policy  for  the  group  and  each  country  of  operation  and  customer  terms  and  conditions of service, which are available on each MTN country’s website.] are approved by executive management and signed off by board committees.” Therefore, the company earns full credit. ",NA
Telecommunication,MTN,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. On the Business and Human Rights Resource Center page (Source 13), the company states that “the Group Board has delegated responsibility for sustainability to the Group Social and Ethics Committee. ICT Human Rights matters are overseen by this Committee, which comprises both members of the Group Board, and the Group Executive Committee.” Also, the 2017 Sustainability Report (Source 8, p.42) states that “all policies [The group freedom of expression, privacy and security (digital human rights) policy, the group customer data records policy, the group information security policy, and the  privacy  policy  for  the  group  and  each  country  of  operation  and  customer  terms  and  conditions of service, which are available on each MTN country’s website.] are approved by executive management and signed off by board committees.” Therefore, the company earns full credit. ",NA
Telecommunication,MTN,Operating Company,NA,OperatingCo - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. On the Business and Human Rights Resource Center page (Source 13), the company states that “the Group Board has delegated responsibility for sustainability to the Group Social and Ethics Committee. ICT Human Rights matters are overseen by this Committee, which comprises both members of the Group Board, and the Group Executive Committee.” Also, the 2017 Sustainability Report (Source 8, p.42) states that “all policies [The group freedom of expression, privacy and security (digital human rights) policy, the group customer data records policy, the group information security policy, and the  privacy  policy  for  the  group  and  each  country  of  operation  and  customer  terms  and  conditions of service, which are available on each MTN country’s website.] are approved by executive management and signed off by board committees.” Therefore, the company earns full credit. ",NA
