Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
1,MTN Standard Subscriber Terms and Conditions,https://www.mtn.co.za/Documents/supportPDF/MTNSubscriberTerms.pdf,10/6/2014,"2018-09-06"
2,MTN Pay As You Go Terms and Conditions,https://www.mtn.co.za/Pages/Termsandconditions.aspx,March 2017,"2018-09-10"
3,MTN Postpaid Terms & Conditions,https://www.mtn.co.za/pages/termsandconditions.aspx,None found,"2018-09-10"
4,MTN Privacy Policy,https://www.mtn.co.za/Pages/Termsandconditions.aspx?pageID=26,January 2014,"2018-09-11"
5,MTN Subscriber Terms,https://www.mtn.co.za/Documents/supportPDF/SubscriberAgreement.pdf,"July 9, 1905","2018-09-07"
6,MTN No Data Facebook Terms and conditions,https://www.mtn.co.za/pages/termsandconditions.aspx,03/24/2017,"2018-09-12"
7,MTN 2016 Sustainability Report,https://www.mtn.com/MTN%20Service%20Detail%20Report%20archive/MTN%20Group%20Sustainability%20Report%202016.pdf,12/31/2016,"2018-09-12"
8,MTN 2017 Sustainability Report,https://www.mtn.com/MTN%20Service%20Detail%20Annual%20Reports/MTN-Sustainability-Report-2017.pdf,12/31/2017,"2018-09-12"
9,PAIA Request for Access to Record of Private Body Form,https://www.mtn.co.za/Documents/PAIADocuments/paia_form.pdf,None found,"2018-09-13"
10,Report Fraud Page,https://www.mtn.co.za/Pages/Report-fraud.aspx,None found,"2018-09-13"
11,MTN Position on Digital Human Rights,https://www.mtn.com/MTN%20Service%20detail%20Document%20library/Digital-human-rights_hi.pdf,None found,"2018-09-13"
12,MTN Digital Human Rights Page,https://www.mtn.com/en/mtn-group/sustainability/sustainable-societies/Pages/digital-human-rights.aspx,None found,"2018-09-13"
13,MTN Business & Human Rights Resource Center Page,https://www.business-humanrights.org/en/mtn-0,None found,"2018-09-13"
14,MTN Customer Complaints Procedure,https://www.mtn.co.za/Documents/supportPDF/MTN_Customer_Complaints_Procedure_A4.pdf,None found,"2018-09-13"
15,MTN 2017 Social and Ethics Committee Report,https://www.mtn.com/MTN%20Service%20Detail%20Annual%20Reports/MTN-Social-and-ethics-2017.pdf,None found,"2018-09-13"
16,MTN 2015 Sustainability Report,https://www.mtn.com/MTN%20Service%20Detail%20Report%20archive/MTN_Group_Sustainabilty_Report_2015.pdf,12/31/2015,"2018-09-13"
17,MTN 2017 Integrated Report,https://www.mtn.com/MTN%20Service%20Detail%20Annual%20Reports/Integrated-report-2017.pdf,None found,"2018-09-14"
18,MTN Fixed Broadband Terms and Conditions_10Sep2018,https://www.mtn.co.za/Pages/Termsandconditions.aspx,None found,"2018-09-11"
19,MTN Access to Information Manual,https://www.mtn.co.za/Documents/PAIADocuments/PAIA%20Manual%20MTN.pdf,None found,"2018-09-12"
20,"MTN Terms and Conditions - Associations, Memberships, and Regulators",https://www.mtn.co.za/Pages/Termsandconditions.aspx?pageID=26,None found,"2018-09-26"
21,MTN Group Terms and Conditions,https://www.mtn.com/en/Pages/Terms-and-conditions.aspx,None found,"2018-09-26"
22,MTN (South Africa): RICA,https://www.mtn.co.za/Pages/RICA.aspx,None found,"2018-09-28"
