Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
1,Mail.Ru Terms of Service,https://help.mail.ru/mail-help/UA,"July 5, 2017","2018-08-30"
2,Vk Terms of Service,https://vk.com/terms,None found,"2018-08-30"
3,Vk Cookies,https://vk.com/privacy/cookies,"May 21, 2018","2018-08-30"
4,Vk Privacy Policy,https://vk.com/privacy,May 2018,"2018-08-30"
5,MailRu Cloud Privacy Policy,https://cloud.mail.ru/privacy/,None found,"2018-08-30"
6,Vk license agreement,https://vk.com/licence,"December 30, 2016","2018-08-31"
7,MailRu Cloud Terms of Service,https://cloud.mail.ru/LA/,"June 8, 2018","2018-09-15"
8,MailRu Concept of Confidentiality,https://help.mail.ru/mail-help/security/internet,None found,"2018-09-16"
9,Vk Cookie policy,https://vk.com/privacy/cookies,"May 21, 2018","2018-09-17"
10,Vk Advertisement rules,https://vk.com/ads?act=office_help&terms,None found,"2018-09-18"
11,Vk Rules for Content and Complaints,https://vk.com/help?act=cc_terms,None found,"2018-09-18"
12,Vk Password Security,https://vk.com/@security-password,"February 2, 2018","2018-09-18"
13,Vk 2FA,https://vk.com/page-777107_52947889,None found,"2018-09-18"
14,Vk Protect Account,https://vk.com/page-777107_6560710,None found,"2018-09-18"
15,MailRu Annual Report 2017,https://corp.imgsmail.ru/media/files/mail.rugrouparfy2017.pdf,None found,"2018-09-18"
16,MailRu Bounty Program,https://hackerone.com/mailru,None found,"2018-09-18"
17,Vk Bounty Program,https://hackerone.com/vkcom,None found,"2018-09-18"
18,MailRu Agent Bounty Program,https://hackerone.com/icq,"July 7th, 2017","2018-09-18"
19,MailRu Annual Report 2015,https://corp.imgsmail.ru/media/files/mail.rugrouparfy2015.pdf,None found,"2018-09-18"
20,MailRu Security Settings,https://help.mail.ru/mail-help/settings/security,None found,"2018-09-19"
21,MailRu Internet Security Recommendations,https://help.mail.ru/mail-help/security/internet,None found,"2018-09-19"
22,Vk Security Blog,https://vk.com/security,None found,"2018-09-19"
23,MailRu Board Charter,https://corp.imgsmail.ru/media/files/mail.ru-group-limited-board-charter.pdf,None found,"2018-09-19"
24,MailRu Code of Ethics,https://corp.mail.ru/media/files/code-of-ethics-and-business-conductmgleng-1.pdf,None found,"2018-09-19"
25,MailRu Legal Compliance Policy,https://corp.mail.ru/media/files/legal-compliance-policymgleng-2.pdf,None found,"2018-09-19"
26,MailRu RAEC charter,http://raec.ru/upload/iblock/7b3/ystav-raec-11-may-2016.pdf,"November 5, 2016","2018-09-19"
27,Vk Reform of Privacy,https://vk.com/blog/privacy,"August 31, 2018","2018-09-19"
28,Vk Privacy Policy in Russian,https://vk.com/privacy,None found,"2018-09-28"
29,VK data protection policy (Russian),https://m.vk.com/data_protection?section=principles&lang=ru,2018,"2018-11-07"
30,MailRu Annual Report 2016,https://corp.imgsmail.ru/media/files/mail.rugrouparfy2016.pdf,None found,"2018-12-12"
