Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Internet,Microsoft,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,100,yes,"Yes. Microsoft makes an explicit policy commitment to protect human rights, including freedom of expression and privacy. The company's Human Rights Statement (Source 7) outlines its commitment to respect human rights, as is a key element of Microsoft’s responsibility under the UN Guiding Principles on Business and Human Rights. ""The Guiding Principles are the authoritative global standard for business and human rights. They have guided and informed this statement and our approach to human rights."" That policy also states: :Microsoft respects the human rights defined in the following declaration and covenants: Universal Declaration of Human Rights, International Covenant on Civil and Political Rights, and International Covenant on Economic, Social and Cultural Rights."" Microsoft's Salient Human Rights Issues Report FY 2017 (Source 6) details the company's commitment to human rights, including to freedom of expression and privacy. For example, the company states: ""Recognizing that freedom of expression and privacy are essential for the enjoyment of other human rights and are fundamental pillars for democratic society, Microsoft respects the freedom to seek, receive and impart information and ideas of all kinds, and the right to the protection of the law against arbitrary or unlawful interference with privacy."" Therefore, the company receives full credit.",NA
Internet,Microsoft,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. Microsoft makes an explicit policy commitment to protect human rights, including freedom of expression and privacy. The company's Human Rights Statement (Source 7) outlines its commitment to respect human rights, as is a key element of Microsoft’s responsibility under the UN Guiding Principles on Business and Human Rights. ""The Guiding Principles are the authoritative global standard for business and human rights. They have guided and informed this statement and our approach to human rights."" That policy also states: :Microsoft respects the human rights defined in the following declaration and covenants: Universal Declaration of Human Rights, International Covenant on Civil and Political Rights, and International Covenant on Economic, Social and Cultural Rights."" Microsoft's Salient Human Rights Issues Report FY 2017 (Source 6) details the company's commitment to human rights, including to freedom of expression and privacy. For example, the company states: ""Recognizing that freedom of expression and privacy are essential for the enjoyment of other human rights and are fundamental pillars for democratic society, Microsoft respects the freedom to seek, receive and impart information and ideas of all kinds, and the right to the protection of the law against arbitrary or unlawful interference with privacy."" Therefore, the company receives full credit.",NA
Internet,Microsoft,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,100,NA,NA,6; 7
Internet,Microsoft,Group,NA,Group - Privacy,Governance,G1,Level,NA,100,NA,NA,6; 7
Internet,Microsoft,Total,NA,NA,Governance,G1,Indicator,NA,100,NA,NA,NA
Internet,Microsoft,Search Engines,Bing,Bing - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. The company clearly discloses that the board exercises formal oversight over how the company practices affect freedom of expression and privacy. Under the ""Internal Governance"" section of the Microsoft Global Human Rights Statement (Source 7), the company states that ""The Regulatory and Public Policy Committee of Microsoft’s Board of Directors is responsible for reviewing Microsoft's corporate responsibility policies and programs including human rights."" While this statement does not specifically mention freedom of expression or privacy, it's clear from the contents of Microsoft's Global Human Rights Statement that their human rights approach includes freedom of expression and privacy. The company's 2018 Human Rights Report (Source 43) also illustrates board-level oversight over human rights issues within Microsoft (see p. 15). Therefore full credit is awarded.",NA
Internet,Microsoft,Search Engines,Bing,Bing - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. The company clearly discloses that the board exercises formal oversight over how the company practices affect freedom of expression and privacy. Under the ""Internal Governance"" section of the Microsoft Global Human Rights Statement (Source 7), the company states that ""The Regulatory and Public Policy Committee of Microsoft’s Board of Directors is responsible for reviewing Microsoft's corporate responsibility policies and programs including human rights."" While this statement does not specifically mention freedom of expression or privacy, it's clear from the contents of Microsoft's Global Human Rights Statement that their human rights approach includes freedom of expression and privacy. The company's 2018 Human Rights Report (Source 43) also illustrates board-level oversight over human rights issues within Microsoft (see p. 15). Therefore full credit is awarded.",NA
Internet,Microsoft,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. The company clearly discloses that the board exercises formal oversight over how the company practices affect freedom of expression and privacy. Under the ""Internal Governance"" section of the Microsoft Global Human Rights Statement (Source 7), the company states that ""The Regulatory and Public Policy Committee of Microsoft’s Board of Directors is responsible for reviewing Microsoft's corporate responsibility policies and programs including human rights."" While this statement does not specifically mention freedom of expression or privacy, it's clear from the contents of Microsoft's Global Human Rights Statement that their human rights approach includes freedom of expression and privacy. The company's 2018 Human Rights Report (Source 43) also illustrates board-level oversight over human rights issues within Microsoft (Source 43, p. 15). Therefore full credit is awarded.",NA
Internet,Microsoft,Group,NA,Group - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. The company clearly discloses that the board exercises formal oversight over how the company practices affect freedom of expression and privacy. Under the ""Internal Governance"" section of the Microsoft Global Human Rights Statement (Source 7), the company states that ""The Regulatory and Public Policy Committee of Microsoft’s Board of Directors is responsible for reviewing Microsoft's corporate responsibility policies and programs including human rights."" While this statement does not specifically mention freedom of expression or privacy, it's clear from the contents of Microsoft's Global Human Rights Statement that their human rights approach includes freedom of expression and privacy. The company's 2018 Human Rights Report (Source 43) also illustrates board-level oversight over human rights issues within Microsoft (see p. 15). Therefore full credit is awarded.",NA
Internet,Microsoft,Cloud,OneDrive,OneDrive - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. The company clearly discloses that the board exercises formal oversight over how the company practices affect freedom of expression and privacy. Under the ""Internal Governance"" section of the Microsoft Global Human Rights Statement (Source 7), the company states that ""The Regulatory and Public Policy Committee of Microsoft’s Board of Directors is responsible for reviewing Microsoft's corporate responsibility policies and programs including human rights."" While this statement does not specifically mention freedom of expression or privacy, it's clear from the contents of Microsoft's Global Human Rights Statement that their human rights approach includes freedom of expression and privacy. The company's 2018 Human Rights Report (Source 43) also illustrates board-level oversight over human rights issues within Microsoft (see p. 15). Therefore full credit is awarded.",NA
Internet,Microsoft,Cloud,OneDrive,OneDrive - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. The company clearly discloses that the board exercises formal oversight over how the company practices affect freedom of expression and privacy. Under the ""Internal Governance"" section of the Microsoft Global Human Rights Statement (Source 7), the company states that ""The Regulatory and Public Policy Committee of Microsoft’s Board of Directors is responsible for reviewing Microsoft's corporate responsibility policies and programs including human rights."" While this statement does not specifically mention freedom of expression or privacy, it's clear from the contents of Microsoft's Global Human Rights Statement that their human rights approach includes freedom of expression and privacy. The company's 2018 Human Rights Report (Source 43) also illustrates board-level oversight over human rights issues within Microsoft (see p. 15). Therefore full credit is awarded.",NA
Internet,Microsoft,Email,Outlook.com,Outlook.com - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. The company clearly discloses that the board exercises formal oversight over how the company practices affect freedom of expression and privacy. Under the ""Internal Governance"" section of the Microsoft Global Human Rights Statement (Source 7), the company states that ""The Regulatory and Public Policy Committee of Microsoft’s Board of Directors is responsible for reviewing Microsoft's corporate responsibility policies and programs including human rights."" While this statement does not specifically mention freedom of expression or privacy, it's clear from the contents of Microsoft's Global Human Rights Statement that their human rights approach includes freedom of expression and privacy. The company's 2018 Human Rights Report (Source 43) also illustrates board-level oversight over human rights issues within Microsoft (see p. 15). Therefore full credit is awarded.",NA
Internet,Microsoft,Email,Outlook.com,Outlook.com - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. The company clearly discloses that the board exercises formal oversight over how the company practices affect freedom of expression and privacy. Under the ""Internal Governance"" section of the Microsoft Global Human Rights Statement (Source 7), the company states that ""The Regulatory and Public Policy Committee of Microsoft’s Board of Directors is responsible for reviewing Microsoft's corporate responsibility policies and programs including human rights."" While this statement does not specifically mention freedom of expression or privacy, it's clear from the contents of Microsoft's Global Human Rights Statement that their human rights approach includes freedom of expression and privacy. The company's 2018 Human Rights Report (Source 43) also illustrates board-level oversight over human rights issues within Microsoft (see p. 15). Therefore full credit is awarded.",NA
Internet,Microsoft,Messaging and VoIP,Skype,Skype - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. The company clearly discloses that the board exercises formal oversight over how the company practices affect freedom of expression and privacy. Under the ""Internal Governance"" section of the Microsoft Global Human Rights Statement (Source 7), the company states that ""The Regulatory and Public Policy Committee of Microsoft’s Board of Directors is responsible for reviewing Microsoft's corporate responsibility policies and programs including human rights."" While this statement does not specifically mention freedom of expression or privacy, it's clear from the contents of Microsoft's Global Human Rights Statement that their human rights approach includes freedom of expression and privacy. The company's 2018 Human Rights Report (Source 43) also illustrates board-level oversight over human rights issues within Microsoft (see p. 15). Therefore full credit is awarded.",NA
Internet,Microsoft,Messaging and VoIP,Skype,Skype - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. The company clearly discloses that the board exercises formal oversight over how the company practices affect freedom of expression and privacy. Under the ""Internal Governance"" section of the Microsoft Global Human Rights Statement (Source 7), the company states that ""The Regulatory and Public Policy Committee of Microsoft’s Board of Directors is responsible for reviewing Microsoft's corporate responsibility policies and programs including human rights."" While this statement does not specifically mention freedom of expression or privacy, it's clear from the contents of Microsoft's Global Human Rights Statement that their human rights approach includes freedom of expression and privacy. The company's 2018 Human Rights Report (Source 43) also illustrates board-level oversight over human rights issues within Microsoft (see p. 15). Therefore full credit is awarded.",NA
