Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Telecommunication,Ooredoo,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Ooredoo,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Ooredoo,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G1,Element,G1.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Ooredoo,Operating Company,NA,OperatingCo - Privacy,Governance,G1,Element,G1.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Ooredoo,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,0,NA,NA,NA
Telecommunication,Ooredoo,Group,NA,Group - Privacy,Governance,G1,Level,NA,0,NA,NA,NA
Telecommunication,Ooredoo,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G1,Level,NA,0,NA,NA,NA
Telecommunication,Ooredoo,Operating Company,NA,OperatingCo - Privacy,Governance,G1,Level,NA,0,NA,NA,NA
Telecommunication,Ooredoo,Total,NA,NA,Governance,G1,Indicator,NA,0,NA,NA,NA
Telecommunication,Ooredoo,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Ooredoo,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Ooredoo,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Ooredoo,Group,NA,Group - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Ooredoo,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Ooredoo,Operating Company,NA,OperatingCo - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Ooredoo,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Ooredoo,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Ooredoo,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Ooredoo,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Telecommunication,Ooredoo,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Telecommunication,Ooredoo,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Telecommunication,Ooredoo,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
