Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
1,ooredoo.com terms and conditions (English),http://ooredoo.com/en/terms_conditions/,10/07/2018,"2018-08-31"
2,ooredoo.com terms and conditions (Arabic),http://ooredoo.com/ar/terms_conditions/,August 2015,"2018-08-31"
3,General Terms and Conditions for Consumer Services (English),https://www.ooredoo.qa/portal/OoredooQatar/general-terms-and-conditions,N/A,"2018-08-31"
4,General Terms and Conditions for Consumer Services (Arabic),https://www.ooredoo.qa/portal/OoredooQatar/ar/general-terms-and-conditions,N/A,"2018-08-31"
5,ooredoo.qa website privacy policy (English),https://www.ooredoo.qa/portal/OoredooQatar/privacy-policy,N/A,"2018-08-31"
6,ooredoo.qa website privacy policy (Arabic),https://www.ooredoo.qa/portal/OoredooQatar/ar/privacy-policy,N/A,"2018-08-31"
7,Code of Business Conduct and Ethics (English),https://www.ooredoo.qa/portal/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-Disposition&blobheadername2=MDT-Type&blobheadervalue1=inline%3B+filename%3Dooredoo_code_of_ethics_en0.pdf&blobheadervalue2=abinary%3B+charset%3DUTF-8&blobkey=id&blobtable=MungoBlobs&blobwhere=1451241595629&ssbinary=true,N/A,"2018-08-31"
8,Code of Business Conduct and Ethics (Arabic),https://www.ooredoo.qa/portal/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-Disposition&blobheadername2=MDT-Type&blobheadervalue1=inline%3B+filename%3Dooredoo_code_of_ethics_ar0.pdf&blobheadervalue2=abinary%3B+charset%3DUTF-8&blobkey=id&blobtable=MungoBlobs&blobwhere=1451241595641&ssbinary=true,N/A,"2018-08-31"
9,Ooredoo Qatar Pre-Paid Plan (Hala) (English),https://www.ooredoo.qa/portal/OoredooQatar/hala,N/A,"2018-09-03"
10,Ooredoo Qatar Pre-Paid Plan (Hala) (Arabic),https://www.ooredoo.qa/portal/OoredooQatar/ar/hala,N/A,"2018-09-03"
11,Ooredoo Qatar Pre-Paid Plan (Hala Data) (English),https://www.ooredoo.qa/portal/OoredooQatar/hala-data-options,N/A,"2018-09-03"
12,Ooredoo Qatar Pre-Paid Plan (Hala Data) (Arabic),https://www.ooredoo.qa/portal/OoredooQatar/ar/hala-data-options,N/A,"2018-09-03"
13,Ooredoo Qatar Pre-Paid Plan (Hala eTop Up and ePayment) (English),https://www.ooredoo.qa/selfcare/#/topUp/en,N/A,"2018-09-03"
14,Ooredoo Qatar Pre-Paid Plan (Hala eTop Up and ePayment) (Arabic),https://www.ooredoo.qa/selfcare/#/topUp/ar,N/A,"2018-09-03"
15,Ooredoo Qatar Pre-Paid Plan (Hala International Calls) (English),https://www.ooredoo.qa/portal/OoredooQatar/hala-international,N/A,"2018-09-03"
16,Ooredoo Qatar Pre-Paid Plan (Hala International Calls) (Arabic),https://www.ooredoo.qa/portal/OoredooQatar/ar/hala-international,N/A,"2018-09-03"
17,Ooredoo Qatar Pre-Paid Plan (Hala Flexi Cards) (English),https://www.ooredoo.qa/portal/OoredooQatar/flexicards,N/A,"2018-09-03"
18,Ooredoo Qatar Pre-Paid Plan (Hala  Flexi Cards) (Arabic),https://www.ooredoo.qa/portal/OoredooQatar/ar/flexicards?locale_name=ar,N/A,"2018-09-03"
19,Ooredoo Qatar Pre-Paid Plan (Hala Go) (English),https://www.ooredoo.qa/portal/OoredooQatar/halago?locale_name=en,N/A,"2018-09-03"
20,Ooredoo Qatar Pre-Paid Plan (Hala Go) (Arabic),https://www.ooredoo.qa/portal/OoredooQatar/ar/halago,N/A,"2018-09-03"
21,Ooredoo Qatar Post-Paid Plan (Shahry) (English),https://www.ooredoo.qa/portal/OoredooQatar/shahry,N/A,"2018-09-03"
22,Ooredoo Qatar Post-Paid Plan (Shahry) (Arabic),https://www.ooredoo.qa/portal/OoredooQatar/ar/shahry?locale_name=ar,N/A,"2018-09-03"
23,Ooredoo Qatar Post-Paid Plan (Shahry Qatarna Packs) (English),https://www.ooredoo.qa/portal/OoredooQatar/qatarna-pack,N/A,"2018-09-03"
24,Ooredoo Qatar Post-Paid Plan (Shahry Qatarna Packs) (Arabic),https://www.ooredoo.qa/portal/OoredooQatar/ar/qatarna-pack,N/A,"2018-09-03"
25,Ooredoo Qatar Post-Paid Plan (Shahry New Shahry) (English),https://www.ooredoo.qa/portal/OoredooQatar/new-amazing-shahry-plans,N/A,"2018-09-03"
26,Ooredoo Qatar Post-Paid Plan (Shahry New Shahry) (Arabic),https://www.ooredoo.qa/portal/OoredooQatar/ar/new-amazing-shahry-plans,N/A,"2018-09-03"
27,Ooredoo Qatar Post-Paid Plan (Shahry Shahry Super) (English),https://www.ooredoo.qa/portal/OoredooQatar/shahry-super,N/A,"2018-09-04"
28,Ooredoo Qatar Post-Paid Plan (Shahry Shahry Super) (Arabic),https://www.ooredoo.qa/portal/OoredooQatar/ar/shahry-super,N/A,"2018-09-04"
29,Ooredoo Qatar Fiber (English),https://www.ooredoo.qa/portal/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-Disposition&blobheadername2=MDT-Type&blobheadervalue1=inline%3B+filename%3DFibre-Home+services-terms-and-conditions.pdf&blobheadervalue2=abinary%3B+charset%3DUTF-8&blobkey=id&blobtable=MungoBlobs&blobwhere=1451361149957&ssbinary=true,N/A,"2018-09-04"
30,Ooredoo Qatar Fiber (Arabic),https://www.ooredoo.qa/portal/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-Disposition&blobheadername2=MDT-Type&blobheadervalue1=inline%3B+filename%3DFibre-Home+services-terms-and-conditions.pdf&blobheadervalue2=abinary%3B+charset%3DUTF-8&blobkey=id&blobtable=MungoBlobs&blobwhere=1451361149957&ssbinary=true,N/A,"2018-09-04"
31,Ooredoo Qatar Register My Ooredoo (English),https://www.ooredoo.qa/selfcare/#/register/en,N/A,"2018-09-04"
32,Ooredoo Qatar Register My Ooredoo (English),https://www.ooredoo.qa/selfcare/#/register/ar,N/A,"2018-09-04"
