Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Telecommunication,Orange,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,100,yes,"Yes. Orange discloses the following: ''As an operator, we ensure that human rights are respected when using digital technologies, notably in terms of freedom of expression and protecting our customers’ privacy...We guarantee that our customers have freedom of expression when using our products and services, as well as privacy by protecting their data'' (Source 20).",NA
Telecommunication,Orange,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. Orange discloses the following: ''As an operator, we ensure that human rights are respected when using digital technologies, notably in terms of freedom of expression and protecting our customers’ privacy...We guarantee that our customers have freedom of expression when using our products and services, as well as privacy by protecting their data'' (Source 20).",NA
Telecommunication,Orange,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G1,Element,G1.1,100,yes,"Yes. Orange discloses the following: ''As an operator, we ensure that human rights are respected when using digital technologies, notably in terms of freedom of expression and protecting our customers’ privacy...We guarantee that our customers have freedom of expression when using our products and services, as well as privacy by protecting their data'' (Source 20).",NA
Telecommunication,Orange,Operating Company,NA,OperatingCo - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. Orange discloses the following: ''As an operator, we ensure that human rights are respected when using digital technologies, notably in terms of freedom of expression and protecting our customers’ privacy...We guarantee that our customers have freedom of expression when using our products and services, as well as privacy by protecting their data'' (Source 20).",NA
Telecommunication,Orange,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,100,NA,NA,20
Telecommunication,Orange,Group,NA,Group - Privacy,Governance,G1,Level,NA,100,NA,NA,20
Telecommunication,Orange,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G1,Level,NA,100,NA,NA,20
Telecommunication,Orange,Operating Company,NA,OperatingCo - Privacy,Governance,G1,Level,NA,100,NA,NA,20
Telecommunication,Orange,Total,NA,NA,Governance,G1,Indicator,NA,100,NA,NA,NA
Telecommunication,Orange,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. Orange's Governance and Social and Environmental Responsibility board committee ''is involved in preparing and updating the Group's Code of Ethics and ensures that it is correctly applied and made available within each entity"" (Source 21). The Group Code of Ethics (Source 22) states: ""Our action and conduct principles are in line with fundamental principles, such as those of the Universal Declaration of Human Rights, and those set out by the International Labour Organisation (in particular those regarding the ban on child and forced labour), by the OECD (in particular as regards the fight against corruption), and the commitments which the Group embraces, notably in respect of Corporate Social Responsibility, by being one of the first organisations to sign up to the United Nations Global Compact.''",NA
Telecommunication,Orange,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. Orange's Governance and Social and Environmental Responsibility board committee ''is involved in preparing and updating the Group's Code of Ethics and ensures that it is correctly applied and made available within each entity"" (Source 21). The Group Code of Ethics (Source 22) states: ""Our action and conduct principles are in line with fundamental principles, such as those of the Universal Declaration of Human Rights, and those set out by the International Labour Organisation (in particular those regarding the ban on child and forced labour), by the OECD (in particular as regards the fight against corruption), and the commitments which the Group embraces, notably in respect of Corporate Social Responsibility, by being one of the first organisations to sign up to the United Nations Global Compact.''",NA
Telecommunication,Orange,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. Orange's Governance and Social and Environmental Responsibility board committee ''is involved in preparing and updating the Group's Code of Ethics and ensures that it is correctly applied and made available within each entity"" (Source 21). The Group Code of Ethics (Source 22) states: ""Our action and conduct principles are in line with fundamental principles, such as those of the Universal Declaration of Human Rights, and those set out by the International Labour Organisation (in particular those regarding the ban on child and forced labour), by the OECD (in particular as regards the fight against corruption), and the commitments which the Group embraces, notably in respect of Corporate Social Responsibility, by being one of the first organisations to sign up to the United Nations Global Compact.''",NA
Telecommunication,Orange,Group,NA,Group - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. Orange's Governance and Social and Environmental Responsibility board committee ''is involved in preparing and updating the Group's Code of Ethics and ensures that it is correctly applied and made available within each entity"" (Source 21). The Group Code of Ethics (Source 22) states: ""Our action and conduct principles are in line with fundamental principles, such as those of the Universal Declaration of Human Rights, and those set out by the International Labour Organisation (in particular those regarding the ban on child and forced labour), by the OECD (in particular as regards the fight against corruption), and the commitments which the Group embraces, notably in respect of Corporate Social Responsibility, by being one of the first organisations to sign up to the United Nations Global Compact.''",NA
Telecommunication,Orange,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. Orange's Governance and Social and Environmental Responsibility board committee ''is involved in preparing and updating the Group's Code of Ethics and ensures that it is correctly applied and made available within each entity"" (Source 21). The Group Code of Ethics (Source 22) states: ""Our action and conduct principles are in line with fundamental principles, such as those of the Universal Declaration of Human Rights, and those set out by the International Labour Organisation (in particular those regarding the ban on child and forced labour), by the OECD (in particular as regards the fight against corruption), and the commitments which the Group embraces, notably in respect of Corporate Social Responsibility, by being one of the first organisations to sign up to the United Nations Global Compact.''",NA
Telecommunication,Orange,Operating Company,NA,OperatingCo - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. Orange's Governance and Social and Environmental Responsibility board committee ''is involved in preparing and updating the Group's Code of Ethics and ensures that it is correctly applied and made available within each entity"" (Source 21). The Group Code of Ethics (Source 22) states: ""Our action and conduct principles are in line with fundamental principles, such as those of the Universal Declaration of Human Rights, and those set out by the International Labour Organisation (in particular those regarding the ban on child and forced labour), by the OECD (in particular as regards the fight against corruption), and the commitments which the Group embraces, notably in respect of Corporate Social Responsibility, by being one of the first organisations to sign up to the United Nations Global Compact.''",NA
Telecommunication,Orange,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. Orange's Governance and Social and Environmental Responsibility board committee ''is involved in preparing and updating the Group's Code of Ethics and ensures that it is correctly applied and made available within each entity"" (Source 21). The Group Code of Ethics (Source 22) states: ""Our action and conduct principles are in line with fundamental principles, such as those of the Universal Declaration of Human Rights, and those set out by the International Labour Organisation (in particular those regarding the ban on child and forced labour), by the OECD (in particular as regards the fight against corruption), and the commitments which the Group embraces, notably in respect of Corporate Social Responsibility, by being one of the first organisations to sign up to the United Nations Global Compact.''",NA
Telecommunication,Orange,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. Orange's Governance and Social and Environmental Responsibility board committee ''is involved in preparing and updating the Group's Code of Ethics and ensures that it is correctly applied and made available within each entity"" (Source 21). The Group Code of Ethics (Source 22) states: ""Our action and conduct principles are in line with fundamental principles, such as those of the Universal Declaration of Human Rights, and those set out by the International Labour Organisation (in particular those regarding the ban on child and forced labour), by the OECD (in particular as regards the fight against corruption), and the commitments which the Group embraces, notably in respect of Corporate Social Responsibility, by being one of the first organisations to sign up to the United Nations Global Compact.''",NA
Telecommunication,Orange,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. Orange's Governance and Social and Environmental Responsibility board committee ''is involved in preparing and updating the Group's Code of Ethics and ensures that it is correctly applied and made available within each entity"" (Source 21). The Group Code of Ethics (Source 22) states: ""Our action and conduct principles are in line with fundamental principles, such as those of the Universal Declaration of Human Rights, and those set out by the International Labour Organisation (in particular those regarding the ban on child and forced labour), by the OECD (in particular as regards the fight against corruption), and the commitments which the Group embraces, notably in respect of Corporate Social Responsibility, by being one of the first organisations to sign up to the United Nations Global Compact.''",NA
Telecommunication,Orange,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. Orange's Governance and Social and Environmental Responsibility board committee ''is involved in preparing and updating the Group's Code of Ethics and ensures that it is correctly applied and made available within each entity"" (Source 21). The Group Code of Ethics (Source 22) states: ""Our action and conduct principles are in line with fundamental principles, such as those of the Universal Declaration of Human Rights, and those set out by the International Labour Organisation (in particular those regarding the ban on child and forced labour), by the OECD (in particular as regards the fight against corruption), and the commitments which the Group embraces, notably in respect of Corporate Social Responsibility, by being one of the first organisations to sign up to the United Nations Global Compact.''",NA
Telecommunication,Orange,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Element,G2.2,100,yes,"Yes. In its Integrated Report (Source 23), Orange states that ''The Group’s operational governance is put into action by several specialised committees, which report to the Executive Committee.'' These specialized committees include the Ethics Committee ensures that the Group’s Code of Ethics is applied, offers guidance on its implementation and suggests amendments where needed. It also looks into specific situations submitted for its review, and reports to the Executive Committee and Governance and Corporate Social and Environmental Responsibility every year.""",NA
Telecommunication,Orange,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. In its Integrated Report (Source 23), Orange states that ''The Group’s operational governance is put into action by several specialised committees, which report to the Executive Committee.'' These specialized committees include the Ethics Committee ensures that the Group’s Code of Ethics is applied, offers guidance on its implementation and suggests amendments where needed. It also looks into specific situations submitted for its review, and reports to the Executive Committee and Governance and Corporate Social and Environmental Responsibility every year.""",NA
