Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
1,Conditions générales d’abonnement de l’offre mobile Orange,https://documentscontractuels.orange.fr/les-offres-orange-mobile_cg_929.pdf,8/23/2018,"2018-09-03"
2,Conditions générales des offres Livebox,https://documentscontractuels.orange.fr/les-offres-orange-internet_cg_3164.pdf,July 2018,"2018-09-03"
3,Conditions générales d’abonnement au service téléphonique fixe,https://documentscontractuels.orange.fr/les-offres-du-fixe_cg_1204.pdf,5/17/2018,"2018-09-03"
4,Conditions générales d’abonnement aux offres Mon Optimale Fibre et Mon Optimale voix IP,https://documentscontractuels.orange.fr/les-offres-du-fixe_cg_3252.pdf,May 2018,"2018-09-03"
5,Conditions générales d’abonnement au service téléphonique Orange Internet,https://documentscontractuels.orange.fr/les-offres-orange-internet_cg_2068.pdf,"February 9, 2017","2018-09-03"
6,RAPPORT DE TRANSPARENCE D’ORANGE EN MATIERE DE LIBERTE D’EXPRESSION ET DE RESPECT DE LA VIE PRIVEE,https://www.orange.com/en/content/download/46782/1366701/version/5/file/2017%20RAPPORT%20DE%20TRANSPARENCE.pdf,2017,"2018-09-03"
7,"“Freedom of expression, a vital part of an operator’s daily activities”",https://www.orange.com/en/Human-Inside/Corporate-responsibility/Our-commitment/Folder/Respecting-human-rights/Folder/Protecting-privacy-and-freedom-of-expression/Folder/suite-1,12/6/2017,"2018-09-07"
8,Personal Data Protection policy,https://c.orange.fr/pages-juridiques/donnees-personnelles.html,5/15/2018,"2018-09-07"
9,Demande d’accès à vos données personnelles,https://assistance.orange.fr/medias/woopic/files/content/download/146417/8020345/version/6/file/formulaire_exercice_droit_d_acces_aux_donnees_personnelles.pdf,None found,"2018-09-13"
10,Droit d’opposition à l’utilisation de vos données personnelles,https://assistance.orange.fr/medias/woopic/files/content/download/146420/8020439/version/3/file/demande_opposition_utilisation_donnees_personnelles.pdf,None found,"2018-09-13"
11,Données personnelles : exercer votre droit de rectification et d’opposition,https://assistance.orange.fr/assistance-commerciale/la-gestion-des-informations-personnelles/gerer-les-donnees-personnelles/donnees-personnelles-exercer-votre-droit-de-rectification-et-d-opposition_79793-80800#onglet1,None found,"2018-09-13"
12,Implementation of the GNI’s updated principles by Orange,https://www.orange.com/en/content/download/47112/1371120/version/2/file/180525_Orange_Principes%20GNI_VA.pdf,5/25/2018,"2018-09-13"
13,Orange Human Rights Report,https://www.orange.com/en/content/download/45336/1348812/version/7/file/Report+2016+Orange+Human+Rights+DIGITAL-VA.pdf,2016,"2018-09-13"
14,Orange Vigilance Plan,https://www.orange.com/en/content/download/46451/1373358/version/7/file/2017_Orange_Vigilance_plan_eng.pdf,2017,"2018-09-13"
15,CSR Review,https://www.orange.com/en/content/download/47067/1372046/version/5/file/180612_Bilan%20RSE%202017_EN.pdf,None found,"2018-09-13"
16,Orange charter on personal data protection and protection,https://bienvivreledigital.orange.fr/mes-donnees-mon-identite/charte-de-la-protection-des-donnees-personnelles-et-de-la-vie-privee,01/2010,"2018-09-13"
17,Bien Vivre le Digital,https://bienvivreledigital.orange.fr/mes-donnees-mon-identite,None found,"2018-09-13"
18,Respect des droits de l'homme,https://www.orange.com/fr/content/download/41983/1288167/version/7/file/180514_1Principes_2Droits-Humains.pdf,None found,"2018-09-13"
19,Protecting personal data,https://www.orange.com/en/content/download/41996/1309693/version/14/file/OrangeCSR_0203_Privacy_170523.pdf,None found,"2018-09-13"
20,Protecting privacy and freedom of expression,https://www.orange.com/en/Human-Inside/Our-commitment-to-society/Ensuring-digital-technology-enables-progress-for-everyone/Folder/Respecting-human-rights/Folder/Protecting-privacy-and-freedom-of-expression,12/6/2017,"2018-09-13"
21,Board of Directors' Internal Guidelines,https://www.orange.com/en/content/download/4815/67914/version/14/file/Board%20Internal%20Guidelines%20-%20revised%2025%20October%202017%20Version%20EN.pdf,10/25/2017,"2018-09-13"
22,The Group code of ethics,https://www.orange.com/en/content/download/4813/67906/version/12/file/CHARTE-DE-DEONTOLOGIE_03-10_VA.pdf,None found,"2018-09-13"
23,Integrated 2017 Annual Report,https://rai2017.orange.com/orange2017-content/uploads/2018/05/orag_1802135_ra_150x210_gb_mel.pdf,2017,"2018-09-14"
24,GNI members,https://globalnetworkinitiative.org/#home-menu,None found,"2018-09-14"
25,The Net Neutrality debate: Orange defends a sustainable and open public internet for all consumers,https://www.orange.com/en/content/download/2360/89457/version/11/file/Net_Neutrality_Orange+position_july+2014.pdf,2014,"2018-09-17"
26,2016 CSR Report,https://www.orange.com/en/content/download/42897/1310465/version/6/file/CSR%202016_Review.pdf,2016,"2018-11-09"
