Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Internet,Samsung,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,100,yes,"Yes. In the preface of the 2016 Business Conduct Guidelines (Source 31, 32 p. 3), Samsung states that it ""respects and protects the fundamental human rights taking into account international human rights principles and standards set forth in the Universal Declaration of Human Rights, the UN Guiding Principles on Business and Human Rights, the Organization for Economic Co-operation and Development’s guidelines for multinational enterprises, the UN Convention on the Rights of the Child, the ILO Declaration on Fundamental Principles and Rights at Work, and the laws of the countries in which we operate."" Since Samsung commits to respect and protect fundamental human rights including those articulated in the Universal Declaration of Human Rights, the scope of which includes freedom of expression and privacy, the company is awarded full credit.",NA
Internet,Samsung,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. In the preface of the 2016 Business Conduct Guidelines (Source 31, 32 p. 3), Samsung states that it ""respects and protects the fundamental human rights taking into account international human rights principles and standards set forth in the Universal Declaration of Human Rights, the UN Guiding Principles on Business and Human Rights, the Organization for Economic Co-operation and Development’s guidelines for multinational enterprises, the UN Convention on the Rights of the Child, the ILO Declaration on Fundamental Principles and Rights at Work, and the laws of the countries in which we operate."" Since Samsung commits to respect and protect fundamental human rights including those articulated in the Universal Declaration of Human Rights, the scope of which includes freedom of expression and privacy, the company is awarded full credit.",NA
Internet,Samsung,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,100,NA,NA,31; 32
Internet,Samsung,Group,NA,Group - Privacy,Governance,G1,Level,NA,100,NA,NA,31; 32
Internet,Samsung,Total,NA,NA,Governance,G1,Indicator,NA,100,NA,NA,NA
Internet,Samsung,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Samsung,Group,NA,Group - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Samsung,Mobile Ecosystems,Samsung implementation of android,Samsung implementation of android - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Samsung,Cloud,Samsung Cloud,Samsung Cloud - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Samsung,Cloud,Samsung Cloud,Samsung Cloud - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Samsung,Mobile Ecosystems,Samsung implementation of android,Samsung implementation of android - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Samsung,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Samsung,Group,NA,Group - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. In the Sustainability Report 2018 (Source 29, 30, p.107), an organizational chart shows that an executive-level Corporate Legal Office oversees management-level privacy compliance teams at Samsung. The company says: ""We have established the Global Privacy Office within the Corporate Legal Office under the direct leadership of the CEO. We have appointed lawyers with expertise in data privacy in respective business divisions.""",NA
Internet,Samsung,Mobile Ecosystems,Samsung implementation of android,Samsung implementation of android - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Samsung,Cloud,Samsung Cloud,Samsung Cloud - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Samsung,Cloud,Samsung Cloud,Samsung Cloud - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. In the Sustainability Report 2018 (Source 29, 30, p.107), an organizational chart shows that an executive-level Corporate Legal Office oversees management-level privacy compliance teams at Samsung. The company says: ""We have established the Global Privacy Office within the Corporate Legal Office under the direct leadership of the CEO. We have appointed lawyers with expertise in data privacy in respective business divisions.""",NA
Internet,Samsung,Mobile Ecosystems,Samsung implementation of android,Samsung implementation of android - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. In the Sustainability Report 2018 (Source 29, 30, p.107), an organizational chart shows that an executive-level Corporate Legal Office oversees management-level privacy compliance teams at Samsung. The company says: ""We have established the Global Privacy Office within the Corporate Legal Office under the direct leadership of the CEO. We have appointed lawyers with expertise in data privacy in respective business divisions.""",NA
Internet,Samsung,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure is found.,NA
Internet,Samsung,Group,NA,Group - Privacy,Governance,G2,Element,G2.3,100,yes,"Yes. In the Sustainability Report 2018 (Source 29, 30, p.107), an organizational chart shows management-level teams overseeing privacy issues at Samsung. The company says, ""Our Corporate Legal Office, under the direct leadership of the CEO, operates the Compliance Team and Privacy Steering Committee in order to advance compliance management, and the Compliance-related committees and the Privacy Steering Committee assists our top management in their decision making process...Our compliance organization consists of the company-wide Compliance Team and nearly 400 Compliance Officers who are responsible for compliance management of their own function units, business divisions, and overseas subsidiaries.""",NA
Internet,Samsung,Mobile Ecosystems,Samsung implementation of android,Samsung implementation of android - Freedom of Expression,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure is found.,NA
Internet,Samsung,Cloud,Samsung Cloud,Samsung Cloud - Freedom of Expression,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure is found.,NA
Internet,Samsung,Cloud,Samsung Cloud,Samsung Cloud - Privacy,Governance,G2,Element,G2.3,100,yes,"Yes. In the Sustainability Report 2018 (Source 29, 30, p.107), an organizational chart shows management-level teams overseeing privacy issues at Samsung. The company says, ""Our Corporate Legal Office, under the direct leadership of the CEO, operates the Compliance Team and Privacy Steering Committee in order to advance compliance management, and the Compliance-related committees and the Privacy Steering Committee assists our top management in their decision making process...Our compliance organization consists of the company-wide Compliance Team and nearly 400 Compliance Officers who are responsible for compliance management of their own function units, business divisions, and overseas subsidiaries.""",NA
Internet,Samsung,Mobile Ecosystems,Samsung implementation of android,Samsung implementation of android - Privacy,Governance,G2,Element,G2.3,100,yes,"Yes. In the Sustainability Report 2018 (Source 29, 30, p.107), an organizational chart shows management-level teams overseeing privacy issues at Samsung. The company says, ""Our Corporate Legal Office, under the direct leadership of the CEO, operates the Compliance Team and Privacy Steering Committee in order to advance compliance management, and the Compliance-related committees and the Privacy Steering Committee assists our top management in their decision making process...Our compliance organization consists of the company-wide Compliance Team and nearly 400 Compliance Officers who are responsible for compliance management of their own function units, business divisions, and overseas subsidiaries.""",NA
Internet,Samsung,Group,NA,Group - Freedom of Expression,Governance,G2,Level,NA,0,NA,NA,29; 30
Internet,Samsung,Group,NA,Group - Privacy,Governance,G2,Level,NA,66.666666666666671,NA,NA,29; 30
Internet,Samsung,Mobile Ecosystems,Samsung implementation of android,Samsung implementation of android - Freedom of Expression,Governance,G2,Level,NA,0,NA,NA,29; 30
Internet,Samsung,Cloud,Samsung Cloud,Samsung Cloud - Freedom of Expression,Governance,G2,Level,NA,0,NA,NA,29; 30
Internet,Samsung,Cloud,Samsung Cloud,Samsung Cloud - Privacy,Governance,G2,Level,NA,66.666666666666671,NA,NA,29; 30
Internet,Samsung,Mobile Ecosystems,Samsung implementation of android,Samsung implementation of android - Privacy,Governance,G2,Level,NA,66.666666666666671,NA,NA,29; 30
Internet,Samsung,Total,NA,NA,Governance,G2,Indicator,NA,33.333333333333336,NA,NA,NA
Internet,Samsung,Group,NA,Group - Freedom of Expression,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Samsung,Group,NA,Group - Privacy,Governance,G3,Element,G3.1,100,yes,"Yes. The Sustainability Report 2018 (Source 29, 30, p.108) states: ""Strengthened Privacy Policy Training: Data privacy training is mandatory for all employees. All employees including executive officers are required to complete an online data privacy course every year. In addition, data privacy training is part of the introductory compliance training given to newly appointed employees."" In addition, section 24 (""Handling of Information"") of the Business Conduct Guidelines 2016 (Source 31, 32, p.8) states: ""In the course of our day-to-day businesses, everyone at Samsung creates, stores and disposes of records and information assets. As such, Samsung provides the ‘Guidelines on Information Management’ for all employees to manage information legitimately and appropriately.""",NA
Internet,Samsung,Mobile Ecosystems,Samsung implementation of android,Samsung implementation of android - Freedom of Expression,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Samsung,Cloud,Samsung Cloud,Samsung Cloud - Freedom of Expression,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Samsung,Cloud,Samsung Cloud,Samsung Cloud - Privacy,Governance,G3,Element,G3.1,100,yes,"Yes. The Sustainability Report 2018 (Source 29, 30, p.108) states: ""Strengthened Privacy Policy Training: Data privacy training is mandatory for all employees. All employees including executive officers are required to complete an online data privacy course every year. In addition, data privacy training is part of the introductory compliance training given to newly appointed employees."" In addition, section 24 (""Handling of Information"") of the Business Conduct Guidelines 2016 (Source 31, 32, p.8) states: ""In the course of our day-to-day businesses, everyone at Samsung creates, stores and disposes of records and information assets. As such, Samsung provides the ‘Guidelines on Information Management’ for all employees to manage information legitimately and appropriately.""",NA
