Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
1,Samsung Service Terms and Conditions (K),https://account.samsung.com/membership/terms,None found,"September 14, 2018"
2,Samsung Service Terms and Conditions (E),https://account.samsung.com/membership/terms,None found,"September 14, 2018"
3,Samsung Galaxy Apps Terms and Conditions (K),https://account.samsung.com/membership/etc/specialTC.do?fileName=samsungapps.html,None found,"September 14, 2018"
4,Samsung Galaxy Apps Terms and Conditions for Buyers (E),https://account.samsung.com/membership/etc/specialTC.do?fileName=samsungapps.html,None found,"September 14, 2018"
5,Samsung Galaxy Apps Seller Office Terms and Conditions (K),https://seller.samsungapps.com/help/termsAndConditions.as?localeLanguage=ko,None found,"September 14, 2018"
6,Samsung Galaxy Apps Seller Office Terms and Conditions (E),https://seller.samsungapps.com/help/termsAndConditions.as?localeLanguage=en,11/23/2017,"September 14, 2018"
7,Samsung Cloud Service Terms and Conditions (K),https://account.samsung.com/membership/etc/specialTC.do?fileName=personaldatamgmt.html,None found,"September 14, 2018"
8,Samsung Cloud Service Terms and Conditions (E),https://account.samsung.com/membership/etc/specialTC.do?fileName=personaldatamgmt.html,None found,"September 14, 2018"
9,Notice (K),https://account.samsung.com/membership/notice/getBoardListInfo.do,None found,"September 14, 2018"
10,Notice (E),https://account.samsung.com/membership/notice/getBoardListInfo.do,None found,"September 14, 2018"
11,Changes Terms and conditions of Samsung Service (K),https://account.samsung.com/membership/notice/getBoardView.do?currentPage=4&postID=N000002826,"April 28, 2017","September 14, 2018"
12,Changes Terms and conditions of Samsung Service (E),https://account.samsung.com/membership/notice/getBoardView.do?currentPage=1&postID=N000002830,6/20/2017,"September 14, 2018"
13,Privacy Policy (K),https://account.samsung.com/membership/pp,"May 30, 2018","September 14, 2018"
14,SAMSUNG GLOBAL PRIVACY POLICY (E),https://account.samsung.com/membership/pp,3/30/2018,"September 14, 2018"
15,Samsung Galaxy Apps Seller Office Privacy Policy (K),https://seller.samsungapps.com/help/privacy.as?localeLanguage=ko,6/26/2018,"September 14, 2018"
16,Samsung Galaxy Apps Seller Office Privacy Policy (E),https://seller.samsungapps.com/help/privacy.as,None found,"September 14, 2018"
17,Validation Policy (K),http://developer.samsung.com/galaxy/distribute/validation-policy,None found,"September 14, 2018"
18,Validation Policy (E),http://developer.samsung.com/galaxy/distribute/validation-policy,None found,"September 14, 2018"
19,자주 묻는 질문: 회원 탈퇴는 어떻게 하나요?[FAQ: How Can I Termination My Membership?],https://help.content.samsung.com/csweb/faq/searchFaq.do,None found,"September 16, 2018"
20,Galaxy S8 User Manual (K),https://www.samsung.com/sec/support/model/SM-G960NZRAKOO/,None found,"September 16, 2018"
21,Galaxy S8 User Manual (E),https://www.samsung.com/us/support/owners/product/galaxy-s9-at-t,None found,"September 16, 2018"
22,Self-Checklist (Mobile Galaxy),http://developer.samsung.com/galaxy/distribute/self-check-list,None found,"September 16, 2018"
23,FAQ: Are there any Apps that are prohibited (K),https://help.content.samsung.com/csseller/faq/searchFaq.do,None found,"September 16, 2018"
24,FAQ: Are there any Apps that are prohibited (E),https://help.content.samsung.com/csseller/faq/searchFaq.do,None found,"September 16, 2018"
25,Sign Up (K),https://account.samsung.com/account/signUpSelected.do,None found,"September 16, 2018"
26,Sign Up (E),https://account.samsung.com/account/signUp.do,None found,"September 16, 2018"
27,FAQ: Which documents do I have to submit to request commercial status? (K),https://help.content.samsung.com/csseller/faq/searchFaq.do,None found,"September 16, 2018"
28,FAQ: Which documents do I have to submit to request commercial status? (E),https://help.content.samsung.com/csseller/faq/searchFaq.do,None found,"September 16, 2018"
29,Sustainability Report 2018 (K),https://www.samsung.com/sec/aboutsamsung/sustainability/report-and-policy/,None found,"September 16, 2018"
30,Sustainability Report 2018 (E),https://www.samsung.com/us/aboutsamsung/sustainability/report-and-policy/,None found,"September 16, 2018"
31,Business Conduct Guidelines 2016 (K),https://www.samsung.com/sec/aboutsamsung/sustainability/report-and-policy/,None found,"September 16, 2018"
32,Business Conduct Guidelines 2016 (E),https://www.samsung.com/us/aboutsamsung/sustainability/report-and-policy/,None found,"September 16, 2018"
33,Samsung Security Reporting,https://security.samsungmobile.com/securityReporting.smsb,None found,"September 16, 2018"
34,Smart TV bug Bounty Program,https://samsungtvbounty.com/,None found,"September 16, 2018"
35,Samsung Knox Security Solution White Paper,https://www.samsungknox.com/en/knox-platform/knox-security,None found,"September 16, 2018"
36,Samsung Mobile Security Blog,https://security.samsungmobile.com/workScope.smsb,None found,"September 16, 2018"
37,Samsung Android Security Updates,https://security.samsungmobile.com/securityUpdate.smsb,None found,"September 16, 2018"
38,FAQ: What is 2-step verification? (K),https://help.content.samsung.com/csweb/faq/searchFaq.do,None found,"September 16, 2018"
39,FAQ: What is 2-step verification? (E),https://help.content.samsung.com/csweb/faq/searchFaq.do,None found,"September 16, 2018"
40,FAQ: How do I enable or disable 2-step verification? (K),https://help.content.samsung.com/csweb/faq/searchFaq.do,None found,"September 16, 2018"
41,FAQ: How do I enable or disable 2-step verification? (E),https://help.content.samsung.com/csweb/faq/searchFaq.do,None found,"September 16, 2018"
42,Business Principles (K),https://sec-audit.com/common/businessPrinciple/viewBusinessPrincMain.do?_menuId=AVyA0fTVACzV4mS0&_menuF=true,None found,"September 16, 2018"
43,Business Principles (E),https://sec-audit.com/common/businessPrinciple/viewBusinessPrincMain.do?_menuId=AVyA0fTVACzV4mS0&_menuF=true,None found,"September 16, 2018"
44,Chair of Board Message (K),https://www.samsung.com/sec/ir/governance-csr/ceo-msg/,None found,"September 16, 2018"
45,Chair of Board Message (E),https://www.samsung.com/global/ir/ir-resources/ceo-msg/,None found,"September 16, 2018"
46,Board of Directors (K),https://www.samsung.com/sec/ir/governance-csr/board-of-directors/,None found,"September 16, 2018"
47,Board of Directors (E),https://www.samsung.com/global/ir/governance-csr/board-of-directors/,None found,"September 16, 2018"
48,CEOs (K),https://www.samsung.com/sec/aboutsamsung/company/executives/ceo/,None found,"September 16, 2018"
49,CEOs (E),https://www.samsung.com/us/aboutsamsung/company/executives/ceo/,None found,"September 16, 2018"
50,Articles of Incorporation Page (K),https://www.samsung.com/sec/ir/governance-csr/articles-of-incorporation/,None found,"September 16, 2018"
51,Articles of Incorporation (K),https://images.samsung.com/is/content/samsung/p5/sec/ir/governance/articles/articles_aoi_kor_2018.pdf,3/23/2018,"September 16, 2018"
52,Articles of Incorporation Page (E),https://www.samsung.com/global/ir/governance-csr/articles-of-incorporation/,None found,"September 16, 2018"
53,Articles of Incorporation (E),https://images.samsung.com/is/content/samsung/p5/global/ir/docs/aoi_eng_2018.pdf,3/23/2018,"September 16, 2018"
54,Sing Up (Legal Guardian's Verification) (K),https://account.samsung.com/accounts/v1/MBR/userVerifyNiceRequest,None found,"September 28, 2018"
