Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Telecommunication,Telefónica,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,100,yes,"Yes. In its Human Rights Commitment policy, the company states that they “are committed to respecting the Human Rights of all people, including our employees, community members, customers and business partners, as well as the millions of others whose lives are affected by our products and services every day” (Source 29. p. 1). In the 2017 Integrated Report (Source 16) Telefónica states: ""Guaranteeing people’s fundamental rights - privacy and freedom of expression in particular - acquires a new dimension in the digital world, where personal data is collected and managed through new technologies. Telecommunications operators have the duty and legal obligation to respond to the requirements of the competent authorities to ensure the safety of their citizens, always in compliance with the law and fundamental rights and freedoms.""",NA
Telecommunication,Telefónica,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. In its Human Rights Commitment policy, the company states that they “are committed to respecting the Human Rights of all people, including our employees, community members, customers and business partners, as well as the millions of others whose lives are affected by our products and services every day” (Source 29. p. 1). In the 2017 Integrated Report (Source 16) Telefónica states: ""Guaranteeing people’s fundamental rights - privacy and freedom of expression in particular - acquires a new dimension in the digital world, where personal data is collected and managed through new technologies. Telecommunications operators have the duty and legal obligation to respond to the requirements of the competent authorities to ensure the safety of their citizens, always in compliance with the law and fundamental rights and freedoms.""",NA
Telecommunication,Telefónica,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G1,Element,G1.1,100,yes,"Yes. In its Human Rights Commitment policy, the company states that they “are committed to respecting the Human Rights of all people, including our employees, community members, customers and business partners, as well as the millions of others whose lives are affected by our products and services every day” (Source 29. p. 1). In the 2017 Integrated Report (Source 16) Telefónica states: ""Guaranteeing people’s fundamental rights - privacy and freedom of expression in particular - acquires a new dimension in the digital world, where personal data is collected and managed through new technologies. Telecommunications operators have the duty and legal obligation to respond to the requirements of the competent authorities to ensure the safety of their citizens, always in compliance with the law and fundamental rights and freedoms.""",NA
Telecommunication,Telefónica,Operating Company,NA,OperatingCo - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. In its Human Rights Commitment policy, the company states that they “are committed to respecting the Human Rights of all people, including our employees, community members, customers and business partners, as well as the millions of others whose lives are affected by our products and services every day” (Source 29. p. 1). In the 2017 Integrated Report (Source 16) Telefónica states: ""Guaranteeing people’s fundamental rights - privacy and freedom of expression in particular - acquires a new dimension in the digital world, where personal data is collected and managed through new technologies. Telecommunications operators have the duty and legal obligation to respond to the requirements of the competent authorities to ensure the safety of their citizens, always in compliance with the law and fundamental rights and freedoms.""",NA
Telecommunication,Telefónica,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,100,NA,NA,16; 29
Telecommunication,Telefónica,Group,NA,Group - Privacy,Governance,G1,Level,NA,100,NA,NA,16; 29
Telecommunication,Telefónica,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G1,Level,NA,100,NA,NA,16; 29
Telecommunication,Telefónica,Operating Company,NA,OperatingCo - Privacy,Governance,G1,Level,NA,100,NA,NA,16; 29
Telecommunication,Telefónica,Total,NA,NA,Governance,G1,Indicator,NA,100,NA,NA,NA
Telecommunication,Telefónica,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The protection of privacy rights, data security and information security, as well as the protection of the right to freedom of expression, together with the protection of human rights in general, are issues that fall under the supervision of the Board of Directors through the Regulations and Institutional Affairs Committee” (Source 16. p. 126). Therefore full credit is given.",NA
Telecommunication,Telefónica,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The protection of privacy rights, data security and information security, as well as the protection of the right to freedom of expression, together with the protection of human rights in general, are issues that fall under the supervision of the Board of Directors through the Regulations and Institutional Affairs Committee” (Source 16. p. 126). Therefore full credit is given.",NA
Telecommunication,Telefónica,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The protection of privacy rights, data security and information security, as well as the protection of the right to freedom of expression, together with the protection of human rights in general, are issues that fall under the supervision of the Board of Directors through the Regulations and Institutional Affairs Committee” (Source 16. p. 126). Therefore full credit is given.",NA
Telecommunication,Telefónica,Group,NA,Group - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The protection of privacy rights, data security and information security, as well as the protection of the right to freedom of expression, together with the protection of human rights in general, are issues that fall under the supervision of the Board of Directors through the Regulations and Institutional Affairs Committee” (Source 16. p. 126). Therefore full credit is given.",NA
Telecommunication,Telefónica,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The protection of privacy rights, data security and information security, as well as the protection of the right to freedom of expression, together with the protection of human rights in general, are issues that fall under the supervision of the Board of Directors through the Regulations and Institutional Affairs Committee” (Source 16. p. 126). Therefore full credit is given.",NA
Telecommunication,Telefónica,Operating Company,NA,OperatingCo - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The protection of privacy rights, data security and information security, as well as the protection of the right to freedom of expression, together with the protection of human rights in general, are issues that fall under the supervision of the Board of Directors through the Regulations and Institutional Affairs Committee” (Source 16. p. 126). Therefore full credit is given.",NA
Telecommunication,Telefónica,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The protection of privacy rights, data security and information security, as well as the protection of the right to freedom of expression, together with the protection of human rights in general, are issues that fall under the supervision of the Board of Directors through the Regulations and Institutional Affairs Committee” (Source 16. p. 126). Therefore full credit is given.",NA
Telecommunication,Telefónica,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The protection of privacy rights, data security and information security, as well as the protection of the right to freedom of expression, together with the protection of human rights in general, are issues that fall under the supervision of the Board of Directors through the Regulations and Institutional Affairs Committee” (Source 16. p. 126). Therefore full credit is given.",NA
Telecommunication,Telefónica,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The protection of privacy rights, data security and information security, as well as the protection of the right to freedom of expression, together with the protection of human rights in general, are issues that fall under the supervision of the Board of Directors through the Regulations and Institutional Affairs Committee” (Source 16. p. 126). Therefore full credit is given.",NA
Telecommunication,Telefónica,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The protection of privacy rights, data security and information security, as well as the protection of the right to freedom of expression, together with the protection of human rights in general, are issues that fall under the supervision of the Board of Directors through the Regulations and Institutional Affairs Committee” (Source 16. p. 126). Therefore full credit is given.",NA
Telecommunication,Telefónica,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Element,G2.2,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The General Secretariat for the Board, Legal Affairs, Public Affairs, Regulation and Responsible Business, which is part of the Executive Committee, oversees the implementation of policies, commitments, and due diligence, in collaboration with the corporate areas involved, with regard to each human rights issue. The department of Corporate Ethics and Sustainability Management coordinates the work of identifying, assessing and addressing the risks and opportunities related to human rights, and promoting stakeholder dialogue on these issues” (Source 16.p. 189). Therefore full credit is given.",NA
Telecommunication,Telefónica,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The General Secretariat for the Board, Legal Affairs, Public Affairs, Regulation and Responsible Business, which is part of the Executive Committee, oversees the implementation of policies, commitments, and due diligence, in collaboration with the corporate areas involved, with regard to each human rights issue. The department of Corporate Ethics and Sustainability Management coordinates the work of identifying, assessing and addressing the risks and opportunities related to human rights, and promoting stakeholder dialogue on these issues” (Source 16.p. 189). Therefore full credit is given.",NA
Telecommunication,Telefónica,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.2,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The General Secretariat for the Board, Legal Affairs, Public Affairs, Regulation and Responsible Business, which is part of the Executive Committee, oversees the implementation of policies, commitments, and due diligence, in collaboration with the corporate areas involved, with regard to each human rights issue. The department of Corporate Ethics and Sustainability Management coordinates the work of identifying, assessing and addressing the risks and opportunities related to human rights, and promoting stakeholder dialogue on these issues” (Source 16.p. 189). Therefore full credit is given.",NA
Telecommunication,Telefónica,Group,NA,Group - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The General Secretariat for the Board, Legal Affairs, Public Affairs, Regulation and Responsible Business, which is part of the Executive Committee, oversees the implementation of policies, commitments, and due diligence, in collaboration with the corporate areas involved, with regard to each human rights issue. The department of Corporate Ethics and Sustainability Management coordinates the work of identifying, assessing and addressing the risks and opportunities related to human rights, and promoting stakeholder dialogue on these issues” (Source 16.p. 189). Therefore full credit is given.",NA
Telecommunication,Telefónica,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G2,Element,G2.2,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The General Secretariat for the Board, Legal Affairs, Public Affairs, Regulation and Responsible Business, which is part of the Executive Committee, oversees the implementation of policies, commitments, and due diligence, in collaboration with the corporate areas involved, with regard to each human rights issue. The department of Corporate Ethics and Sustainability Management coordinates the work of identifying, assessing and addressing the risks and opportunities related to human rights, and promoting stakeholder dialogue on these issues” (Source 16.p. 189). Therefore full credit is given.",NA
Telecommunication,Telefónica,Operating Company,NA,OperatingCo - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The General Secretariat for the Board, Legal Affairs, Public Affairs, Regulation and Responsible Business, which is part of the Executive Committee, oversees the implementation of policies, commitments, and due diligence, in collaboration with the corporate areas involved, with regard to each human rights issue. The department of Corporate Ethics and Sustainability Management coordinates the work of identifying, assessing and addressing the risks and opportunities related to human rights, and promoting stakeholder dialogue on these issues” (Source 16.p. 189). Therefore full credit is given.",NA
Telecommunication,Telefónica,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Freedom of Expression,Governance,G2,Element,G2.2,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The General Secretariat for the Board, Legal Affairs, Public Affairs, Regulation and Responsible Business, which is part of the Executive Committee, oversees the implementation of policies, commitments, and due diligence, in collaboration with the corporate areas involved, with regard to each human rights issue. The department of Corporate Ethics and Sustainability Management coordinates the work of identifying, assessing and addressing the risks and opportunities related to human rights, and promoting stakeholder dialogue on these issues” (Source 16.p. 189). Therefore full credit is given.",NA
Telecommunication,Telefónica,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The General Secretariat for the Board, Legal Affairs, Public Affairs, Regulation and Responsible Business, which is part of the Executive Committee, oversees the implementation of policies, commitments, and due diligence, in collaboration with the corporate areas involved, with regard to each human rights issue. The department of Corporate Ethics and Sustainability Management coordinates the work of identifying, assessing and addressing the risks and opportunities related to human rights, and promoting stakeholder dialogue on these issues” (Source 16.p. 189). Therefore full credit is given.",NA
Telecommunication,Telefónica,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Freedom of Expression,Governance,G2,Element,G2.2,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The General Secretariat for the Board, Legal Affairs, Public Affairs, Regulation and Responsible Business, which is part of the Executive Committee, oversees the implementation of policies, commitments, and due diligence, in collaboration with the corporate areas involved, with regard to each human rights issue. The department of Corporate Ethics and Sustainability Management coordinates the work of identifying, assessing and addressing the risks and opportunities related to human rights, and promoting stakeholder dialogue on these issues” (Source 16.p. 189). Therefore full credit is given.",NA
Telecommunication,Telefónica,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The General Secretariat for the Board, Legal Affairs, Public Affairs, Regulation and Responsible Business, which is part of the Executive Committee, oversees the implementation of policies, commitments, and due diligence, in collaboration with the corporate areas involved, with regard to each human rights issue. The department of Corporate Ethics and Sustainability Management coordinates the work of identifying, assessing and addressing the risks and opportunities related to human rights, and promoting stakeholder dialogue on these issues” (Source 16.p. 189). Therefore full credit is given.",NA
Telecommunication,Telefónica,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Element,G2.3,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The department of Corporate Ethics and Sustainability Management coordinates the work of identifying, assessing and addressing the risks and opportunities related to human rights, and promoting stakeholder dialogue on these issues” (Source 16. p. 189). Therefore full credit is given.",NA
Telecommunication,Telefónica,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Element,G2.3,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The department of Corporate Ethics and Sustainability Management coordinates the work of identifying, assessing and addressing the risks and opportunities related to human rights, and promoting stakeholder dialogue on these issues” (Source 16. p. 189). Therefore full credit is given.",NA
Telecommunication,Telefónica,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.3,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The department of Corporate Ethics and Sustainability Management coordinates the work of identifying, assessing and addressing the risks and opportunities related to human rights, and promoting stakeholder dialogue on these issues” (Source 16. p. 189). Therefore full credit is given.",NA
Telecommunication,Telefónica,Group,NA,Group - Privacy,Governance,G2,Element,G2.3,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The department of Corporate Ethics and Sustainability Management coordinates the work of identifying, assessing and addressing the risks and opportunities related to human rights, and promoting stakeholder dialogue on these issues” (Source 16. p. 189). Therefore full credit is given.",NA
Telecommunication,Telefónica,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G2,Element,G2.3,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The department of Corporate Ethics and Sustainability Management coordinates the work of identifying, assessing and addressing the risks and opportunities related to human rights, and promoting stakeholder dialogue on these issues” (Source 16. p. 189). Therefore full credit is given.",NA
Telecommunication,Telefónica,Operating Company,NA,OperatingCo - Privacy,Governance,G2,Element,G2.3,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The department of Corporate Ethics and Sustainability Management coordinates the work of identifying, assessing and addressing the risks and opportunities related to human rights, and promoting stakeholder dialogue on these issues” (Source 16. p. 189). Therefore full credit is given.",NA
Telecommunication,Telefónica,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Freedom of Expression,Governance,G2,Element,G2.3,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The department of Corporate Ethics and Sustainability Management coordinates the work of identifying, assessing and addressing the risks and opportunities related to human rights, and promoting stakeholder dialogue on these issues” (Source 16. p. 189). Therefore full credit is given.",NA
Telecommunication,Telefónica,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Privacy,Governance,G2,Element,G2.3,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The department of Corporate Ethics and Sustainability Management coordinates the work of identifying, assessing and addressing the risks and opportunities related to human rights, and promoting stakeholder dialogue on these issues” (Source 16. p. 189). Therefore full credit is given.",NA
Telecommunication,Telefónica,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Freedom of Expression,Governance,G2,Element,G2.3,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The department of Corporate Ethics and Sustainability Management coordinates the work of identifying, assessing and addressing the risks and opportunities related to human rights, and promoting stakeholder dialogue on these issues” (Source 16. p. 189). Therefore full credit is given.",NA
Telecommunication,Telefónica,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Privacy,Governance,G2,Element,G2.3,100,yes,"Yes. In its 2017 Integrated Report (Source 16), the company states: “The department of Corporate Ethics and Sustainability Management coordinates the work of identifying, assessing and addressing the risks and opportunities related to human rights, and promoting stakeholder dialogue on these issues” (Source 16. p. 189). Therefore full credit is given.",NA
Telecommunication,Telefónica,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Level,NA,100,NA,NA,16
Telecommunication,Telefónica,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Level,NA,100,NA,NA,16
