Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
1,Terms of service Card Mobile Movistar (Condiciones generales del servicio Tarjeta Móviles Movistar) - Spanish,https://www.movistar.es/rpmm/estaticos/residencial/movil/tarifas-voz/condiciones-generales-de-tarjeta.pdf,May 2018,"2018-09-04"
2,Terms of service Delivery Mobile Movistar (Condiciones Generales de Prestación Móviles Movistar) - Spanish,https://www.movistar.es/rpmm/estaticos/residencial/movil/tarifas-voz/condiciones-generales-de-contrato.pdf,May 2018,"2018-09-04"
3,Terms of service of Broadband Service available to the Public (Condiciones generales del Servicio de Banda Ancha disponible al público) - Spanish,https://www.movistar.es/rpmm/estaticos/residencial/fijo/banda-ancha-adsl/contratos/condiciones-generales-suba.pdf,December 2016,"2018-09-04"
4,Movistar Log of Terms and Conditions Mobile (Spanish),https://www.movistar.es/particulares/atencion-cliente/todos-los-contratos/aplicaciones-y-servicios/ficha-descargas/historico-movistar-movil,None found,"2018-09-04"
5,Movistar Log of Terms and Conditions Internet (Spanish),https://www.movistar.es/particulares/atencion-cliente/todos-los-contratos/aplicaciones-y-servicios/ficha-descargas/historico-movistar-internet,None found,"2018-09-04"
6,Privacy Policy Telefónica Group (Spanish),https://www.telefonica.com/documents/364672/473798/politica_privacidad_esp_2015.pdf/fe534d3d-e916-4fa9-8220-be8d89865998,December 2015,"2018-08-28"
7,Privacy Policy  Telefónica Group (English),https://www.telefonica.com/documents/1258915/3538310/privacy_policy_EN.pdf/6c122ed0-88e1-4843-8523-948ffd4ea3f5,December 2015,"2018-08-28"
8,Telefónica Global Privacy Center (Spanish),https://www.telefonica.com/es/web/about_telefonica/centro-de-privacidad/privacidad,None found,"2018-08-28"
9,Telefónica Global Privacy Center (English),https://www.telefonica.com/en/web/about_telefonica/privacy-centre/privacy,None found,"2018-08-28"
10,Movistar Privacy Policy (Spanish),http://www.movistar.es/estaticos/politica-privacidad.pdf,"May 1, 2018","2018-08-28"
11,Data Protection Policy (Spanish),https://www.telefonica.com/es/politica-de-proteccion-de-datos,None found,"2018-09-17"
12,Data Protection Policy (English),https://www.telefonica.com/en/data-protection-policy,None found,"2018-09-17"
13,Report on Transparency in Communications 2017 (Spanish),https://www.telefonica.com/documents/153952/183394/Informe_Transparencia_Comunicaciones_Telefonica_ES.pdf/1e7386c3-5bcc-3084-4ecb-5057a61723e2,None found,"2018-09-19"
14,Report on Transparency in Communications 2017 (English),https://www.telefonica.com/documents/153952/183394/Informe_Transparencia_Comunicaciones_Telefonica_EN.pdf/30519143-d3ab-50c3-1cb5-319a735fd9d3,None found,"2018-09-19"
15,Integrated Report 2017 (Spanish),https://www.telefonica.com/documents/153952/13347843/Informe-Integrado-2017.pdf/c2e7a9b1-3976-9660-f84b-fd0747ef7f0b,None found,"2018-09-19"
16,Integrated Report 2017 (English),https://www.telefonica.com/documents/153952/13347920/Integrated-Report-2017.pdf/513e9154-9212-d665-0df0-aa8c76e0625c,None found,"2018-09-19"
