Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Telecommunication,Telenor,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,100,yes,"Yes. Telenor publicly commits to respect users' human rights to freedom of expression and privacy. In the company's ""Human Rights: Respect"" (Source 41) policy document, Telenor states that the company is ""committed to respecting human rights as set out in the UN Guiding Principles on Business and Human Rights, the OECD Guidelines for Multinational Enterprises, Children’s Rights and Business Principles, the UN Global Compact 10 Principles, all building on the UN Bill of Human Rights. These principles, along with Telenor’s Code of Conduct, Policies, Supplier Conduct Principles and Vision & Values, provide the Telenor Group with a common approach as to how we treat each other, how we serve our customers, how we run our business and what we believe our role to be in the societies where we operate.""",NA
Telecommunication,Telenor,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. Telenor publicly commits to respect users' human rights to freedom of expression and privacy. In the company's ""Human Rights: Respect"" (Source 41) policy document, Telenor states that the company is ""committed to respecting human rights as set out in the UN Guiding Principles on Business and Human Rights, the OECD Guidelines for Multinational Enterprises, Children’s Rights and Business Principles, the UN Global Compact 10 Principles, all building on the UN Bill of Human Rights. These principles, along with Telenor’s Code of Conduct, Policies, Supplier Conduct Principles and Vision & Values, provide the Telenor Group with a common approach as to how we treat each other, how we serve our customers, how we run our business and what we believe our role to be in the societies where we operate.""",NA
Telecommunication,Telenor,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G1,Element,G1.1,100,yes,"Yes. Telenor publicly commits to respect users' human rights to freedom of expression and privacy. In the company's ""Human Rights: Respect"" (Source 41) policy document, Telenor states that the company is ""committed to respecting human rights as set out in the UN Guiding Principles on Business and Human Rights, the OECD Guidelines for Multinational Enterprises, Children’s Rights and Business Principles, the UN Global Compact 10 Principles, all building on the UN Bill of Human Rights. These principles, along with Telenor’s Code of Conduct, Policies, Supplier Conduct Principles and Vision & Values, provide the Telenor Group with a common approach as to how we treat each other, how we serve our customers, how we run our business and what we believe our role to be in the societies where we operate.""",NA
Telecommunication,Telenor,Operating Company,NA,OperatingCo - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. Telenor publicly commits to respect users' human rights to freedom of expression and privacy. In the company's ""Human Rights: Respect"" (Source 41) policy document, Telenor states that the company is ""committed to respecting human rights as set out in the UN Guiding Principles on Business and Human Rights, the OECD Guidelines for Multinational Enterprises, Children’s Rights and Business Principles, the UN Global Compact 10 Principles, all building on the UN Bill of Human Rights. These principles, along with Telenor’s Code of Conduct, Policies, Supplier Conduct Principles and Vision & Values, provide the Telenor Group with a common approach as to how we treat each other, how we serve our customers, how we run our business and what we believe our role to be in the societies where we operate.""",NA
Telecommunication,Telenor,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,100,NA,NA,41
Telecommunication,Telenor,Group,NA,Group - Privacy,Governance,G1,Level,NA,100,NA,NA,41
Telecommunication,Telenor,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G1,Level,NA,100,NA,NA,41
Telecommunication,Telenor,Operating Company,NA,OperatingCo - Privacy,Governance,G1,Level,NA,100,NA,NA,41
Telecommunication,Telenor,Total,NA,NA,Governance,G1,Indicator,NA,100,NA,NA,NA
Telecommunication,Telenor,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. The Code of Conduct (Source 21) is owned and approved by the board. Telenor has a ""Sustainability and Compliance Committee"" that is composed of members of the board of directors, see the Corporate Governance Report 2017 (Source 27, p.36). The committee has no voting power but prepares decisions for the board to take. The tasks of the committee are defined as follows: ""The Committee also supports the Board in fulfilling its responsibilities to specifically address climate and environment, human rights, labour standards and anti-corruption. The Committee supervises that the company has put in place policies, systems and reporting for the said areas. During 2017 the Committee has had a particular focus on compliance, anti- corruption, privacy, supply chain sustainability and alignment on key risk areas to follow up going forward.""",NA
Telecommunication,Telenor,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. The Code of Conduct (Source 21) is owned and approved by the board. Telenor has a ""Sustainability and Compliance Committee"" that is composed of members of the board of directors (Source 27, p.36). The committee has no voting power but prepares decisions for the board to take. The tasks of the committee are defined as follows: ""The Committee also supports the Board in fulfilling its responsibilities to specifically address climate and environment, human rights, labour standards and anti-corruption. The Committee supervises that the company has put in place policies, systems and reporting for the said areas. During 2017 the Committee has had a particular focus on compliance, anti- corruption, privacy, supply chain sustainability and alignment on key risk areas to follow up going forward.""",NA
Telecommunication,Telenor,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. The Code of Conduct (Source 21) is owned and approved by the board. Telenor has a ""Sustainability and Compliance Committee"" that is composed of members of the board of directors, see the Corporate Governance Report 2017 (Source 27, p.36). The committee has no voting power but prepares decisions for the board to take. The tasks of the committee are defined as follows: ""The Committee also supports the Board in fulfilling its responsibilities to specifically address climate and environment, human rights, labour standards and anti-corruption. The Committee supervises that the company has put in place policies, systems and reporting for the said areas. During 2017 the Committee has had a particular focus on compliance, anti- corruption, privacy, supply chain sustainability and alignment on key risk areas to follow up going forward.""",NA
