Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
1,Generelle avtalevilkår for Telenor Norge AS,https://www.telenor.no/privat/vilkar/avtalevilkar.jsp,"October 15, 2018","2018-08-28"
2,Vilkår for mobile tjenester,https://www.telenor.no/privat/vilkar/vilkar-mobile-tjenester.jsp,March 2018,"2018-08-28"
3,Vilkår for Telenor Kontant,https://www.telenor.no/privat/vilkar/telenor-kontant.jsp,"March 20, 2018","2018-08-28"
4,Vilkår for TV og bredbåndstjenester,https://www.telenor.no/privat/vilkar/vilkar_tv_og_bredband.jsp,October 2018,"2018-08-28"
5,Personvernerklæring,https://www.telenor.no/binaries/Personvernerklæring_tcm94-345253.pdf,"May 24, 2018","2018-08-28"
6,Understanding our privacy position,https://www.telenor.com/sustainability/responsible-business/privacy-and-data-protection/understanding-our-privacy-position/,None found,"2018-08-31"
7,Telenor Norway AS General Terms and Conditions,https://www.telenor.no/privat/vilkar/subscription_terms_and_conditions.jsp,"March 1, 2015","2018-08-29"
8,Terms and conditions for mobile services,https://www.telenor.no/privat/vilkar/terms-mobile-services.jsp,"March 2, 2015","2018-08-29"
9,Terms and conditions for broadband delivered via the copper network (DSL),https://www.telenor.no/privat/vilkar/terms-for-broadband.jsp,"March 3, 2015","2018-08-29"
10,Informasjon om innsigelse,https://www.telenor.no/om/personvern/innsigelse.jsp,None found,"2018-08-29"
11,Informasjon om begrensning,https://www.telenor.no/om/personvern/begrensing.jsp,None found,"2018-08-29"
12,Informasjon om sletting,https://www.telenor.no/om/personvern/sletting.jsp,None found,"2018-08-29"
13,Informasjon om innsyn,https://www.telenor.no/om/personvern/innsyn.jsp,None found,"2018-08-29"
14,Privacy and data protection,https://www.telenor.com/sustainability/responsible-business/privacy-and-data-protection/,None found,"2018-08-31"
15,Frequently asked Questions,https://www.telenor.com/sustainability/responsible-business/privacy-and-data-protection/frequently-asked-questions/,None found,"2018-08-31"
16,Handling access requests from authorities,https://www.telenor.com/sustainability/responsible-business/privacy-and-data-protection/handling-access-requests-from-authorities/,None found,"2018-09-03"
17,Authority request legal overview 2017,https://www.telenor.com/wp-content/uploads/2015/05/Authority-Request-Legal-Overview_March-2017.pdf,None found,"2018-09-03"
18,Sustainability Report 2017,https://www.telenor.com/wp-content/uploads/2018/04/Telenor-Sustainability-Report-2017-Q-6c638468467082531337335a39fe3a95.pdf,None found,"2018-09-03"
19,Spesielle vilkår for mobile tjenester,https://www.telenor.no/privat/vilkar/vilkar-mobile-tjenester.jsp,"October 15, 2018","2018-09-04"
20,Telenor Group Code of Conduct,https://www.telenor.com/wp-content/uploads/2017/03/Telenor-Code-of-Conduct-Group-English-Published-Feb-2017.pdf,February 2017,"2018-09-04"
21,Samfunnsansvar og bærekraft,https://www.telenor.no/binaries/Samfunnsansvar_Telenor_For_Nett_2_tcm94-347541.pdf,2017,"2018-09-04"
22,Telenor Principle Position on the Open Internet and Net Neutrality,https://www.telenor.com/wp-content/uploads/2018/04/201804_Telenor-external-NN-principle-position_FINAL.pdf,April 2018,"2018-09-05"
23,Music Freedom,https://www.telenor.no/privat/mobil/mobiltjenester/musicfreedom/,None found,"2018-09-05"
24,Telenor group annual report 2017,https://www.telenor.com/wp-content/uploads/2018/04/iPDF-Annual-Report-2017-Q-3e7f8e04515b822ddfe375bf65839757.pdf,April 2018,"2018-09-05"
25,Authority requests disclosure report 2016,https://www.telenor.com/wp-content/uploads/2015/05/Authority-Requests-Access-Report_2016.pdf,"March 1, 2017","2018-09-05"
26,About Group Security,https://www.telenor.com/about-us/corporate-governance/security-in-telenor-group/about-security/,None found,"2018-09-07"
27,Corporate Governance Report 2017,https://www.telenor.com/wp-content/uploads/2018/04/Corporate-Governance-Report-2017-Q-7c6f5d5ec70eb86ca63f2a9b01950603.pdf,April 2018,"2018-09-07"
28,Slik utvikler vi kompetanse og evne til beskyttelse,https://www.telenor.no/om/digital-sikkerhet/Slik-utvikler-vi-kompetanse-evne-til-beskyttelse.jsp,None found,"2018-09-12"
29,How we work with Cyber Security,https://www.telenor.com/about-us/corporate-governance/security-in-telenor-group/how-we-work-with-cyber-attacks,None found,"2018-09-07"
30,Slik angriper de,https://www.telenor.no/om/digital-sikkerhet/slik-angriper-de.jsp,None found,"2018-09-07"
31,Human Rights: Mitigate,https://www.telenor.com/sustainability/responsible-business/human-rights/mitigate/,None found,"2018-09-10"
32,Integrity Hotline,https://secure.ethicspoint.eu/domain/media/en/gui/102575/index.html,None found,"2018-09-10"
33,How we work with Privacy,https://www.telenor.com/sustainability/responsible-business/privacy-and-data-protection/how-we-work-with-privacy/,None found,"2018-09-10"
34,Telenor’s alignment with the Industry Dialogue Guiding Principles 2016,https://www.telenor.com/sustainability/responsible-business/human-rights/mitigate/telenors-alignment-with-the-industry-dialogue-guiding-principles-2016,2017,"2018-09-10"
35,Independent review of Telenor’s reporting to the Industry Dialogue 2016,https://www.telenor.com/wp-content/uploads/2017/06/Statement-ID-2017_signed.pdf,"April 7, 2017","2018-09-10"
36,Telenor GRI Sustainability Standards Report 2017,https://www.telenor.com/wp-content/uploads/2018/07/Telenor-GRI-Sustainability-Standards-Report-2017-1.pdf,None found,"2018-09-10"
37,Vilkår och angrerett,https://www.telenor.no/privat/vilkar/,None found,"2018-09-17"
38,Personvern Telenor Group,https://www.telenor.com/no/personvern/,None found,"2018-09-18"
39,Privacy statement Telenor Group,https://www.telenor.com/privacy-statement/,None found,"2018-09-18"
40,Informasjon om insyn,https://www.telenor.no/om/personvern/innsyn.jsp,None found,"2018-09-21"
41,Human Rights: Respect,https://www.telenor.com/sustainability/responsible-business/human-rights/respect,None found,"2018-11-26"
42,"Barnepornofilter (""Child porn filter"")",https://www.telenor.no/privat/kundeservice/bredbandshjelp/sikkerhet/barnepornofilter.jsp,None found,"2019-02-01"
