Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Internet,Tencent,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,0,no,"No. The simplified Chinese Tencent ToS (Source 1, § 13.2) says that users should avoid implicating Tencent services in political and public events, and otherwise, Tencent has rights to suspend or terminate services. No commitment to freedom of expression could be found.",NA
Internet,Tencent,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,50,partial,"Partial. Tencent’s group-level privacy policy (Source 9 & 10) contains some clear principles outlining the companies approach to protecting users' privacy. ""Tencent takes users' information safety and privacy as our lifeline,” followed by several explicit and detailed principles for privacy protection. However, the company does not make a commitment to privacy in the context of human rights principles and standards, therefore partial credit is given.",NA
Internet,Tencent,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,0,NA,NA,1
Internet,Tencent,Group,NA,Group - Privacy,Governance,G1,Level,NA,50,NA,NA,9; 10
Internet,Tencent,Total,NA,NA,Governance,G1,Indicator,NA,25,NA,NA,NA
Internet,Tencent,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Group,NA,Group - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,QQ,QQ - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,QQ,QQ - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Social Networking and Blog,QZone,QZone - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Social Networking and Blog,QZone,QZone - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Cloud,Tencent Cloud,Tencent Cloud - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Cloud,Tencent Cloud,Tencent Cloud - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,WeChat,WeChat - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,WeChat,WeChat - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Group,NA,Group - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,QQ,QQ - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,QQ,QQ - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Social Networking and Blog,QZone,QZone - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Social Networking and Blog,QZone,QZone - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Cloud,Tencent Cloud,Tencent Cloud - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Cloud,Tencent Cloud,Tencent Cloud - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,WeChat,WeChat - Freedom of Expression,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,WeChat,WeChat - Privacy,Governance,G2,Element,G2.2,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Group,NA,Group - Privacy,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,QQ,QQ - Freedom of Expression,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,QQ,QQ - Privacy,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Social Networking and Blog,QZone,QZone - Freedom of Expression,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Social Networking and Blog,QZone,QZone - Privacy,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Cloud,Tencent Cloud,Tencent Cloud - Freedom of Expression,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Cloud,Tencent Cloud,Tencent Cloud - Privacy,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,WeChat,WeChat - Freedom of Expression,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,WeChat,WeChat - Privacy,Governance,G2,Element,G2.3,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Group,NA,Group - Freedom of Expression,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Tencent,Group,NA,Group - Privacy,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Tencent,Messaging and VoIP,QQ,QQ - Freedom of Expression,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Tencent,Messaging and VoIP,QQ,QQ - Privacy,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Tencent,Social Networking and Blog,QZone,QZone - Freedom of Expression,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Tencent,Social Networking and Blog,QZone,QZone - Privacy,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Tencent,Cloud,Tencent Cloud,Tencent Cloud - Freedom of Expression,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Tencent,Cloud,Tencent Cloud,Tencent Cloud - Privacy,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Tencent,Messaging and VoIP,WeChat,WeChat - Freedom of Expression,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Tencent,Messaging and VoIP,WeChat,WeChat - Privacy,Governance,G2,Level,NA,0,NA,NA,NA
Internet,Tencent,Total,NA,NA,Governance,G2,Indicator,NA,0,NA,NA,NA
Internet,Tencent,Group,NA,Group - Freedom of Expression,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Group,NA,Group - Privacy,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,QQ,QQ - Freedom of Expression,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,QQ,QQ - Privacy,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Social Networking and Blog,QZone,QZone - Freedom of Expression,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Social Networking and Blog,QZone,QZone - Privacy,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Cloud,Tencent Cloud,Tencent Cloud - Freedom of Expression,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Cloud,Tencent Cloud,Tencent Cloud - Privacy,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,WeChat,WeChat - Freedom of Expression,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,WeChat,WeChat - Privacy,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Group,NA,Group - Freedom of Expression,Governance,G3,Element,G3.2,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Group,NA,Group - Privacy,Governance,G3,Element,G3.2,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,QQ,QQ - Freedom of Expression,Governance,G3,Element,G3.2,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,QQ,QQ - Privacy,Governance,G3,Element,G3.2,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Social Networking and Blog,QZone,QZone - Freedom of Expression,Governance,G3,Element,G3.2,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Social Networking and Blog,QZone,QZone - Privacy,Governance,G3,Element,G3.2,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Cloud,Tencent Cloud,Tencent Cloud - Freedom of Expression,Governance,G3,Element,G3.2,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Cloud,Tencent Cloud,Tencent Cloud - Privacy,Governance,G3,Element,G3.2,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,WeChat,WeChat - Freedom of Expression,Governance,G3,Element,G3.2,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,WeChat,WeChat - Privacy,Governance,G3,Element,G3.2,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Group,NA,Group - Freedom of Expression,Governance,G3,Level,NA,0,NA,NA,NA
Internet,Tencent,Group,NA,Group - Privacy,Governance,G3,Level,NA,0,NA,NA,NA
Internet,Tencent,Messaging and VoIP,QQ,QQ - Freedom of Expression,Governance,G3,Level,NA,0,NA,NA,NA
Internet,Tencent,Messaging and VoIP,QQ,QQ - Privacy,Governance,G3,Level,NA,0,NA,NA,NA
Internet,Tencent,Social Networking and Blog,QZone,QZone - Freedom of Expression,Governance,G3,Level,NA,0,NA,NA,NA
Internet,Tencent,Social Networking and Blog,QZone,QZone - Privacy,Governance,G3,Level,NA,0,NA,NA,NA
Internet,Tencent,Cloud,Tencent Cloud,Tencent Cloud - Freedom of Expression,Governance,G3,Level,NA,0,NA,NA,NA
Internet,Tencent,Cloud,Tencent Cloud,Tencent Cloud - Privacy,Governance,G3,Level,NA,0,NA,NA,NA
Internet,Tencent,Messaging and VoIP,WeChat,WeChat - Freedom of Expression,Governance,G3,Level,NA,0,NA,NA,NA
Internet,Tencent,Messaging and VoIP,WeChat,WeChat - Privacy,Governance,G3,Level,NA,0,NA,NA,NA
Internet,Tencent,Total,NA,NA,Governance,G3,Indicator,NA,0,NA,NA,NA
Internet,Tencent,Group,NA,Group - Freedom of Expression,Governance,G4,Element,G4.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Group,NA,Group - Privacy,Governance,G4,Element,G4.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,QQ,QQ - Freedom of Expression,Governance,G4,Element,G4.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,QQ,QQ - Privacy,Governance,G4,Element,G4.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Social Networking and Blog,QZone,QZone - Freedom of Expression,Governance,G4,Element,G4.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Social Networking and Blog,QZone,QZone - Privacy,Governance,G4,Element,G4.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Cloud,Tencent Cloud,Tencent Cloud - Freedom of Expression,Governance,G4,Element,G4.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Cloud,Tencent Cloud,Tencent Cloud - Privacy,Governance,G4,Element,G4.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,WeChat,WeChat - Freedom of Expression,Governance,G4,Element,G4.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,WeChat,WeChat - Privacy,Governance,G4,Element,G4.1,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Group,NA,Group - Freedom of Expression,Governance,G4,Element,G4.2,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Group,NA,Group - Privacy,Governance,G4,Element,G4.2,0,no disclosure found,"No disclosure found.The Tencent group-level privacy policy (Source 9&10, § 9.3) states: ""we strictly restrict the scope of personnel who can access information, and require them to comply with their confidentiality obligations and conduct audits."" § 9.3 also states, ""We have established a specialized management, process and organization system to ensure information security."" However, these statements seem to be more about having a system in place to ensure the implementation of existing data security measures, instead of a mechanism to assess privacy risks. Therefore, no credit is given.",NA
Internet,Tencent,Messaging and VoIP,QQ,QQ - Freedom of Expression,Governance,G4,Element,G4.2,0,no disclosure found,No disclosure found.,NA
Internet,Tencent,Messaging and VoIP,QQ,QQ - Privacy,Governance,G4,Element,G4.2,0,no disclosure found,"No disclosure found.The Tencent group-level privacy policy (Source 9&10, § 9.3) states: ""we strictly restrict the scope of personnel who can access information, and require them to comply with their confidentiality obligations and conduct audits."" § 9.3 also states, ""We have established a specialized management, process and organization system to ensure information security."" However, these statements seem to be more about having a system in place to ensure the implementation of existing data security measures, instead of a mechanism to assess privacy risks. Therefore, no credit is given.",NA
