Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
1,Tencent Service Agreement (simplified Chinese)/腾讯服务协议,http://www.qq.com/contract.shtml,None found,"2018-09-04"
2,Tencent Terms of Service (Chinese Traditional)/服務條款,https://www.tencent.com/zh-cn/zc/termsofserviceTraditional.shtml,August 2014,"2018-09-13"
3,Tencent Terms of Service (English),http://www.tencent.com/en-us/zc/termsofservice.shtml,"August 1, 2014","2018-09-13"
4,QZone Term of Service (Chinese)/QQ空间服务协议,http://qzone.qq.com/web/tk.html,None found,"2018-09-13"
5,QQ Software License and Service Agreement (Chinese)/QQ软件许可及服务协议,http://ti.qq.com/agreement/index.html,None found,"2018-09-13"
6,WeChat Software License and Service Agreement (Simplified Chinese)/腾讯微信软件许可及服务协议,https://weixin.qq.com/cgi-bin/readtemplate?lang=zh_CN&t=weixin_agreement&s=default,None found,"2018-09-13"
7,Tencent Cloud Terms of Service (Chinese)/腾讯云服务协议,https://cloud.tencent.com/document/product/301/1967,"December 18, 2017","2018-09-04"
8,Tencent Cloud International Terms of Service,https://intl.cloud.tencent.com/document/product/301/9248,"May 24, 2018","2018-09-04"
9,Tencent Privacy Policy (Chinese) / 腾讯隐私政策,http://privacy.qq.com/,"June 13, 2018","2018-09-13"
10,Tencent Privacy Policy (English),http://privacy.qq.com/yszc-en.htm,"June 13, 2018","2018-09-13"
11,Privacy Policy (Traditional Chinese for non-Chinese users abroad) / 私隐政策,https://www.tencent.com/zh-cn/zc/privacypolicyTraditional.shtml,"May 14, 2018","2018-09-13"
12,Privacy Policy (English for non-Chinese users abroad),http://www.tencent.com/en-us/zc/privacypolicy.shtml,"May 14, 2018","2018-09-13"
13,Tencent Homepage,http://www.qq.com/,None found,"2018-09-05"
14,QQ Service Homepage,https://im.qq.com/index.shtml,None found,"2018-09-05"
15,QQ International Privacy Policy (Chinese) / 腾讯国际版隐私政策,http://www.imqq.com/privacy/privacy.html,"May 23, 2018","2018-09-13"
16,QQ International Privacy Policy (English),http://www.imqq.com/privacy/privacy_En.html,"May 23, 2018","2018-09-13"
17,Weixin (WeChat) Privacy Protection Guideline (Chinese)/微信隐私保护指引,https://weixin.qq.com/cgi-bin/readtemplate?lang=zh_CN&t=weixin_agreement&s=privacy,"August 29, 2018","2018-09-13"
18,Weixin (WeChat) Privacy Protection Guideline (English),https://weixin.qq.com/cgi-bin/readtemplate?lang=en&t=weixin_agreement&s=privacy&cc=CN,"August 29, 2018","2018-09-13"
19,WeChat Homepage,https://weixin.qq.com/,None found,"2018-09-05"
20,Tencent Cloud Privacy Policy (Chinese) / 腾讯云隐私声明,https://cloud.tencent.com/document/product/301/11470,"August 30, 2018","2018-09-13"
21,Tencent Cloud International Privacy and Data Processing Policy,https://intl.cloud.tencent.com/document/product/301/9247,"December 22, 2017","2018-09-13"
22,Tencent Cloud Homepage (Chinese),https://cloud.tencent.com/?lang=zh,None found,"2018-09-05"
23,Tencent Cloud International Homepage,https://intl.cloud.tencent.com/,None found,"2018-09-05"
24,Tencent Investor Website Copyright Statement,https://www.tencent.com/en-us/statement.html,None found,"2018-09-05"
25,QQ Number Rules (Chinese) / QQ号码规则,http://zc.qq.com/chs/agreement1_chs.html,None found,"2018-09-05"
26,Tencent Cloud International Privacy Policy,https://intl.cloud.tencent.com/document/product/301/17345,"May 24, 2018","2018-09-13"
27,Tencent About Our Advertising (Chinese) / 关于广告,https://privacy.qq.com/advertisement.htm,None found,"2018-09-07"
28,Tencent About Our Advertising,https://privacy.qq.com/advertisement-en.htm,None found,"2018-09-07"
29,QZone User Rules (Chinese) / QQ空间使用规则,https://qzone.qq.com/web/rule.html,None found,"2018-09-13"
30,WeChat Private Account Norms / 微信个人帐号使用规范,https://mp.weixin.qq.com/s/_CX-GyypXy-9DF1edBpTvQ,"August 21, 2018","2018-09-13"
31,WeChat Official Account Platform Terms of Service / 微信公众平台服务协议,https://mp.weixin.qq.com/cgi-bin/announce?action=getannouncement&key=1503979103&version=1&lang=zh_CN&platform=2,None found,"2018-09-13"
32,WeChat Moments Norms / 微信朋友圈使用规范,https://weixin110.qq.com/security/readtemplate?t=security_center_website/article&artid=120813euEJVf150513ei2eae,None found,"2018-09-13"
33,WeChat Official Account Operation Rules / 微信公众平台运营规范,https://mp.weixin.qq.com/cgi-bin/readtemplate?t=business/faq_operation_tmpl&type=info&lang=zh_CN&token=,None found,"2018-09-13"
34,WeChat Customer Center / 腾讯客服微信专区,http://kf.qq.com/product/weixin.html,None found,"2018-09-08"
35,QQ Terms of Service for International Users (traditional Chinese) / 服务条款,http://www.imqq.com/mobile/terms/terms.html?language=ch_simple,"May 15, 2018","2018-09-13"
36,QQ Terms of Service for International Users (English),http://www.imqq.com/mobile/terms/terms.html?language=en,"May 15, 2018","2018-09-13"
37,QQ Security Center - Report Guidance /QQ安全中心举报功能指引,http://aq.qq.com/v2/safe_school/teach_28.shtml,None found,"2018-09-08"
