Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Internet,Twitter,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,100,yes,"Yes. The ""Twitter for Good"" page (Source 5) states, ""We're committed to safety, equality, and free expression"" and under ""Freedom of Expression and Civil Liberties"" says, ""We support organizations that defend and advance internet rights and freedom of speech."" Twitter's ""Defending and respecting the rights of people using our service"" policy (Source 6) further provides, ""Defending and respecting the user’s voice is one of our core values at Twitter. This value is a two-part commitment to freedom of expression and privacy. Transparency is also an important part of this commitment. In that spirit, Twitter wants to publicly share how we translate this core value into our decision-making...This is a global commitment, and while grounded in the United States Bill of Rights and the European Convention on Human Rights, it is informed by a number of additional sources including the members of our Trust and Safety Council, relationships with advocates and activists around the globe, and by works such as United Nations Principles on Business and Human Rights.""",NA
Internet,Twitter,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. The ""Twitter for Good"" page (Source 5) states, ""We're committed to safety, equality, and free expression"" and under ""Freedom of Expression and Civil Liberties"" says, ""We support organizations that defend and advance internet rights and freedom of speech."" Twitter's ""Defending and respecting the rights of people using our service"" policy (Source 6) further provides, ""Defending and respecting the user’s voice is one of our core values at Twitter. This value is a two-part commitment to freedom of expression and privacy. Transparency is also an important part of this commitment. In that spirit, Twitter wants to publicly share how we translate this core value into our decision-making...This is a global commitment, and while grounded in the United States Bill of Rights and the European Convention on Human Rights, it is informed by a number of additional sources including the members of our Trust and Safety Council, relationships with advocates and activists around the globe, and by works such as United Nations Principles on Business and Human Rights.""",NA
Internet,Twitter,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,100,NA,NA,5; 6
Internet,Twitter,Group,NA,Group - Privacy,Governance,G1,Level,NA,100,NA,NA,5; 6
Internet,Twitter,Total,NA,NA,Governance,G1,Indicator,NA,100,NA,NA,NA
Internet,Twitter,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,"No disclosure found. On the page ""Defending and respecting the rights of people using our service"" (Source 6), Twitter states: ""defending and respecting the user’s voice is one of our core values at Twitter. This value is a two-part commitment to freedom of expression and privacy...This is core to our product and our company at every level including our executive team and board of directors."" However, there is no evidence that Twitter's board of directors exercises formal oversight over how the company's practices affect freedom of expression and privacy.",NA
Internet,Twitter,Group,NA,Group - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,"No disclosure found. On the page ""Defending and respecting the rights of people using our service"" (Source 6), Twitter states: ""defending and respecting the user’s voice is one of our core values at Twitter. This value is a two-part commitment to freedom of expression and privacy...This is core to our product and our company at every level including our executive team and board of directors."" However, there is no evidence that Twitter's board of directors exercises formal oversight over how the company's practices affect freedom of expression and privacy.",NA
Internet,Twitter,Video and Photo Sharing,Periscope,Periscope - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,"No disclosure found. On the page ""Defending and respecting the rights of people using our service"" (Source 6), Twitter states: ""defending and respecting the user’s voice is one of our core values at Twitter. This value is a two-part commitment to freedom of expression and privacy...This is core to our product and our company at every level including our executive team and board of directors."" However, there is no evidence that Twitter's board of directors exercises formal oversight over how the company's practices affect freedom of expression and privacy.",NA
Internet,Twitter,Video and Photo Sharing,Periscope,Periscope - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,"No disclosure found. On the page ""Defending and respecting the rights of people using our service"" (Source 6), Twitter states: ""defending and respecting the user’s voice is one of our core values at Twitter. This value is a two-part commitment to freedom of expression and privacy...This is core to our product and our company at every level including our executive team and board of directors."" However, there is no evidence that Twitter's board of directors exercises formal oversight over how the company's practices affect freedom of expression and privacy.",NA
Internet,Twitter,Social Networking and Blog,Twitter,Twitter - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,"No disclosure found. On the page ""Defending and respecting the rights of people using our service"" (Source 6), Twitter states: ""defending and respecting the user’s voice is one of our core values at Twitter. This value is a two-part commitment to freedom of expression and privacy...This is core to our product and our company at every level including our executive team and board of directors."" However, there is no evidence that Twitter's board of directors exercises formal oversight over how the company's practices affect freedom of expression and privacy.",NA
Internet,Twitter,Social Networking and Blog,Twitter,Twitter - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,"No disclosure found. On the page ""Defending and respecting the rights of people using our service"" (Source 6), Twitter states: ""defending and respecting the user’s voice is one of our core values at Twitter. This value is a two-part commitment to freedom of expression and privacy...This is core to our product and our company at every level including our executive team and board of directors."" However, there is no evidence that Twitter's board of directors exercises formal oversight over how the company's practices affect freedom of expression and privacy.",NA
Internet,Twitter,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.2,100,yes,"Yes. Vijaya Gadde is Twitter's General Counsel and her bio on Twitter's company website (Source 7) states that she leads ""Twitter’s legal, public policy, and trust and safety lead."" Twitter's ""Defending and respecting the rights of people using our service"" policy (Source 6) states the Trust and Safety team ""helps the company understand the impact certain decisions may have on the people and organizations using our service, for example: entering new markets; releasing new product features; changing our Terms of Service, Privacy Policy and Twitter Rules; facilitating acquisitions and integrations with Twitter; and developing new policies for content on the platform."" The policy also states, ""Trust and Safety, reporting to our General Counsel, is a key partner for stakeholders across the company and works in tandem with product, engineering, user services, sales, public policy, and legal to help Twitter keep the people and organizations using our service front and center when we make decisions.""",NA
Internet,Twitter,Group,NA,Group - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. Vijaya Gadde is Twitter's General Counsel and her bio on Twitter's company website (Source 7) states that she leads ""Twitter’s legal, public policy, and trust and safety lead."" Twitter's ""Defending and respecting the rights of people using our service"" policy (Source 6) states the Trust and Safety team ""helps the company understand the impact certain decisions may have on the people and organizations using our service, for example: entering new markets; releasing new product features; changing our Terms of Service, Privacy Policy and Twitter Rules; facilitating acquisitions and integrations with Twitter; and developing new policies for content on the platform."" The policy also states, ""Trust and Safety, reporting to our General Counsel, is a key partner for stakeholders across the company and works in tandem with product, engineering, user services, sales, public policy, and legal to help Twitter keep the people and organizations using our service front and center when we make decisions.""",NA
Internet,Twitter,Video and Photo Sharing,Periscope,Periscope - Freedom of Expression,Governance,G2,Element,G2.2,100,yes,"Yes. Vijaya Gadde is Twitter's General Counsel and her bio on Twitter's company website (Source 7) states that she leads ""Twitter’s legal, public policy, and trust and safety lead."" Twitter's ""Defending and respecting the rights of people using our service"" policy (Source 6) states the Trust and Safety team ""helps the company understand the impact certain decisions may have on the people and organizations using our service, for example: entering new markets; releasing new product features; changing our Terms of Service, Privacy Policy and Twitter Rules; facilitating acquisitions and integrations with Twitter; and developing new policies for content on the platform."" The policy also states, ""Trust and Safety, reporting to our General Counsel, is a key partner for stakeholders across the company and works in tandem with product, engineering, user services, sales, public policy, and legal to help Twitter keep the people and organizations using our service front and center when we make decisions.""",NA
Internet,Twitter,Video and Photo Sharing,Periscope,Periscope - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. Vijaya Gadde is Twitter's General Counsel and her bio on Twitter's company website (Source 7) states that she leads ""Twitter’s legal, public policy, and trust and safety lead."" Twitter's ""Defending and respecting the rights of people using our service"" policy (Source 6) states the Trust and Safety team ""helps the company understand the impact certain decisions may have on the people and organizations using our service, for example: entering new markets; releasing new product features; changing our Terms of Service, Privacy Policy and Twitter Rules; facilitating acquisitions and integrations with Twitter; and developing new policies for content on the platform."" The policy also states, ""Trust and Safety, reporting to our General Counsel, is a key partner for stakeholders across the company and works in tandem with product, engineering, user services, sales, public policy, and legal to help Twitter keep the people and organizations using our service front and center when we make decisions.""",NA
Internet,Twitter,Social Networking and Blog,Twitter,Twitter - Freedom of Expression,Governance,G2,Element,G2.2,100,yes,"Yes. Vijaya Gadde is Twitter's General Counsel and her bio on Twitter's company website (Source 7) states that she leads ""Twitter’s legal, public policy, and trust and safety lead."" Twitter's ""Defending and respecting the rights of people using our service"" policy (Source 6) states the Trust and Safety team ""helps the company understand the impact certain decisions may have on the people and organizations using our service, for example: entering new markets; releasing new product features; changing our Terms of Service, Privacy Policy and Twitter Rules; facilitating acquisitions and integrations with Twitter; and developing new policies for content on the platform."" The policy also states, ""Trust and Safety, reporting to our General Counsel, is a key partner for stakeholders across the company and works in tandem with product, engineering, user services, sales, public policy, and legal to help Twitter keep the people and organizations using our service front and center when we make decisions.""",NA
Internet,Twitter,Social Networking and Blog,Twitter,Twitter - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. Vijaya Gadde is Twitter's General Counsel and her bio on Twitter's company website (Source 7) states that she leads ""Twitter’s legal, public policy, and trust and safety lead."" Twitter's ""Defending and respecting the rights of people using our service"" policy (Source 6) states the Trust and Safety team ""helps the company understand the impact certain decisions may have on the people and organizations using our service, for example: entering new markets; releasing new product features; changing our Terms of Service, Privacy Policy and Twitter Rules; facilitating acquisitions and integrations with Twitter; and developing new policies for content on the platform."" The policy also states, ""Trust and Safety, reporting to our General Counsel, is a key partner for stakeholders across the company and works in tandem with product, engineering, user services, sales, public policy, and legal to help Twitter keep the people and organizations using our service front and center when we make decisions.""",NA
Internet,Twitter,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.3,100,yes,"Yes. Twitter's ""Defending and respecting the rights of people using our service"" policy (Source 6), which outlines the company's commitments relating to freedom of expression and privacy, states, ""While this is a whole company effort, we also have a Trust and Safety team whose mandate is the protection of the people and organizations using our service and building trust in Twitter. This is their full-time job and it has been since the team was created in 2008. Our Trust and Safety team plays a key role in decision making in the company. The team helps the company understand the impact certain decisions may have on the people and organizations using our service, for example: entering new markets; releasing new product features; changing our Terms of Service, Privacy Policy and Twitter Rules; facilitating acquisitions and integrations with Twitter; and developing new policies for content on the platform. Trust and Safety, reporting to our General Counsel, is a key partner for stakeholders across the company and works in tandem with product, engineering, user services, sales, public policy, and legal to help Twitter keep the people and organizations using our service front and center when we make decisions.""",NA
Internet,Twitter,Group,NA,Group - Privacy,Governance,G2,Element,G2.3,100,yes,"Yes. Twitter's ""Defending and respecting the rights of people using our service"" policy (Source 6), which outlines the company's commitments relating to freedom of expression and privacy, states, ""While this is a whole company effort, we also have a Trust and Safety team whose mandate is the protection of the people and organizations using our service and building trust in Twitter. This is their full-time job and it has been since the team was created in 2008. Our Trust and Safety team plays a key role in decision making in the company. The team helps the company understand the impact certain decisions may have on the people and organizations using our service, for example: entering new markets; releasing new product features; changing our Terms of Service, Privacy Policy and Twitter Rules; facilitating acquisitions and integrations with Twitter; and developing new policies for content on the platform. Trust and Safety, reporting to our General Counsel, is a key partner for stakeholders across the company and works in tandem with product, engineering, user services, sales, public policy, and legal to help Twitter keep the people and organizations using our service front and center when we make decisions.""",NA
Internet,Twitter,Video and Photo Sharing,Periscope,Periscope - Freedom of Expression,Governance,G2,Element,G2.3,100,yes,"Yes. Twitter's ""Defending and respecting the rights of people using our service"" policy (Source 6), which outlines the company's commitments relating to freedom of expression and privacy, states, ""While this is a whole company effort, we also have a Trust and Safety team whose mandate is the protection of the people and organizations using our service and building trust in Twitter. This is their full-time job and it has been since the team was created in 2008. Our Trust and Safety team plays a key role in decision making in the company. The team helps the company understand the impact certain decisions may have on the people and organizations using our service, for example: entering new markets; releasing new product features; changing our Terms of Service, Privacy Policy and Twitter Rules; facilitating acquisitions and integrations with Twitter; and developing new policies for content on the platform. Trust and Safety, reporting to our General Counsel, is a key partner for stakeholders across the company and works in tandem with product, engineering, user services, sales, public policy, and legal to help Twitter keep the people and organizations using our service front and center when we make decisions.""",NA
Internet,Twitter,Video and Photo Sharing,Periscope,Periscope - Privacy,Governance,G2,Element,G2.3,100,yes,"Yes. Twitter's ""Defending and respecting the rights of people using our service"" policy (Source 6), which outlines the company's commitments relating to freedom of expression and privacy, states, ""While this is a whole company effort, we also have a Trust and Safety team whose mandate is the protection of the people and organizations using our service and building trust in Twitter. This is their full-time job and it has been since the team was created in 2008. Our Trust and Safety team plays a key role in decision making in the company. The team helps the company understand the impact certain decisions may have on the people and organizations using our service, for example: entering new markets; releasing new product features; changing our Terms of Service, Privacy Policy and Twitter Rules; facilitating acquisitions and integrations with Twitter; and developing new policies for content on the platform. Trust and Safety, reporting to our General Counsel, is a key partner for stakeholders across the company and works in tandem with product, engineering, user services, sales, public policy, and legal to help Twitter keep the people and organizations using our service front and center when we make decisions.""",NA
Internet,Twitter,Social Networking and Blog,Twitter,Twitter - Freedom of Expression,Governance,G2,Element,G2.3,100,yes,"Yes. Twitter's ""Defending and respecting the rights of people using our service"" policy (Source 6), which outlines the company's commitments relating to freedom of expression and privacy, states, ""While this is a whole company effort, we also have a Trust and Safety team whose mandate is the protection of the people and organizations using our service and building trust in Twitter. This is their full-time job and it has been since the team was created in 2008. Our Trust and Safety team plays a key role in decision making in the company. The team helps the company understand the impact certain decisions may have on the people and organizations using our service, for example: entering new markets; releasing new product features; changing our Terms of Service, Privacy Policy and Twitter Rules; facilitating acquisitions and integrations with Twitter; and developing new policies for content on the platform. Trust and Safety, reporting to our General Counsel, is a key partner for stakeholders across the company and works in tandem with product, engineering, user services, sales, public policy, and legal to help Twitter keep the people and organizations using our service front and center when we make decisions.""",NA
Internet,Twitter,Social Networking and Blog,Twitter,Twitter - Privacy,Governance,G2,Element,G2.3,100,yes,"Yes. Twitter's ""Defending and respecting the rights of people using our service"" policy (Source 6), which outlines the company's commitments relating to freedom of expression and privacy, states, ""While this is a whole company effort, we also have a Trust and Safety team whose mandate is the protection of the people and organizations using our service and building trust in Twitter. This is their full-time job and it has been since the team was created in 2008. Our Trust and Safety team plays a key role in decision making in the company. The team helps the company understand the impact certain decisions may have on the people and organizations using our service, for example: entering new markets; releasing new product features; changing our Terms of Service, Privacy Policy and Twitter Rules; facilitating acquisitions and integrations with Twitter; and developing new policies for content on the platform. Trust and Safety, reporting to our General Counsel, is a key partner for stakeholders across the company and works in tandem with product, engineering, user services, sales, public policy, and legal to help Twitter keep the people and organizations using our service front and center when we make decisions.""",NA
Internet,Twitter,Group,NA,Group - Freedom of Expression,Governance,G2,Level,NA,66.666666666666671,NA,NA,6; 7
Internet,Twitter,Group,NA,Group - Privacy,Governance,G2,Level,NA,66.666666666666671,NA,NA,6; 7
Internet,Twitter,Video and Photo Sharing,Periscope,Periscope - Freedom of Expression,Governance,G2,Level,NA,66.666666666666671,NA,NA,6; 7
Internet,Twitter,Video and Photo Sharing,Periscope,Periscope - Privacy,Governance,G2,Level,NA,66.666666666666671,NA,NA,6; 7
Internet,Twitter,Social Networking and Blog,Twitter,Twitter - Freedom of Expression,Governance,G2,Level,NA,66.666666666666671,NA,NA,6; 7
Internet,Twitter,Social Networking and Blog,Twitter,Twitter - Privacy,Governance,G2,Level,NA,66.666666666666671,NA,NA,6; 7
Internet,Twitter,Total,NA,NA,Governance,G2,Indicator,NA,66.666666666666671,NA,NA,NA
Internet,Twitter,Group,NA,Group - Freedom of Expression,Governance,G3,Element,G3.1,50,partial,"Partial. Twitter's blog post (Source 8) on its hateful content policy, which was introduced in late 2016, states, ""And finally, on enforcement, we've trained all of our support teams on our policies, including special sessions on cultural and historical contextualization of hateful conduct, and implemented an ongoing refresher program."" However, because this is just one type of one type of freedom of expression concern, but does not cover other types of FoE concerns, partial credit is given. Twitter's ""Defending and respecting the rights of people using our service"" policy (Source 6) states ""Defending and respecting the user’s voice is one of our core values at Twitter. This value is a two-part commitment to freedom of expression and privacy...Twitter employees across the company consider our core values everyday in all aspects of their work, from product design to how we handle legal requests for account information and beyond. This starts on day one at Twitter with new hire orientation and is reinforced continually in our internal and external communications, as well as our actions. This is core to our product and our company at every level including our executive team and board of directors."" However, it does not specify if this includes employee training on freedom of expression issues.",NA
Internet,Twitter,Group,NA,Group - Privacy,Governance,G3,Element,G3.1,50,partial,"Partial. In the ""Privacy and Data Security"" section of Twitter's Code of Conduct (Source 9), the company states: ""Our users value Twitter not only for our great product, but also because we hold ourselves to a high standard in how we treat our users. Always remember that we are asking our users to trust us with their personal information. Preserving that trust requires that each of us respect and protect the privacy and security of that information as well as other confidential information that Twitter may have. Our security procedures strictly limit access to and use of users’ personal information, and require that each of us take measures to protect user data from unauthorized access. Know your responsibility under these procedures and collect, use and access user information only as authorized by our security policies, as permitted by local law, our Privacy Policy and applicable data protection laws."" This suggests that the company provides employees with information about the company's privacy commitments and standards and expects them to educate themselves about these standards and applicable laws, but it does not explicitly state that training is provided. Therefore partial credit is given.",NA
Internet,Twitter,Video and Photo Sharing,Periscope,Periscope - Freedom of Expression,Governance,G3,Element,G3.1,50,partial,"Partial. Twitter's blog post (Source 8) on its hateful content policy, which was introduced in late 2016, states, ""And finally, on enforcement, we've retrained all of our support teams on our policies, including special sessions on cultural and historical contextualization of hateful conduct, and implemented an ongoing refresher program."" However, because this is just one type of one type of freedom of expression concern, but does not cover other types of FoE concerns, partial credit is given. Twitter's ""Defending and respecting the rights of people using our service"" policy (Source 6) states ""Defending and respecting the user’s voice is one of our core values at Twitter. This value is a two-part commitment to freedom of expression and privacy...Twitter employees across the company consider our core values everyday in all aspects of their work, from product design to how we handle legal requests for account information and beyond. This starts on day one at Twitter with new hire orientation and is reinforced continually in our internal and external communications, as well as our actions. This is core to our product and our company at every level including our executive team and board of directors."" However, it does not specify if this includes employee training on freedom of expression issues.",NA
Internet,Twitter,Video and Photo Sharing,Periscope,Periscope - Privacy,Governance,G3,Element,G3.1,50,partial,"Partial. In the ""Privacy and Data Security"" section of Twitter's Code of Conduct (Source 9), the company states: ""Our users value Twitter not only for our great product, but also because we hold ourselves to a high standard in how we treat our users. Always remember that we are asking our users to trust us with their personal information. Preserving that trust requires that each of us respect and protect the privacy and security of that information as well as other confidential information that Twitter may have. Our security procedures strictly limit access to and use of users’ personal information, and require that each of us take measures to protect user data from unauthorized access. Know your responsibility under these procedures and collect, use and access user information only as authorized by our security policies, as permitted by local law, our Privacy Policy and applicable data protection laws."" This suggests that the company provides employees with information about the company's privacy commitments and standards and expects them to educate themselves about these standards and applicable laws, but it does not explicitly state that training is provided. Therefore partial credit is given.",NA
Internet,Twitter,Social Networking and Blog,Twitter,Twitter - Freedom of Expression,Governance,G3,Element,G3.1,50,partial,"Partial. Twitter's blog post (Source 8) on its hateful content policy, which was introduced in late 2016, states, ""And finally, on enforcement, we've trained all of our support teams on our policies, including special sessions on cultural and historical contextualization of hateful conduct, and implemented an ongoing refresher program."" However, because this is just one type of one type of freedom of expression concern, but does not cover other types of FoE concerns, partial credit is given. Twitter's ""Defending and respecting the rights of people using our service"" policy (Source 6) states ""Defending and respecting the user’s voice is one of our core values at Twitter. This value is a two-part commitment to freedom of expression and privacy...Twitter employees across the company consider our core values everyday in all aspects of their work, from product design to how we handle legal requests for account information and beyond. This starts on day one at Twitter with new hire orientation and is reinforced continually in our internal and external communications, as well as our actions. This is core to our product and our company at every level including our executive team and board of directors."" However, it does not specify if this includes employee training on freedom of expression issues.",NA
Internet,Twitter,Social Networking and Blog,Twitter,Twitter - Privacy,Governance,G3,Element,G3.1,50,partial,"Partial. In the ""Privacy and Data Security"" section of Twitter's Code of Conduct (Source 9), the company states: ""Our users value Twitter not only for our great product, but also because we hold ourselves to a high standard in how we treat our users. Always remember that we are asking our users to trust us with their personal information. Preserving that trust requires that each of us respect and protect the privacy and security of that information as well as other confidential information that Twitter may have. Our security procedures strictly limit access to and use of users’ personal information, and require that each of us take measures to protect user data from unauthorized access. Know your responsibility under these procedures and collect, use and access user information only as authorized by our security policies, as permitted by local law, our Privacy Policy and applicable data protection laws."" This suggests that the company provides employees with information about the company's privacy commitments and standards and expects them to educate themselves about these standards and applicable laws, but it does not explicitly state that training is provided. Therefore partial credit is given.",NA
Internet,Twitter,Group,NA,Group - Freedom of Expression,Governance,G3,Element,G3.2,0,no disclosure found,"No disclosure found. The section ""Reporting a Violation of the Code of Conduct or Law"" of Twitter's Code of Business Conduct and Ethics (Source 9) discloses an ethics helpline. However, since freedom of expression-related issues are not addressed in the Code, it is not clear whether employees can report those types of concerns. No credit is awarded.",NA
Internet,Twitter,Group,NA,Group - Privacy,Governance,G3,Element,G3.2,100,yes,"Yes. The ""Reporting a Violation of the Code of Conduct or Law"" section of Twitter's Code of Business Conduct and Ethics (Source 9) discloses an ethics helpline. Section 7.1 Privacy and Data Security of this Code specifically addresses privacy-related issues: ""Our users value Twitter not only for our great product, but also because we hold ourselves to a high standard in how we treat our users.  Always remember that we are asking our users to trust us with their personal information. Preserving that trust requires that each of us respect and protect the privacy and security of that information as well as other confidential information that Twitter may have. Our security procedures strictly limit access to and use of users’ personal information, and require that each of us take measures to protect user data from unauthorized access.  Know your responsibility under these procedures and collect, use and access user information only as authorized by our security policies, as permitted by local law, our Privacy Policy and applicable data protection laws."" This suggests that employees can report privacy-related issues.",NA
Internet,Twitter,Video and Photo Sharing,Periscope,Periscope - Freedom of Expression,Governance,G3,Element,G3.2,0,no disclosure found,"No disclosure found. The section ""Reporting a Violation of the Code of Conduct or Law"" of Twitter's Code of Business Conduct and Ethics (Source 9) discloses an ethics helpline. However, since freedom of expression-related issues are not addressed in the Code, it is not clear whether employees can report those types of concerns. No credit is awarded.",NA
Internet,Twitter,Video and Photo Sharing,Periscope,Periscope - Privacy,Governance,G3,Element,G3.2,100,yes,"Yes. The ""Reporting a Violation of the Code of Conduct or Law"" section of Twitter's Code of Business Conduct and Ethics (Source 9) discloses an ethics helpline. Section 7.1 Privacy and Data Security of this Code specifically addresses privacy-related issues: ""Our users value Twitter not only for our great product, but also because we hold ourselves to a high standard in how we treat our users.  Always remember that we are asking our users to trust us with their personal information. Preserving that trust requires that each of us respect and protect the privacy and security of that information as well as other confidential information that Twitter may have. Our security procedures strictly limit access to and use of users’ personal information, and require that each of us take measures to protect user data from unauthorized access.  Know your responsibility under these procedures and collect, use and access user information only as authorized by our security policies, as permitted by local law, our Privacy Policy and applicable data protection laws."" This suggests that employees can report privacy-related issues.",NA
Internet,Twitter,Social Networking and Blog,Twitter,Twitter - Freedom of Expression,Governance,G3,Element,G3.2,0,no disclosure found,"No disclosure found. The section ""Reporting a Violation of the Code of Conduct or Law"" of Twitter's Code of Business Conduct and Ethics (Source 9) discloses an ethics helpline. However, since freedom of expression-related issues are not addressed in the Code, it is not clear whether employees can report those types of concerns. No credit is awarded.",NA
Internet,Twitter,Social Networking and Blog,Twitter,Twitter - Privacy,Governance,G3,Element,G3.2,100,yes,"Yes. The ""Reporting a Violation of the Code of Conduct or Law"" section of Twitter's Code of Business Conduct and Ethics (Source 9) discloses an ethics helpline. Section 7.1 Privacy and Data Security of this Code specifically addresses privacy-related issues: ""Our users value Twitter not only for our great product, but also because we hold ourselves to a high standard in how we treat our users.  Always remember that we are asking our users to trust us with their personal information. Preserving that trust requires that each of us respect and protect the privacy and security of that information as well as other confidential information that Twitter may have. Our security procedures strictly limit access to and use of users’ personal information, and require that each of us take measures to protect user data from unauthorized access.  Know your responsibility under these procedures and collect, use and access user information only as authorized by our security policies, as permitted by local law, our Privacy Policy and applicable data protection laws."" This suggests that employees can report privacy-related issues.",NA
Internet,Twitter,Group,NA,Group - Freedom of Expression,Governance,G3,Level,NA,25,NA,NA,6; 8; 9
Internet,Twitter,Group,NA,Group - Privacy,Governance,G3,Level,NA,75,NA,NA,9
Internet,Twitter,Video and Photo Sharing,Periscope,Periscope - Freedom of Expression,Governance,G3,Level,NA,25,NA,NA,6; 8; 9
Internet,Twitter,Video and Photo Sharing,Periscope,Periscope - Privacy,Governance,G3,Level,NA,75,NA,NA,9
Internet,Twitter,Social Networking and Blog,Twitter,Twitter - Freedom of Expression,Governance,G3,Level,NA,25,NA,NA,6; 8; 9
Internet,Twitter,Social Networking and Blog,Twitter,Twitter - Privacy,Governance,G3,Level,NA,75,NA,NA,9
Internet,Twitter,Total,NA,NA,Governance,G3,Indicator,NA,50,NA,NA,NA
Internet,Twitter,Group,NA,Group - Freedom of Expression,Governance,G4,Element,G4.1,0,no disclosure found,No disclosure found.,NA
Internet,Twitter,Group,NA,Group - Privacy,Governance,G4,Element,G4.1,0,no disclosure found,No disclosure found.,NA
Internet,Twitter,Video and Photo Sharing,Periscope,Periscope - Freedom of Expression,Governance,G4,Element,G4.1,0,no disclosure found,No disclosure found.,NA
Internet,Twitter,Video and Photo Sharing,Periscope,Periscope - Privacy,Governance,G4,Element,G4.1,0,no disclosure found,No disclosure found.,NA
Internet,Twitter,Social Networking and Blog,Twitter,Twitter - Freedom of Expression,Governance,G4,Element,G4.1,0,no disclosure found,No disclosure found.,NA
Internet,Twitter,Social Networking and Blog,Twitter,Twitter - Privacy,Governance,G4,Element,G4.1,0,no disclosure found,No disclosure found.,NA
Internet,Twitter,Group,NA,Group - Freedom of Expression,Governance,G4,Element,G4.2,0,no disclosure found,No disclosure found.,NA
Internet,Twitter,Group,NA,Group - Privacy,Governance,G4,Element,G4.2,0,no disclosure found,No disclosure found.,NA
Internet,Twitter,Video and Photo Sharing,Periscope,Periscope - Freedom of Expression,Governance,G4,Element,G4.2,0,no disclosure found,No disclosure found.,NA
Internet,Twitter,Video and Photo Sharing,Periscope,Periscope - Privacy,Governance,G4,Element,G4.2,0,no disclosure found,No disclosure found.,NA
Internet,Twitter,Social Networking and Blog,Twitter,Twitter - Freedom of Expression,Governance,G4,Element,G4.2,0,no disclosure found,No disclosure found.,NA
Internet,Twitter,Social Networking and Blog,Twitter,Twitter - Privacy,Governance,G4,Element,G4.2,0,no disclosure found,No disclosure found.,NA
Internet,Twitter,Group,NA,Group - Freedom of Expression,Governance,G4,Element,G4.3,50,partial,"Partial. Twitter's ""Defending and respecting the rights of people using our service"" page (Source 6), which outlines the company's commitments relating to freedom of expression and privacy, states that its Trust and Safety team ""helps the company understand the impact certain decisions may have on the people and organizations using our service, for example: entering new markets; releasing new product features; changing our Terms of Service, Privacy Policy and Twitter Rules; facilitating acquisitions and integrations with Twitter; and developing new policies for content on the platform."" However, this does not explain whether the team conducts systematic assessments of these impacts. For this reason, Twitter receives partial credit.",NA
