Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
1,Twitter Terms of Service,https://twitter.com/en/tos,"May 25, 2018","2018-09-06"
2,The Twitter Rules,https://help.twitter.com/en/rules-and-policies/twitter-rules,October 2018,"2018-10-25"
3,Twitter Terms of Service - Spanish,https://twitter.com/es/tos,"May 25, 2018","2018-09-07"
4,Periscope Community Guidelines,https://www.pscp.tv/content,no date,"2018-09-07"
5,Twitter for Good,https://about.twitter.com/en_us/values/twitter-for-good.html,no date,"2018-09-27"
6,Defending and respecting the rights of people using our service,https://help.twitter.com/en/rules-and-policies/defending-and-respecting-our-users-voice,no date,"2018-09-27"
7,Our Company - Vijaya Gadde bio,https://about.twitter.com/en_us/company.html,no date,"2018-09-27"
8,Twitter Blog - Progress on addressing online abuse,https://blog.twitter.com/official/en_us/a/2016/progress-on-addressing-online-abuse.html,"November 15, 2016","2018-09-27"
9,Code of Business Conduct and Ethics,https://legal.twitter.com/code-of-business-conduct.html,May 2018,"2018-09-27"
10,Civic Engagement,https://about.twitter.com/en_us/values/civic-engagement.html,no date,"2018-09-27"
11,Twitter blog - Participating at Oslo Freedom Forum: ‘Davos for Dissidents’,https://blog.twitter.com/official/en_us/a/2016/participating-at-oslo-freedom-forum-davos-for-dissidents.html,"May 31, 2016","2018-09-27"
12,Twitter Trust and Safety Council,https://about.twitter.com/en_us/safety/safety-partners.html,no date,"2018-09-27"
13,Previous Terms of Service,https://twitter.com/en/tos/previous,no date,"2018-09-27"
14,How to report violations,https://support.twitter.com/articles/15789,no date,"2018-09-28"
15,Enforcing Our Rules - Our Rules,https://about.twitter.com/en_us/safety/enforcing-our-rules.html,no date,"2018-09-28"
16,Copyright policy,https://help.twitter.com/en/rules-and-policies/copyright-policy,no date,"2018-09-28"
17,Twitter’s use of cookies and similar technologies,https://support.twitter.com/articles/20170514#privacy-options,no date,"2018-09-28"
18,Our approach to policy development and enforcement philosophy,https://help.twitter.com/en/rules-and-policies/enforcement-philosophy,no date,"2018-09-28"
19,Enforcing Our Rules - Enforcement,https://about.twitter.com/en_us/safety/enforcing-our-rules.html,no date,"2018-09-28"
20,Periscope: Harassment or abusive behavior,https://help.pscp.tv/customer/en/portal/articles/2313190-what-can-i-do-if-someone-is-engaging-in-harassing-or-abusive-behavior-,"November 27, 2017","2018-09-28"
21,Periscope Help: How does comment moderation work?,https://help.pscp.tv/customer/en/portal/articles/2442663-how-does-comment-moderation-work-,"May 9, 2018","2018-09-28"
22,Privacy Policy,https://twitter.com/en/privacy,"May 25, 2018","2018-09-28"
23,Privacy Policy - Spanish,https://twitter.com/es/privacy,"May 25, 2018","2018-09-28"
24,Previous Privacy Policies,https://twitter.com/en/privacy/previous,no date,"2018-09-28"
25,Twitter blog - An update on our efforts to combat violent extremism,https://blog.twitter.com/official/en_us/a/2016/an-update-on-our-efforts-to-combat-violent-extremism.html,"August 18, 2016","2018-09-28"
26,Twitter blog - How Twitter is fighting spam and malicious automation,https://blog.twitter.com/official/en_us/topics/company/2018/how-twitter-is-fighting-spam-and-malicious-automation.html,"June 26, 2018","2018-09-28"
27,Transparency Report - Government ToS reports,https://transparency.twitter.com/en/gov-tos-reports.html,no date,"2018-09-28"
28,Guidelines for Law Enforcement,https://help.twitter.com/en/rules-and-policies/twitter-law-enforcement-support#,no date,"2018-10-01"
29,"Twitter, our services, and corporate affiliates",https://help.twitter.com/en/rules-and-policies/twitter-services-and-corporate-affiliates,no date,"2018-10-01"
30,Personalization based on where you see Twitter content across the web,https://help.twitter.com/en/using-twitter/tailored-suggestions,no date,"2018-10-01"
31,Help Center - How to deactivate your account,https://help.twitter.com/en/managing-your-account/how-to-deactivate-twitter-account,no date,"2018-10-01"
32,Periscope Help Center - How do I deactivate my account?,https://help.pscp.tv/customer/portal/articles/2460220,"May 24, 2018","2018-10-01"
33,About country withheld content,https://help.twitter.com/en/rules-and-policies/tweet-withheld-by-country,no date,"2018-10-01"
34,Twitter Legal Requests FAQs,https://help.twitter.com/en/rules-and-policies/twitter-legal-faqs,no date,"2019-02-01"
35,Law Enforcement Request form,https://support.twitter.com/forms/lawenforcement,no date,"2018-10-01"
36,Trademark policy,https://help.twitter.com/en/rules-and-policies/twitter-trademark-policy,no date,"2018-10-01"
37,Transparency Report - Removal requests,https://transparency.twitter.com/en/removal-requests.html,no date,"2018-10-01"
38,Transparency Report - Copyright Notices,https://transparency.twitter.com/en/copyright-notices.html,no date,"2018-10-01"
39,Transparency Report - Trademark Notices,https://transparency.twitter.com/en/trademark-notices.html,no date,"2018-10-01"
40,Periscope Help - How do I contact the Periscope Team?,https://help.pscp.tv/customer/en/portal/articles/2016546-how-do-i-contact-the-periscope-team-?b_id=16119,"April 24, 2018","2018-10-01"
41,Tweet location FAQs,https://help.twitter.com/en/safety-and-security/tweet-location-settings#,no date,"2018-10-02"
42,Twitter Help - How to download your Twitter archive,https://help.twitter.com/en/managing-your-account/how-to-download-your-twitter-archive,no date,"2018-10-02"
43,Twitter Help - How to access your Twitter data,https://help.twitter.com/en/managing-your-account/accessing-your-twitter-data,no date,"2018-10-02"
44,Periscope Help - How do I download my Periscope data and broadcasts?,https://help.pscp.tv/customer/portal/articles/2932270,"May 24, 2018","2018-10-02"
45,Transparency Report - Information Requests,https://transparency.twitter.com/en/information-requests.html,no date,"2018-10-02"
46,"Transparency Report - Information Requests, U.S.",https://transparency.twitter.com/en/countries/us.html,no date,"2018-10-02"
47,Annual Report 2017,http://www.viewproxy.com/Twitter/2018/AnnualReport2017.pdf,no date,"2018-10-02"
48,HackerOne - Twitter,https://hackerone.com/twitter,"August 28, 2017","2018-10-02"
49,Periscope Help - What is the Periscope Beta program?,https://help.pscp.tv/customer/en/portal/articles/2186812-what-is-the-periscope-beta-program-,"May 24, 2018","2018-10-02"
50,Twitter Blog - Keeping your account safe,https://blog.twitter.com/official/en_us/a/2016/keeping-your-account-safe.html,"June 10, 2016","2018-10-02"
51,Twitter Blog - Forward Secrecy at Twitter,https://blog.twitter.com/engineering/en_us/a/2013/forward-secrecy-at-twitter.html,"November 22, 2013","2018-10-02"
52,Twitter Help - How to use login verification,https://help.twitter.com/en/managing-your-account/two-factor-authentication,no date,"2018-10-02"
53,Twitter Help - Help with locked or limited account,https://help.twitter.com/en/managing-your-account/locked-and-limited-accounts,no date,"2018-10-02"
54,Periscope Help - How do I sign up for a Periscope Account?,https://help.pscp.tv/customer/portal/articles/2016596-how-do-i-sign-up-for-a-periscope-account-,"June 2, 2017","2018-10-02"
55,Safety Tools,https://about.twitter.com/en_us/safety/safety-tools.html,no date,"2018-10-02"
56,Periscope Help - I lost my phone. How do I log out of my Periscope account?,https://help.pscp.tv/customer/en/portal/articles/2395082-i-lost-my-phone-how-do-i-log-out-of-my-periscope-account-,"April 5, 2018","2018-10-02"
57,Twitter Help - About suspended accounts,https://help.twitter.com/en/managing-your-account/suspended-twitter-accounts,no date,"2018-10-03"
58,Twitter Help - Appeal an account suspension or locked account,https://help.twitter.com/forms/general?subtopic=suspended,no date,"2018-10-03"
59,Twitter Help - I'm reporting exposed private information,https://help.twitter.com/forms/private_information,no date,"2018-10-03"
60,Twitter Law Enforcement Request,https://help.twitter.com/forms/lawenforcement,no date,"2018-11-09"
61,Twitter Transparency Report - Content Removal Requests H1 2018,https://transparency.twitter.com/en/removal-requests.html,no date,"2019-02-01"
62,Transparency Report - Copyright Notices H1 2018,https://transparency.twitter.com/en/copyright-notices.html,no date,"2019-02-01"
63,Transparency Report - Trademark Notices,https://transparency.twitter.com/en/trademark-notices.html,no date,"2019-02-01"
64,More clarity on reported Tweets and enforcement,https://blog.twitter.com/en_us/topics/product/2018/more-clarity-on-reported-tweets-and-enforcement.html,"October 17, 2018","2019-02-01"
65,Tos Enforcement Transparency Report,https://transparency.twitter.com/en/twitter-rules-enforcement.html,December 2018,"2019-02-01"
66,Transparency Report - Information Requests - H1 2018,https://transparency.twitter.com/en/information-requests.html,December 2018,"2019-02-01"
67,"Transparency Report - Information Requests, U.S. - H1 2018",https://transparency.twitter.com/en/countries/us.html,December 2018,"2019-02-01"
68,Twitter Privacy Request Form,https://help.twitter.com/forms/privacy,no date,"2019-02-28"
