Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
1,Oath Privacy Center,https://policies.oath.com/us/en/oath/privacy/index.html,April 2018,"2018-08-30"
2,Oath Privacy Center / Definitions,https://policies.oath.com/us/en/oath/privacy/definitions/index.html,None found,"2018-08-30"
3,Oath Privacy Center / Privacy Controls,https://policies.oath.com/us/en/oath/privacy/controls/index.html,None found,"2018-08-30"
4,Oath Privacy Center / IP Address,https://policies.oath.com/us/en/oath/privacy/topics/ipaddress/index.html,None found,"2018-08-30"
5,Oath Privacy Center / Cookies and Similar Technologies,https://policies.oath.com/us/en/oath/privacy/topics/cookies/index.html,None found,"2018-08-30"
6,Oath Privacy Center / Location,https://policies.oath.com/us/en/oath/privacy/topics/location/index.html,None found,"2018-08-30"
7,Oath Privacy Center / Ad Serving,https://policies.oath.com/us/en/oath/privacy/topics/adserving/index.html,None found,"2018-08-30"
8,Oath Privacy Center / Beacons and SDKs,https://policies.oath.com/us/en/oath/privacy/topics/webbeacons/index.html,None found,"2018-08-30"
9,Oath Privacy Center / Appended and Matched Data,https://policies.oath.com/us/en/oath/privacy/topics/appenddata/index.html,None found,"2018-08-30"
10,Oath Privacy Center / Products and Services,https://policies.oath.com/us/en/oath/privacy/products/index.html,None found,"2018-08-30"
11,Oath Privacy International,https://policies.oath.com/xw/en/oath/privacy/intl/index.html,None found,"2018-08-30"
12,"Oath Privacy Policy Highlights (old, AOL version)",https://privacy.aol.com/legacy/,"June 13, 2017.","2018-08-31"
13,Oath Yahoo's old Privacy Center,https://policies.yahoo.com/us/en/yahoo/privacy/index.htm?redirect=no,"June 13, 2017","2018-08-31"
14,Oath Privacy Center / Topics,https://policies.oath.com/us/en/oath/privacy/topics/index.html,None found,"2018-08-31"
15,Tumblr Privacy Policy,https://www.tumblr.com/privacy/en,"April 17, 2018.","2018-08-31"
16,Tumblr Privacy International,https://www.tumblr.com/privacy,"May 15, 2018.","2018-09-01"
17,Tumblr Terms of Service,https://www.tumblr.com/policy/en/terms-of-service,"May 15, 2018.","2018-09-01"
18,Oath Terms of Service,https://policies.oath.com/us/en/oath/terms/otos/index.html,"May 25, 2018","2018-09-03"
19,Oath Community Guidelines,https://policies.oath.com/us/en/oath/guidelines/index.html,None found,"2018-09-03"
20,Tumblr Community Guidelines,https://www.tumblr.com/policy/en/community,"December 17, 2019","2018-09-03"
21,Oath Third Parties,https://policies.oath.com/us/en/oath/privacy/topics/thirdparties/index.html,None found,"2018-09-04"
22,Oath Data Storage and Anonymization,https://policies.oath.com/ie/en/oath/privacy/topics/datastorage/index.html,None found,"2018-09-06"
23,Tumblr ads and you,https://tumblr.zendesk.com/hc/en-us/articles/231707827-Tumblr-ads-and-you,None found,"2018-09-06"
24,Yahoo Mail - View and manage data associated with your account,https://help.yahoo.com/kb/find-download-data-sln28671.html,None found,"2018-09-06"
25,Tumblr Back Up app,https://staff.tumblr.com/post/286303145/tumblr-backup-mac-beta,None found,"2018-09-06"
26,Back up email options in Yahoo,https://help.yahoo.com/kb/SLN5033.html,None found,"2018-09-06"
27,Close your Yahoo Account,https://help.yahoo.com/kb/SLN15129.html,None found,"2018-09-06"
28,Oath Analytics,https://policies.oath.com/us/en/oath/privacy/topics/analytics/index.html,None found,"2018-09-07"
29,AOL Privacy Policy FAQ,https://privacy.aol.com/legacy/faq/index.html,None found,"2018-09-07"
30,Oath Transparency Report,https://transparency.oath.com/index.html,None found,"2018-09-07"
31,Yahoo Mail Content Moderation,https://safety.yahoo.com/Resources/CONTENT-MODERATION-YAHOO.html,None found,"2018-09-08"
32,Yahoo Sign-up Page,https://help.yahoo.com/kb/SLN2056.html,None found,"2018-09-08"
33,Tumblr Law Enforcement Guidelines,https://www.tumblr.com/docs/en/law_enforcement,None found,"2018-09-08"
34,Oath - Global Principles for Responding to Gov Requests,https://transparency.oath.com/about/global-principles.html,None found,"2018-09-08"
35,Oath Government Removal Requests,https://transparency.oath.com/reports/government-removal-requests.html,None found,"2018-09-08"
36,Yahoo Copyright and IP Policy,https://policies.yahoo.com/us/en/yahoo/ip/index.htm,None found,"2018-09-08"
37,Our Oath: Put Consumers First,https://transparency.oath.com/about/our-oath-put-consumers-first.html,None found,"2018-09-08"
38,DMCA Copyright Notifications,https://www.tumblr.com/dmca,None found,"2018-09-08"
39,"Tumblr, Reporting offensive content",https://tumblr.zendesk.com/hc/en-us/articles/226270628-Reporting-offensive-content,None found,"2018-09-08"
40,Tumblr Copyright and Trademark Transparency Report,https://static.tumblr.com/uhwk34h/SGkpakqe7/iptransparencyreport2017b.pdf,"July 1, 2017 - December 31, 2017","2018-09-08"
41,Oath Government Data Requests,https://transparency.oath.com/reports/government-data-requests.html,"July 1, 2017 - December 31, 2017","2018-09-08"
42,Oath Government Data Requests - US report,https://transparency.oath.com/reports/government-data-requests/country/united-states/us-jul-dec-2017/index.html,"July 1, 2017 - December 31, 2017","2018-09-08"
43,Oath Security,https://policies.oath.com/us/en/oath/privacy/topics/security/index.html,None found,"2018-09-08"
44,Oath Safety Center: Security,https://safety.yahoo.com/Security/,None found,"2018-09-08"
45,Reporting Security Issues on Yahoo,https://safety.yahoo.com/Security/REPORTING-ISSUES.html,None found,"2018-09-08"
46,Yahoo Account Key,https://help.yahoo.com/kb/SLN25781.html?impressions=true,None found,"2018-09-08"
47,Yahoo two-step verification,https://help.yahoo.com/kb/account/SLN5013.html?impressions=true,None found,"2018-09-08"
48,Users First: Our Vulnerability Disclosure Policy,https://yahoopolicy.tumblr.com/post/104777538533/users-first-our-vulnerability-disclosure-policy,"December 9, 2014","2018-09-08"
49,Yahoo bug bounty program,https://hackerone.com/yahoo,None found,"2018-09-10"
50,Oath announces cybersecurity advisory board,https://www.oath.com/2018/03/15/oath-announces-cybersecurity-advisory-board/,None found,"2018-09-10"
51,Tumblr Bug Bounty Program,https://tumblr.zendesk.com/hc/en-us/articles/234583348-Bug-Bounty-Program,None found,"2018-09-10"
52,Encryption at Yahoo,https://yahoo.tumblr.com/post/81529518520/status-update-encryption-at-yahoo,"April 2, 2014","2018-09-12"
53,Tumblr Encryption,https://tumblr.zendesk.com/hc/en-us/articles/226273528-Encryption,None found,"2018-09-12"
54,User-Focused Security: End-to-End Encryption Extension for Yahoo Mail,https://yahoo.tumblr.com/search/yahoo%20mail%20end%20to%20end%20encryption,"March, 2015","2018-09-12"
55,"Yahoo, Google still working on end-to-end encryption for email",https://www.sfchronicle.com/business/article/Yahoo-Google-still-working-on-end-to-end-10872573.php,"January 21, 2017","2018-09-12"
56,Yahoo Unusual activity,https://help.yahoo.com/kb/recent-activity-page-sln2073.html,None found,"2018-09-12"
57,Two-factor authentication,https://tumblr.zendesk.com/hc/en-us/articles/226270148-Two-factor-authentication,None found,"2018-09-12"
58,Tumblr Account Activity,https://tumblr.zendesk.com/hc/en-us/articles/226271988-Account-activity,None found,"2018-09-12"
59,Received an access notification,https://help.yahoo.com/kb/SLN7125.html,None found,"2018-09-12"
60,Protecting your account,https://tumblr.zendesk.com/hc/en-us/articles/226178987-Protecting-your-account,None found,"2018-09-12"
61,Business & Human Rights at Oath,https://www.oath.com/our-story/business-and-human-rights/,None found,"2018-09-12"
62,Oath GNI Principles,https://www.oath.com/our-story/business-and-human-rights/our-initiatives/gni/,None found,"2018-09-12"
63,Business & Human Rights at Oath/Our approach,https://www.oath.com/our-story/business-and-human-rights/our-program/,None found,"2018-09-12"
63a,Business & Human Rights at Oath/Our approach (slide 3: Guiding Principles and Operational Guidelines),https://www.oath.com/our-story/business-and-human-rights/our-program/,None found,"2019-09-28"
64,Oath Standards of Business Conduct,https://s.aolcdn.com/oath/global/Oath_SBC_10-19-17.pdf,"October 17, 2018","2018-09-12"
65,Oath HRIAs,https://www.oath.com/our-story/business-and-human-rights/our-initiatives/hria/,None found,"2018-09-12"
66,GNI Public Report on the 2015/2016 Independent Company Assessments,https://globalnetworkinitiative.org/wp-content/uploads/2018/02/Public-Report-2015-16-Independent-Company-Assessments.pdf,"July 6, 2016","2018-09-12"
67,Contacting the Yahoo India Grievance Officer,https://in.help.yahoo.com/kb/yahoo-india-grievance-officer-sln28253.html,None found,"2018-09-12"
68,Oath Intellectual Property -  Counter Notification,https://policies.yahoo.com/us/en/yahoo/ip/index.htm,None found,"2018-09-12"
69,Oath Privacy Policy (Spanish),https://policies.oath.com/us/es/oath/privacy/index.html,April 2018,"2018-09-26"
70,Oath Terms of Service (Spanish),https://policies.oath.com/us/es/oath/terms/otos/index.html,"May 25, 2018","2018-09-27"
71,Oath Community Guidelines (Spanish),https://policies.oath.com/us/es/oath/guidelines/index.html,None found,"2018-09-27"
72,Tumblr Terms of Service Spanish,https://www.tumblr.com/policy/es/terms-of-service,"May 15, 2018","2018-09-27"
73,Tumblr Community Guidelines,https://www.tumblr.com/policy/es/community,"Aug 27, 2018","2018-09-27"
74,Oath Transparency Report FAQ and Glossary - Content Removal Request,https://transparency.oath.com/about/faq-glossary.html,None found,"2018-09-28"
75,Tumblr Transparency Report Homepage,https://www.tumblr.com/transparency,None found,"2018-09-28"
76,Oath Transparency Report FAQ and Glossary - FAQ on My content was removed,https://transparency.oath.com/about/faq-glossary.html,None found,"2018-09-28"
77,Oath Privacy Policy Feedback Form,https://io.help.yahoo.com/contact/index?y=PROD_ACCT&token=w5FCchB1dWFBK0e02%252BwEylJn1ziDqePb2Dq22Z0PBKmuG9cZpE4MM9vS6l0r8gi9F6k%252FK8nik5MH8JQjZy5NlWIyygEGVpVViU3MHqVQ8eD98XMp4RclW%252Bpxa6fxY1YdCiDU9ZoUvcE%253D&locale=en_US&page=contactform&selectedChannel=email-icon,None found,"2018-09-28"
78,Oath Copyright Counter Notification Policy,https://policies.yahoo.com/us/en/yahoo/ip/counter-notification/index.htm,None found,"2018-09-28"
79,Oath Transparency Report FAQ and Glossary - Government Data Request,https://transparency.oath.com/about/faq-glossary.html,None found,"2018-09-28"
80,Oath Transparency Report FAQ and Glossary - Under what circumstances ...,https://transparency.oath.com/about/faq-glossary.html,None found,"2018-09-28"
81,Oath Transparency Report FAQ and Glossary - Search warrant,https://transparency.oath.com/about/faq-glossary.html,None found,"2018-09-28"
82,Oath Government Removal Requests report H1 2018,https://transparency.oath.com/reports/government-removal-requests.html,None found,"2019-02-01"
83,Oath Government Data Requests report H1 2018,https://transparency.oath.com/reports/government-data-requests.html,None found,"2019-02-01"
84,Tumblr Help Page,https://www.tumblr.com/support,None found,"2019-03-01"
85,Export your blog (Tumblr),https://tumblr.zendesk.com/hc/en-us/articles/360005118894-Export-your-blog,None found,"2019-03-01"
