Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Telecommunication,Vodafone,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,100,yes,"Yes. Vodafone makes an explicit commitment to respect users' human rights to freedom of expression and privacy. As a member of the Global Network Initiative, Vodafone commits to international principles and standards safeguarding freedom of expression and privacy. In its 2018 Sustainable Business Report (Source 18), the company states: ""We respect all internationally proclaimed human rights, including the International Bill of Human Rights and the principles concerning fundamental rights set out in the International Labour Organization’s Declaration on Fundamental Principles and Rights at Work. We strive to ensure that we are not complicit in human rights abuses. We shall, in all contexts, seek ways to honour the principles of internationally recognised human rights, even when faced with conflicting requirements. We are also committed to implementing the United Nations Guiding Principles on Business and Human Rights throughout our business operations.” The company in 2017 launched a new ""Digital Rights and Freedoms Reporting Centre"" (Source 19) containing Vodafone's policies and principles on law enforcement surveillance, privacy, data protection, freedom of expression, and censorship. At the top of that webpage the company states: ""Respecting our customers’ right to privacy and freedom of expression is one of our highest priorities."" In 2017, the company also issued a new ""Freedom of Expression and Network Censorship"" report, outlining the company's commitments to freedom of expression (Source 20).",NA
Telecommunication,Vodafone,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. Vodafone makes an explicit commitment to respect users' human rights to freedom of expression and privacy. As a member of the Global Network Initiative, Vodafone commits to international principles and standards safeguarding freedom of expression and privacy. In its 2018 Sustainable Business Report (Source 18), the company states: ""We respect all internationally proclaimed human rights, including the International Bill of Human Rights and the principles concerning fundamental rights set out in the International Labour Organization’s Declaration on Fundamental Principles and Rights at Work. We strive to ensure that we are not complicit in human rights abuses. We shall, in all contexts, seek ways to honour the principles of internationally recognised human rights, even when faced with conflicting requirements. We are also committed to implementing the United Nations Guiding Principles on Business and Human Rights throughout our business operations.” The company in 2017 launched a new ""Digital Rights and Freedoms Reporting Centre"" (Source 19) containing Vodafone's policies and principles on law enforcement surveillance, privacy, data protection, freedom of expression, and censorship. At the top of that webpage the company states: ""Respecting our customers’ right to privacy and freedom of expression is one of our highest priorities."" In 2017, the company also issued a new ""Freedom of Expression and Network Censorship"" report, outlining the company's commitments to freedom of expression (Source 20).",NA
Telecommunication,Vodafone,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G1,Element,G1.1,100,yes,"Yes. Vodafone makes an explicit commitment to respect users' human rights to freedom of expression and privacy. As a member of the Global Network Initiative, Vodafone commits to international principles and standards safeguarding freedom of expression and privacy. In its 2018 Sustainable Business Report (Source 18), the company states: ""We respect all internationally proclaimed human rights, including the International Bill of Human Rights and the principles concerning fundamental rights set out in the International Labour Organization’s Declaration on Fundamental Principles and Rights at Work. We strive to ensure that we are not complicit in human rights abuses. We shall, in all contexts, seek ways to honour the principles of internationally recognised human rights, even when faced with conflicting requirements. We are also committed to implementing the United Nations Guiding Principles on Business and Human Rights throughout our business operations.” The company in 2017 launched a new ""Digital Rights and Freedoms Reporting Centre"" (Source 19) containing Vodafone's policies and principles on law enforcement surveillance, privacy, data protection, freedom of expression, and censorship. At the top of that webpage the company states: ""Respecting our customers’ right to privacy and freedom of expression is one of our highest priorities."" In 2017, the company also issued a new ""Freedom of Expression and Network Censorship"" report, outlining the company's commitments to freedom of expression (Source 20).",NA
Telecommunication,Vodafone,Operating Company,NA,OperatingCo - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. Vodafone makes an explicit commitment to respect users' human rights to freedom of expression and privacy. As a member of the Global Network Initiative, Vodafone commits to international principles and standards safeguarding freedom of expression and privacy. In its 2018 Sustainable Business Report (Source 18), the company states: ""We respect all internationally proclaimed human rights, including the International Bill of Human Rights and the principles concerning fundamental rights set out in the International Labour Organization’s Declaration on Fundamental Principles and Rights at Work. We strive to ensure that we are not complicit in human rights abuses. We shall, in all contexts, seek ways to honour the principles of internationally recognised human rights, even when faced with conflicting requirements. We are also committed to implementing the United Nations Guiding Principles on Business and Human Rights throughout our business operations.” The company in 2017 launched a new ""Digital Rights and Freedoms Reporting Centre"" (Source 19) containing Vodafone's policies and principles on law enforcement surveillance, privacy, data protection, freedom of expression, and censorship. At the top of that webpage the company states: ""Respecting our customers’ right to privacy and freedom of expression is one of our highest priorities."" In 2017, the company also issued a new ""Freedom of Expression and Network Censorship"" report, outlining the company's commitments to freedom of expression (Source 20).",NA
Telecommunication,Vodafone,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,100,NA,NA,18; 19; 20
Telecommunication,Vodafone,Group,NA,Group - Privacy,Governance,G1,Level,NA,100,NA,NA,18; 19; 20
Telecommunication,Vodafone,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G1,Level,NA,100,NA,NA,18; 19; 20
Telecommunication,Vodafone,Operating Company,NA,OperatingCo - Privacy,Governance,G1,Level,NA,100,NA,NA,18; 19; 20
Telecommunication,Vodafone,Total,NA,NA,Governance,G1,Indicator,NA,100,NA,NA,NA
Telecommunication,Vodafone,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. Vodafone's ""Matters Reserved for the Board"" (Source 21) states that the Board of Directors is responsible for establishing the Group’s ""values and standards,"" including approving the company's Code of Conduct. The Code of Conduct (Source 15) sets company wide standards regarding the company's internal ethical standards, including commitments to upholding international human rights standards, in alignment with the UN Guiding Principles.",NA
Telecommunication,Vodafone,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. Vodafone's ""Matters Reserved for the Board"" (Source 21) states that the Board of Directors is responsible for establishing the Group’s ""values and standards,"" including approving the company's Code of Conduct. The Code of Conduct (Source 15) sets company wide standards regarding the company's internal ethical standards, including commitments to upholding international human rights standards, in alignment with the UN Guiding Principles.",NA
Telecommunication,Vodafone,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. Vodafone's ""Matters Reserved for the Board"" (Source 21) states that the Board of Directors is responsible for establishing the Group’s ""values and standards,"" including approving the company's Code of Conduct. The Code of Conduct (Source 15) sets company wide standards regarding the company's internal ethical standards, including commitments to upholding international human rights standards, in alignment with the UN Guiding Principles.",NA
Telecommunication,Vodafone,Group,NA,Group - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. Vodafone's ""Matters Reserved for the Board"" (Source 21) states that the Board of Directors is responsible for establishing the Group’s ""values and standards,"" including approving the company's Code of Conduct. The Code of Conduct (Source 15) sets company wide standards regarding the company's internal ethical standards, including commitments to upholding international human rights standards, in alignment with the UN Guiding Principles.",NA
Telecommunication,Vodafone,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. Vodafone's ""Matters Reserved for the Board"" (Source 21) states that the Board of Directors is responsible for establishing the Group’s ""values and standards,"" including approving the company's Code of Conduct. The Code of Conduct (Source 15) sets company wide standards regarding the company's internal ethical standards, including commitments to upholding international human rights standards, in alignment with the UN Guiding Principles.",NA
Telecommunication,Vodafone,Operating Company,NA,OperatingCo - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. Vodafone's ""Matters Reserved for the Board"" (Source 21) states that the Board of Directors is responsible for establishing the Group’s ""values and standards,"" including approving the company's Code of Conduct. The Code of Conduct (Source 15) sets company wide standards regarding the company's internal ethical standards, including commitments to upholding international human rights standards, in alignment with the UN Guiding Principles.",NA
Telecommunication,Vodafone,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. Vodafone's ""Matters Reserved for the Board"" (Source 21) states that the Board of Directors is responsible for establishing the Group’s ""values and standards,"" including approving the company's Code of Conduct. The Code of Conduct (Source 15) sets company wide standards regarding the company's internal ethical standards, including commitments to upholding international human rights standards, in alignment with the UN Guiding Principles.",NA
Telecommunication,Vodafone,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. Vodafone's ""Matters Reserved for the Board"" (Source 21) states that the Board of Directors is responsible for establishing the Group’s ""values and standards,"" including approving the company's Code of Conduct. The Code of Conduct (Source 15) sets company wide standards regarding the company's internal ethical standards, including commitments to upholding international human rights standards, in alignment with the UN Guiding Principles.",NA
Telecommunication,Vodafone,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Freedom of Expression,Governance,G2,Element,G2.1,100,yes,"Yes. Vodafone's ""Matters Reserved for the Board"" (Source 21) states that the Board of Directors is responsible for establishing the Group’s ""values and standards,"" including approving the company's Code of Conduct. The Code of Conduct (Source 15) sets company wide standards regarding the company's internal ethical standards, including commitments to upholding international human rights standards, in alignment with the UN Guiding Principles.",NA
Telecommunication,Vodafone,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Privacy,Governance,G2,Element,G2.1,100,yes,"Yes. Vodafone's ""Matters Reserved for the Board"" (Source 21) states that the Board of Directors is responsible for establishing the Group’s ""values and standards,"" including approving the company's Code of Conduct. The Code of Conduct (Source 15) sets company wide standards regarding the company's internal ethical standards, including commitments to upholding international human rights standards, in alignment with the UN Guiding Principles.",NA
Telecommunication,Vodafone,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Element,G2.2,100,yes,"Yes. In Vodafone's 2018 Sustainable Business Report (Source 18) the company states: ""Our Group Executive Committee oversees our commitment to human rights, with detailed governance scrutiny provided by the Audit and Risk Committee of the Vodafone Group Board. In our local markets, the chief executives of our operating companies oversee human rights matters, with governance support from the appropriate professional functions.""",NA
Telecommunication,Vodafone,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. In Vodafone's 2018 Sustainable Business Report (Source 18) the company states: ""Our Group Executive Committee oversees our commitment to human rights, with detailed governance scrutiny provided by the Audit and Risk Committee of the Vodafone Group Board. In our local markets, the chief executives of our operating companies oversee human rights matters, with governance support from the appropriate professional functions.""",NA
Telecommunication,Vodafone,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.2,100,yes,"Yes. In Vodafone's 2018 Sustainable Business Report (Source 18) the company states: ""Our Group Executive Committee oversees our commitment to human rights, with detailed governance scrutiny provided by the Audit and Risk Committee of the Vodafone Group Board. In our local markets, the chief executives of our operating companies oversee human rights matters, with governance support from the appropriate professional functions.""",NA
Telecommunication,Vodafone,Group,NA,Group - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. In Vodafone's 2018 Sustainable Business Report (Source 18) the company states: ""Our Group Executive Committee oversees our commitment to human rights, with detailed governance scrutiny provided by the Audit and Risk Committee of the Vodafone Group Board. In our local markets, the chief executives of our operating companies oversee human rights matters, with governance support from the appropriate professional functions.""",NA
Telecommunication,Vodafone,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G2,Element,G2.2,100,yes,"Yes. In Vodafone's 2018 Sustainable Business Report (Source 18) the company states: ""Our Group Executive Committee oversees our commitment to human rights, with detailed governance scrutiny provided by the Audit and Risk Committee of the Vodafone Group Board. In our local markets, the chief executives of our operating companies oversee human rights matters, with governance support from the appropriate professional functions.""",NA
Telecommunication,Vodafone,Operating Company,NA,OperatingCo - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. In Vodafone's 2018 Sustainable Business Report (Source 18) the company states: ""Our Group Executive Committee oversees our commitment to human rights, with detailed governance scrutiny provided by the Audit and Risk Committee of the Vodafone Group Board. In our local markets, the chief executives of our operating companies oversee human rights matters, with governance support from the appropriate professional functions.""",NA
Telecommunication,Vodafone,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Freedom of Expression,Governance,G2,Element,G2.2,100,yes,"Yes. In Vodafone's 2018 Sustainable Business Report (Source 18) the company states: ""Our Group Executive Committee oversees our commitment to human rights, with detailed governance scrutiny provided by the Audit and Risk Committee of the Vodafone Group Board. In our local markets, the chief executives of our operating companies oversee human rights matters, with governance support from the appropriate professional functions.""",NA
Telecommunication,Vodafone,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. In Vodafone's 2018 Sustainable Business Report (Source 18) the company states: ""Our Group Executive Committee oversees our commitment to human rights, with detailed governance scrutiny provided by the Audit and Risk Committee of the Vodafone Group Board. In our local markets, the chief executives of our operating companies oversee human rights matters, with governance support from the appropriate professional functions.""",NA
Telecommunication,Vodafone,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Freedom of Expression,Governance,G2,Element,G2.2,100,yes,"Yes. In Vodafone's 2018 Sustainable Business Report (Source 18) the company states: ""Our Group Executive Committee oversees our commitment to human rights, with detailed governance scrutiny provided by the Audit and Risk Committee of the Vodafone Group Board. In our local markets, the chief executives of our operating companies oversee human rights matters, with governance support from the appropriate professional functions.""",NA
Telecommunication,Vodafone,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Privacy,Governance,G2,Element,G2.2,100,yes,"Yes. In Vodafone's 2018 Sustainable Business Report (Source 18) the company states: ""Our Group Executive Committee oversees our commitment to human rights, with detailed governance scrutiny provided by the Audit and Risk Committee of the Vodafone Group Board. In our local markets, the chief executives of our operating companies oversee human rights matters, with governance support from the appropriate professional functions.""",NA
Telecommunication,Vodafone,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Element,G2.3,100,yes,"Yes. Vodafone's 2018 Sustainable Business Report (Source 18) clarifies that the Director of Corporate Affairs leads Vodafone's sustainable business strategy, which includes ""digital rights and freedoms"" as a key area: ""The Group Director of Corporate Affairs defines
and leads Vodafone’s sustainable business strategy worldwide and is responsible for the activities of the Group Sustainable Business team. The Group Director of Corporate Affairs reports to the Group External Affairs Director who is a member of the ExCo.""",NA
Telecommunication,Vodafone,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Element,G2.3,100,yes,"Yes. Vodafone's 2018 Sustainable Business Report (Source 18) clarifies that the Director of Corporate Affairs leads Vodafone's sustainable business strategy, which includes ""digital rights and freedoms"" as a key area: ""The Group Director of Corporate Affairs defines
and leads Vodafone’s sustainable business strategy worldwide and is responsible for the activities of the Group Sustainable Business team. The Group Director of Corporate Affairs reports to the Group External Affairs Director who is a member of the ExCo.""",NA
Telecommunication,Vodafone,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.3,100,yes,"Yes. Vodafone's 2018 Sustainable Business Report (Source 18) clarifies that the Director of Corporate Affairs leads Vodafone's sustainable business strategy, which includes ""digital rights and freedoms"" as a key area: ""The Group Director of Corporate Affairs defines
and leads Vodafone’s sustainable business strategy worldwide and is responsible for the activities of the Group Sustainable Business team. The Group Director of Corporate Affairs reports to the Group External Affairs Director who is a member of the ExCo.""",NA
Telecommunication,Vodafone,Group,NA,Group - Privacy,Governance,G2,Element,G2.3,100,yes,"Yes. Vodafone's 2018 Sustainable Business Report (Source 18) clarifies that the Director of Corporate Affairs leads Vodafone's sustainable business strategy, which includes ""digital rights and freedoms"" as a key area: ""The Group Director of Corporate Affairs defines
and leads Vodafone’s sustainable business strategy worldwide and is responsible for the activities of the Group Sustainable Business team. The Group Director of Corporate Affairs reports to the Group External Affairs Director who is a member of the ExCo.""",NA
Telecommunication,Vodafone,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G2,Element,G2.3,100,yes,"Yes. Vodafone's 2018 Sustainable Business Report (Source 18) clarifies that the Director of Corporate Affairs leads Vodafone's sustainable business strategy, which includes ""digital rights and freedoms"" as a key area: ""The Group Director of Corporate Affairs defines
and leads Vodafone’s sustainable business strategy worldwide and is responsible for the activities of the Group Sustainable Business team. The Group Director of Corporate Affairs reports to the Group External Affairs Director who is a member of the ExCo.""",NA
Telecommunication,Vodafone,Operating Company,NA,OperatingCo - Privacy,Governance,G2,Element,G2.3,100,yes,"Yes. Vodafone's 2018 Sustainable Business Report (Source 18) clarifies that the Director of Corporate Affairs leads Vodafone's sustainable business strategy, which includes ""digital rights and freedoms"" as a key area: ""The Group Director of Corporate Affairs defines
and leads Vodafone’s sustainable business strategy worldwide and is responsible for the activities of the Group Sustainable Business team. The Group Director of Corporate Affairs reports to the Group External Affairs Director who is a member of the ExCo.""",NA
Telecommunication,Vodafone,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Freedom of Expression,Governance,G2,Element,G2.3,100,yes,"Yes. Vodafone's 2018 Sustainable Business Report (Source 18) clarifies that the Director of Corporate Affairs leads Vodafone's sustainable business strategy, which includes ""digital rights and freedoms"" as a key area: ""The Group Director of Corporate Affairs defines
and leads Vodafone’s sustainable business strategy worldwide and is responsible for the activities of the Group Sustainable Business team. The Group Director of Corporate Affairs reports to the Group External Affairs Director who is a member of the ExCo.""",NA
Telecommunication,Vodafone,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Privacy,Governance,G2,Element,G2.3,100,yes,"Yes. Vodafone's 2018 Sustainable Business Report (Source 18) clarifies that the Director of Corporate Affairs leads Vodafone's sustainable business strategy, which includes ""digital rights and freedoms"" as a key area: ""The Group Director of Corporate Affairs defines
and leads Vodafone’s sustainable business strategy worldwide and is responsible for the activities of the Group Sustainable Business team. The Group Director of Corporate Affairs reports to the Group External Affairs Director who is a member of the ExCo.""",NA
Telecommunication,Vodafone,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Freedom of Expression,Governance,G2,Element,G2.3,100,yes,"Yes. Vodafone's 2018 Sustainable Business Report (Source 18) clarifies that the Director of Corporate Affairs leads Vodafone's sustainable business strategy, which includes ""digital rights and freedoms"" as a key area: ""The Group Director of Corporate Affairs defines
and leads Vodafone’s sustainable business strategy worldwide and is responsible for the activities of the Group Sustainable Business team. The Group Director of Corporate Affairs reports to the Group External Affairs Director who is a member of the ExCo.""",NA
Telecommunication,Vodafone,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Privacy,Governance,G2,Element,G2.3,100,yes,"Yes. Vodafone's 2018 Sustainable Business Report (Source 18) clarifies that the Director of Corporate Affairs leads Vodafone's sustainable business strategy, which includes ""digital rights and freedoms"" as a key area: ""The Group Director of Corporate Affairs defines
and leads Vodafone’s sustainable business strategy worldwide and is responsible for the activities of the Group Sustainable Business team. The Group Director of Corporate Affairs reports to the Group External Affairs Director who is a member of the ExCo.""",NA
Telecommunication,Vodafone,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G2,Level,NA,100,NA,NA,15; 18; 21
Telecommunication,Vodafone,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G2,Level,NA,100,NA,NA,15; 18; 21
Telecommunication,Vodafone,Group,NA,Group - Freedom of Expression,Governance,G2,Level,NA,100,NA,NA,15; 18; 21
Telecommunication,Vodafone,Group,NA,Group - Privacy,Governance,G2,Level,NA,100,NA,NA,15; 18; 21
Telecommunication,Vodafone,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G2,Level,NA,100,NA,NA,15; 18; 21
Telecommunication,Vodafone,Operating Company,NA,OperatingCo - Privacy,Governance,G2,Level,NA,100,NA,NA,15; 18; 21
Telecommunication,Vodafone,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Freedom of Expression,Governance,G2,Level,NA,100,NA,NA,15; 18; 21
Telecommunication,Vodafone,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Privacy,Governance,G2,Level,NA,100,NA,NA,15; 18; 21
Telecommunication,Vodafone,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Freedom of Expression,Governance,G2,Level,NA,100,NA,NA,15; 18; 21
Telecommunication,Vodafone,Pre and Postpaid Mobile,Prepaid Mobile,Prepaid Mobile - Privacy,Governance,G2,Level,NA,100,NA,NA,15; 18; 21
Telecommunication,Vodafone,Total,NA,NA,Governance,G2,Indicator,NA,99.999999999999986,NA,NA,NA
Telecommunication,Vodafone,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Freedom of Expression,Governance,G3,Element,G3.1,100,yes,"Yes. Vodafone's 2018 Sustainable Business report (Source 18) states: ""Everyone who works with us makes a formal commitment to follow our Code of Conduct at all times. Our Doing What’s Right training and communication programme is key to embedding a shared
understanding of the Code of Conduct across Vodafone. Throughout the year, Doing What’s Right employee communications promoted different areas of our Code of Conduct, from Speak Up, Anti-bribery and Privacy to Competition Law, Security, and Health and Safety.
Doing What’s Right training is incorporated into our standard induction processes and current employees complete refresher training every two to three years."" Vodafone's Code of Conduct (Source 15) covers the company's commitment to international human rights principles and standards.",NA
Telecommunication,Vodafone,Fixed Line Broadband,Fixed Line Broadband,Fixed Line Broadband - Privacy,Governance,G3,Element,G3.1,100,yes,"Yes. Vodafone's 2018 Sustainable Business report (Source 18) states: ""Everyone who works with us makes a formal commitment to follow our Code of Conduct at all times. Our Doing What’s Right training and communication programme is key to embedding a shared
understanding of the Code of Conduct across Vodafone. Throughout the year, Doing What’s Right employee communications promoted different areas of our Code of Conduct, from Speak Up, Anti-bribery and Privacy to Competition Law, Security, and Health and Safety.
Doing What’s Right training is incorporated into our standard induction processes and current employees complete refresher training every two to three years."" Vodafone's Code of Conduct (Source 15) covers the company's commitment to international human rights principles and standards.",NA
Telecommunication,Vodafone,Group,NA,Group - Freedom of Expression,Governance,G3,Element,G3.1,100,yes,"Yes. Vodafone's 2018 Sustainable Business report (Source 18) states: ""Everyone who works with us makes a formal commitment to follow our Code of Conduct at all times. Our Doing What’s Right training and communication programme is key to embedding a shared understanding of the Code of Conduct across Vodafone. Throughout the year, Doing What’s Right employee communications promoted different areas of our Code of Conduct, from Speak Up, Anti-bribery and Privacy to Competition Law, Security, and Health and Safety. Doing What’s Right training is incorporated into our standard induction processes and current employees complete refresher training every two to three years."" Vodafone's Code of Conduct (Source 15) covers the company's commitment to international human rights principles and standards.",NA
Telecommunication,Vodafone,Group,NA,Group - Privacy,Governance,G3,Element,G3.1,100,yes,"Yes. Vodafone's 2018 Sustainable Business report (Source 18) states: ""Everyone who works with us makes a formal commitment to follow our Code of Conduct at all times. Our Doing What’s Right training and communication programme is key to embedding a shared
understanding of the Code of Conduct across Vodafone. Throughout the year, Doing What’s Right employee communications promoted different areas of our Code of Conduct, from Speak Up, Anti-bribery and Privacy to Competition Law, Security, and Health and Safety.
Doing What’s Right training is incorporated into our standard induction processes and current employees complete refresher training every two to three years."" Vodafone's Code of Conduct (Source 15) covers the company's commitment to international human rights principles and standards.",NA
Telecommunication,Vodafone,Operating Company,NA,OperatingCo - Freedom of Expression,Governance,G3,Element,G3.1,100,yes,"Yes. Vodafone's 2018 Sustainable Business report (Source 18) states: ""Everyone who works with us makes a formal commitment to follow our Code of Conduct at all times. Our Doing What’s Right training and communication programme is key to embedding a shared
understanding of the Code of Conduct across Vodafone. Throughout the year, Doing What’s Right employee communications promoted different areas of our Code of Conduct, from Speak Up, Anti-bribery and Privacy to Competition Law, Security, and Health and Safety.
Doing What’s Right training is incorporated into our standard induction processes and current employees complete refresher training every two to three years."" Vodafone's Code of Conduct (Source 15) covers the company's commitment to international human rights principles and standards.",NA
Telecommunication,Vodafone,Operating Company,NA,OperatingCo - Privacy,Governance,G3,Element,G3.1,100,yes,"Yes. Vodafone's 2018 Sustainable Business report (Source 18) states: ""Everyone who works with us makes a formal commitment to follow our Code of Conduct at all times. Our Doing What’s Right training and communication programme is key to embedding a shared
understanding of the Code of Conduct across Vodafone. Throughout the year, Doing What’s Right employee communications promoted different areas of our Code of Conduct, from Speak Up, Anti-bribery and Privacy to Competition Law, Security, and Health and Safety.
Doing What’s Right training is incorporated into our standard induction processes and current employees complete refresher training every two to three years."" Vodafone's Code of Conduct (Source 15) covers the company's commitment to international human rights principles and standards.",NA
Telecommunication,Vodafone,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Freedom of Expression,Governance,G3,Element,G3.1,100,yes,"Yes. Vodafone's 2018 Sustainable Business report (Source 18) states: ""Everyone who works with us makes a formal commitment to follow our Code of Conduct at all times. Our Doing What’s Right training and communication programme is key to embedding a shared
understanding of the Code of Conduct across Vodafone. Throughout the year, Doing What’s Right employee communications promoted different areas of our Code of Conduct, from Speak Up, Anti-bribery and Privacy to Competition Law, Security, and Health and Safety.
Doing What’s Right training is incorporated into our standard induction processes and current employees complete refresher training every two to three years."" Vodafone's Code of Conduct (Source 15) covers the company's commitment to international human rights principles and standards.",NA
Telecommunication,Vodafone,Pre and Postpaid Mobile,Postpaid Mobile,Postpaid Mobile - Privacy,Governance,G3,Element,G3.1,100,yes,"Yes. Vodafone's 2018 Sustainable Business report (Source 18) states: ""Everyone who works with us makes a formal commitment to follow our Code of Conduct at all times. Our Doing What’s Right training and communication programme is key to embedding a shared
understanding of the Code of Conduct across Vodafone. Throughout the year, Doing What’s Right employee communications promoted different areas of our Code of Conduct, from Speak Up, Anti-bribery and Privacy to Competition Law, Security, and Health and Safety.
Doing What’s Right training is incorporated into our standard induction processes and current employees complete refresher training every two to three years."" Vodafone's Code of Conduct (Source 15) covers the company's commitment to international human rights principles and standards.",NA
