Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
1,Vodafone UK Acceptable Use Policy (Mobile),https://www.vodafone.co.uk/cs/groups/configfiles/documents/contentdocuments/vfcon058965.pdf,July 2018,"2018-09-26"
2,Pay as you go Terms and Charges 2018,https://www.vodafone.co.uk/cs/groups/public/documents/contentdocuments/pay-as-you-go-terms-and-charge.pdf,May 2018,"2018-09-26"
3,Pay Monthly Terms and conditions Vodafone UK,http://www.vodafone.co.uk/cs/groups/configfiles/documents/document/vfcon072758.pdf,Sept 4 2018,"2018-09-26"
4,Vodafone Broadband and Home Phone Terms,https://www.vodafone.co.uk/terms-and-conditions/index.htm,August 2018,"2018-09-26"
5,Vodafone Broadband Acceptable Use Policy,https://www.vodafone.co.uk/cs/groups/public/documents/webcontent/vfcon087797.pdf,"January 1, 2018","2018-09-26"
6,Vodafone UK Privacy Policy,https://www.vodafone.co.uk/privacy#/privacy-policy,"August 29, 2018","2018-09-24"
7,Vodafone Mobile privacy policy supplement,https://www.vodafone.co.uk/privacy/mobile-devices,Unknown,"2018-09-24"
8,Vodafone broadband privacy policy supplement,https://www.vodafone.co.uk/privacy/home-broadband-and-phone,Unknown,"2018-09-24"
9,Vodafone Data Retention Schedule,https://www.vodafone.co.uk/cs/groups/public/documents/document/vfcon093713.pdf,August 2018,"2018-09-25"
10,Guidance notes for Subject Access Requests,https://www.vodafone.co.uk/cs/groups/configfiles/documents/contentdocuments/vftst042750.pdf,Unknown,"2018-09-25"
11,Law Enforcement Disclosure Statement,https://www.vodafone.com/content/dam/vodafone-images/sustainability/drf/pdf/vodafone_drf_law_enforcement_disclosure_statement.pdf,Unknown,"2018-09-25"
12,Law Enforcement Disclosure Report,https://www.vodafone.com/content/dam/sustainability/2014/pdf/operating-responsibly/vodafone_law_enforcement.pdf,2014,"2018-09-25"
13,Law Enforcement Disclosure Report Legal Annex,https://www.vodafone.com/content/dam/sustainability/2014/pdf/operating-responsibly/law_enforcement_disclosure_report_2015_update.pdf,"February 1, 2015","2018-09-25"
14,Country-by-Country Disclosure of Law Enforcement Assistance Demands 2015-16,https://www.vodafone.com/content/dam/vodafone-images/sustainability/drf/pdf/vodafone_drf_law_enforcement_disclosure_country_demands_2015-6.pdf,"2015-2016,2018-09-25"
15,Vodafone Code of Conduct,https://www.vodafone.com/content/dam/vodafone-images/about-us/code-of-conduct/vodafone_code_of_conduct_2015_light.pdf,Unknown,"2018-09-26"
16,Vodafone Group FAQ on Privacy and Security,https://www.vodafone.com/content/dam/vodafone-images/sustainability/downloads/VodafoneGroupFAQsonPrivacyandSecurity_December2017.pdf,December 2017,"2018-09-26"
17,Reporting suspected fraud and staying safe,https://www.vodafone.co.uk/about-this-site/our-privacy-policy/protecting-our-customers/index.htm,Unknown,"2018-09-26"
18,Vodafone Sustainable Business Report 2018,https://www.vodafone.com/content/dam/vodafone-images/sustainability/downloads/sustainablebusiness2018.pdf,June 2018,"2018-09-26"
19,Digital Rights and Freedoms,https://www.vodafone.com/content/index/about/sustainability/operating-responsibly/digital-rights-and-freedoms.html,Unknown,"2018-09-26"
20,Freedom of Expression and Network Censorship,https://www.vodafone.com/content/dam/vodafone-images/sustainability/drf/pdf/vodafone_drf_freedom_expression_network_censorship.pdf,Unknown,"2018-09-26"
21,Vodafone Matters Reserved for the Board,https://www.vodafone.com/content/dam/group/investors/downloads/governance/Matters-Reserved-for-the-Board-March-2016.pdf,March 2016,"2018-09-26"
22,GNI new members,https://globalnetworkinitiative.org/global-network-initiative-adds-seven-companies-in-milestone-expansion-of-freedom-of-expression-and-privacy-initiative/,"March 28, 2017","2018-09-26"
23,Vodafone Customer Safety - Keeping Children Safe,https://www.vodafone.co.uk/our-responsibilities/protecting-our-customers/customer-protection/index.htm,Unknown,"2018-09-26"
