Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Internet,Yandex,Group,NA,Group - Freedom of Expression,Governance,G1,Element,G1.1,100,yes,"Yes. Yandex articulates a clear policy commitment to human rights, including to freedom of expression and privacy. The company's ""About"" page (Source 40) states: ""We aim to operate these services by referring to the guidance of various frameworks of international standards for human rights such as ICCPR. We believe that part of our role in maintaining a balanced online ecosystem is to respect users’ freedom of expression and privacy online.""",NA
Internet,Yandex,Group,NA,Group - Privacy,Governance,G1,Element,G1.1,100,yes,"Yes. Yandex articulates a clear policy commitment to human rights, including to freedom of expression and privacy. The company's ""About"" page (Source 40) states: ""We aim to operate these services by referring to the guidance of various frameworks of international standards for human rights such as ICCPR. We believe that part of our role in maintaining a balanced online ecosystem is to respect users’ freedom of expression and privacy online.""",NA
Internet,Yandex,Group,NA,Group - Freedom of Expression,Governance,G1,Level,NA,100,NA,NA,40
Internet,Yandex,Group,NA,Group - Privacy,Governance,G1,Level,NA,100,NA,NA,40
Internet,Yandex,Total,NA,NA,Governance,G1,Indicator,NA,100,NA,NA,NA
Internet,Yandex,Group,NA,Group - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Yandex,Group,NA,Group - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Yandex,Cloud,Yandex Disk,Yandex Disk - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Yandex,Cloud,Yandex Disk,Yandex Disk - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Yandex,Email,Yandex Mail,Yandex Mail - Freedom of Expression,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
Internet,Yandex,Email,Yandex Mail,Yandex Mail - Privacy,Governance,G2,Element,G2.1,0,no disclosure found,No disclosure found.,NA
