Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
1,Privacy Policy (Russian),https://yandex.ru/legal/confidential/,24/05/2018,"2018-08-29"
2,Privacy Policy (English),https://yandex.ru/legal/confidential/?lang=en,24/05/2018,"2018-08-29"
3,Ads Settings,https://yandex.ru/tune/adv,none found,"2018-09-03"
4,Cookie Settings,https://yandex.ru/support/common/browsers-settings/browsers-cookies.html,none found,"2018-09-03"
5,Code of Business Ethics and Conduct,https://yandex.gcs-web.com/static-files/e539c372-c9ee-4b8f-8b34-aa09ff96da9f,none found,"2018-09-04"
6,Bug Bounty Program,https://yandex.ru/bugbounty/,none found,"2018-09-04"
7,Bug Bounty Program FAQ,https://yandex.ru/support/bugbounty/,none found,"2018-09-04"
8,What HTTPS Protocol Is and How It Protects You Online,https://yandex.ru/blog/company/77455,12/03/2014,"2018-09-04"
9,User Agreement for Yandex Services (Russian),https://yandex.ru/legal/rules/?lang=ru,04/06/2018,"2018-09-05"
10,User Agreement for Yandex Services (English),https://yandex.ru/legal/rules/?lang=en,04/06/2018,"2018-09-05"
11,Operations History,https://yandex.ru/blog/disk/4414,15/02/2016,"2018-09-05"
12,Protection of Your Account,https://yandex.ru/support/passport/security.html,none found,"2018-09-05"
13,Safety in Mail,https://yandex.ru/support/mail/web/security.html,none found,"2018-09-05"
14,Check at the Entrance,https://yandex.ru/support/passport/security/login-challenge.html,none found,"2018-09-05"
15,Safety on the Internet,https://yandex.ru/support/common/security/web-security.html,none found,"2018-09-05"
16,Safety on Disk,https://yandex.ru/support/disk/security.html,none found,"2018-09-05"
17,Yandex Resources on Information Safety,https://yandex.ru/support/common/security/yandex-security-urls.html,none found,"2018-09-05"
18,Does Yandex Have Media Influence?,https://yandex.ru/company/rules/media/,26/05/2009,"2018-09-05"
19,Mission,https://yandex.ru/company/main,none found,"2018-09-05"
20,Limitations on the Rights of Anonymous Content,https://yandex.ru/company/rules/anonymous_content/,none found,"2018-09-05"
21,Annual Report 2017,https://cache-man01i.cdn.yandex.net/download.cdn.yandex.net/company/annual_2017.pdf,27/03/2018,"2018-09-06"
22,Annual Report 2016,http://cache-man01i.cdn.yandex.net/download.cdn.yandex.net/company/annual_2016.pdf,22/03/2017,"2018-09-06"
23,The Official Position of Yandex on Yarovaya's Law,https://www.searchengines.ru/ofitsialnaya-pozitsiya-yandeksa-i-raek.html,22/06/2016,"2018-09-06"
24,Website In Search Contains My Personal Data,https://yandex.ru/support/abuse/troubleshooting/search/personal.html,none found,"2018-09-07"
25,User Agreement for Yandex Services (Russian),https://yandex.ru/legal/rules/?lang=ru,04/06/2018,"2018-09-08"
26,User Agreement for Yandex Services (English),https://yandex.com/legal/rules/?lang=en,04/06/2018,"2018-09-08"
27,Yandex Mail Registration Page,https://passport.yandex.ru/registration?mode=register,none found,"2018-09-08"
28,License to Use Yandex Search Engine (Russian),https://yandex.ru/legal/termsofuse/?lang=ru,31/08/2018,"2018-09-08"
29,License to Use Yandex Search Engine (English),https://yandex.ru/legal/termsofuse/?lang=en,31/08/2018,"2018-09-08"
30,Terms of Use of Yandex.Disk Service (Russian),https://yandex.ru/legal/disk_termsofuse/?lang=ru,10/08/2018,"2018-09-08"
31,Terms of Use of Yandex.Disk Service (English),https://yandex.ru/legal/disk_termsofuse/?lang=en,10/08/2018,"2018-09-08"
32,Copyright Infringement Policy,https://yandex.ru/support/legal/copyright/,12/12/2012,"2018-09-10"
33,Complain about Website Appearing as Search Result,https://yandex.ru/support/abuse/troubleshooting/search/main.html#main,none found,"2018-09-10"
34,Report a Violation on Yandex Disk,https://yandex.ru/support/abuse/troubleshooting/disk/list.html,none found,"2018-09-10"
35,On the Responsibilities of Users and Complaints about Content,https://yandex.ru/support/common/support/complaints-about.html,none found,"2018-09-10"
36,Right to Be Forgotten Requests,https://yandex.ru/support/abuse/troubleshooting/oblivion.html,none found,"2018-09-10"
37,On the Application of the Right to Be Forgotten Law,https://yandex.ru/blog/company/o-primenenii-zakona-o-prave-na-zabvenie,25/03/2016,"2018-09-11"
38,Your privacy,https://yandex.ru/company/privacy,none found,"2018-11-07"
39,Yandex Mission,https://yandex.com/company/general_info/yandex_today,none found,"2019-02-18"
40,About,https://yandex.com/company/general_info/yandex_today,none found but new,"2019-02-26"
41,Complaints Hotline,https://yandex.alertline.eu/gcs/welcome,none found but new,"2019-02-26"
